id,name,addr,city,state,zipcode,phone,website,pricerange,category,ratingvalue,neighborhood,takes reservations,delivery,take-out,accepts credit cards,good for,parking,attire,ambience,alcohol,outdoor seating,wi-fi,waiter service,caters
65,the greek,458 greenwich st,new york,ny,10013,(646) 476-3941,thegreektribeca.com,$$,greek,4.5,tribeca,yes,no,yes,yes,dinner,garage; street,casual,intimate,full bar,no,no,yes,yes
66,sau voi,101 lafayette st,new york,ny,10013,(212) 226-8184,,$,delis;vietnamese;sandwiches,4.0,chinatown,no,no,yes,no,lunch,street,casual,casual,no,no,no,no,no
67,lulu & po,154 carlton ave,new york,ny,11205,(917) 435-3745,luluandpo.com,$$$,american (new),4.5,fort greene,no,no,no,yes,dinner,street,casual,intimate,full bar,yes,free,yes,no
68,westville,333 hudson st,new york,ny,10013,(212) 776-1404,westvillenyc.com,$$,american (traditional),4.0,south village,yes,yes,yes,yes,lunch,street,casual,casual,full bar,yes,no,yes,yes
69,american retro,714 11th ave,new york,ny,10019,(212) 245-2203,americanretrony.com,$$,american (new),4.0,hell's kitchen; midtown west,no,yes,yes,yes,lunch; dinner; late night,street,casual,casual,full bar,no,free,yes,yes
70,piacere,351 broome st,new york,ny,10013,(212) 219-4080,piacerenyc.com,$$,pizza;italian,4.5,little italy; nolita,yes,yes,yes,yes,late night,street,casual,casual,beer & wine only,yes,free,yes,no
71,urbanspace vanderbilt,230 park ave,new york,ny,10169,(646) 747-0822,urbanspacenyc.com/our-markets…,$$,food court,4.0,midtown east,no,no,yes,yes,lunch,garage,casual,casual,full bar,no,free,no,yes
72,cafe mogador,101 st marks pl,new york,ny,10009,(212) 677-2226,cafemogador.com,$$,moroccan,4.0,east village; alphabet city,yes,no,yes,yes,brunch; dinner,street,casual,casual,full bar,yes,no,yes,no
73,kabob shack,182 havemeyer st,new york,ny,11211,(718) 387-7111,kabob-shack.com,$,afghan;middle eastern,4.5,williamsburg - south side,no,yes,yes,yes,lunch,street,casual,casual,no,no,no,no,yes
74,monsignor’s restaurant,679 5th ave,new york,ny,11215,(718) 369-2575,mymonsignors.com,$$,italian;mexican,4.5,south slope,yes,yes,yes,yes,dinner,street,casual,casual,full bar,yes,free,yes,yes
75,le village,127 e 7th st,new york,ny,10009,(212) 539-0231,levillagenyc.com,$$,french;gluten-free;vegetarian,4.5,east village; alphabet city,yes,yes,yes,yes,dinner,street,casual,casual,no,no,free,yes,no
76,boulton & watt,5 ave a,new york,ny,10009,(646) 490-6004,boultonandwattnyc.com,$$,american (new);gastropubs,4.0,lower east side; alphabet city,yes,yes,yes,yes,brunch,street,casual,casual,full bar,no,free,yes,yes
77,saraghina,435 halsey st,new york,ny,11233,(718) 574-0010,saraghinabrooklyn.com,$$,pizza;breakfast & brunch;bakeries,4.0,bedford stuyvesant,no,no,yes,no,dinner,street,casual,casual,beer & wine only,yes,free,yes,no
78,new york bakery,51 w 29th st,new york,ny,10001,(212) 213-2838,,$,bakeries;korean;mexican,4.5,flatiron; midtown west,no,no,yes,no,,street,casual,divey,no,no,no,no,no
79,ducks eatery,351 e 12th st,new york,ny,10003,(212) 432-3825,duckseatery.com,$$,french;cajun/creole;american (traditional),4.0,east village,yes,no,yes,yes,dinner,street,casual,casual,full bar,yes,no,yes,no
80,papa’s  kitchen,65-40 woodside ave,new york,ny,11377,(347) 724-9586,,$$,filipino,4.5,woodside,yes,yes,yes,no,dinner,street,casual,casual,no,no,no,yes,yes
81,briciola,370 w 51 st,new york,ny,10019,(646) 678-5763,,$$,italian;wine bars,4.0,theater district; hell's kitchen; midtown west,no,no,no,yes,dinner,street,casual,intimate,beer & wine only,no,no,yes,no
82,rocket pig,463 w 24th st,new york,ny,10001,(212) 645-5660,rocketpignyc.com,$$,american (new),4.0,chelsea,no,yes,yes,yes,lunch,,casual,casual,beer & wine only,no,no,no,no
83,roosters caribbean tapas,651 5th ave,new york,ny,11215,(718) 788-6088,,$$,caribbean,4.5,south slope,yes,no,no,no,dinner,street,casual,casual,beer & wine only,no,no,yes,no
84,nowadays,56-06 cooper ave,new york,ny,11385,,nowadays.nyc,$$,beer gardens;burgers;bars,4.0,bushwick; glendale,no,no,no,yes,,,casual,casual,beer & wine only,yes,no,no,no
85,mazzat,208 columbia st,new york,ny,11231,(718) 852-1652,,$$,tapas bars;mediterranean;middle eastern,4.5,columbia street waterfront district,yes,yes,yes,yes,dinner,street,casual,casual,full bar,no,no,yes,yes
86,café gitane,242 mott st,new york,ny,10012,(212) 334-9552,cafegitanenyc.com,$$,french;moroccan,4.0,nolita,no,no,yes,no,lunch,street,casual,casual,beer & wine only,yes,no,yes,yes
87,le bon choix,652 10th ave,new york,ny,10036,(212) 262-0100,lebonchoixcafe.com,$$,chicken shop;cafes;sandwiches,5.0,hell's kitchen; midtown west,no,yes,yes,yes,lunch,,casual,hipster,no,no,free,no,yes
88,brickyard gastropub,785 9th ave,new york,ny,10019,(212) 767-0077,brickyardnyc.com,$$,gastropubs;american (traditional);sports bars,4.0,theater district; hell's kitchen; midtown west,yes,yes,yes,yes,dinner; late night,street,casual,casual,full bar,no,no,yes,no
89,luke’s lobster,26 s william st,new york,ny,10004,(212) 747-1700,lukeslobster.com,$$,seafood,4.5,financial district,no,no,yes,yes,lunch,street,casual,casual,beer & wine only,no,no,no,yes
90,pig and khao,68 clinton st,new york,ny,10002,(347) 704-2398,pigandkhao.com,$$,filipino;asian fusion,4.0,lower east side,yes,no,no,yes,dinner,street,casual,casual,full bar,yes,no,yes,no
91,post office,188 havemeyer st,new york,ny,11211,(718) 963-2574,postofficebk.com,$$,bars;american (traditional),4.5,williamsburg - south side,no,no,no,yes,late night,street,casual,hipster,full bar,no,no,yes,no
92,grimaldi’s,1 front st,new york,ny,11201,(718) 858-4300,grimaldis.com,$$,pizza,3.5,dumbo,no,no,yes,no,lunch,street,casual,casual,beer & wine only,no,no,yes,no
93,tia pol,205 10th ave,new york,ny,10011,(212) 675-8805,tiapol.com,$$$,tapas bars;spanish,4.0,chelsea,yes,no,no,yes,dinner,garage; street,casual,casual,beer & wine only,no,no,yes,no
94,bricolage,162 5th ave,new york,ny,11217,(718) 230-1835,bricolage.nyc,$$$,vietnamese;gastropubs,4.5,park slope,yes,no,yes,yes,dinner,street,casual,casual,full bar,yes,free,yes,yes
95,the meatball shop,170 bedford ave,new york,ny,11249,(718) 551-0520,themeatballshop.com,$$,american (traditional);italian,4.0,williamsburg - north side,no,no,yes,yes,dinner; late night,street,casual,hipster,full bar,no,no,yes,yes
96,lot 2,687 6th ave,new york,ny,11215,(718) 499-5623,lot2restaurant.com,$$,american (new);burgers,4.5,south slope,no,no,no,yes,dinner,street,casual,intimate,full bar,no,no,yes,no
97,the grey dog,244 mulberry st,new york,ny,10012,(212) 966-1060,thegreydog.com,$$,coffee & tea;breakfast & brunch,4.0,nolita,no,yes,yes,yes,lunch,street,casual,casual,beer & wine only,no,no,no,yes
98,taboonette,30 e 13th st,new york,ny,10003,(212) 510-7881,taboonette.com,$$,middle eastern,4.0,union square; greenwich village,no,yes,yes,yes,lunch,street,casual,casual,no,no,no,no,yes
99,risotteria,270 bleecker st,new york,ny,10014,(212) 924-6664,risotteria.com,$$,italian;gluten-free;vegetarian,4.0,west village,no,yes,yes,yes,dinner,street,casual,casual,beer & wine only,no,no,yes,no
100,cc’s cafe,41 monroe st,new york,ny,10002,(212) 571-1060,ccscafenyc.com,$$,cafes;breakfast & brunch;american (new),4.0,two bridges,yes,no,yes,yes,brunch,street,casual,casual,beer & wine only,no,free,yes,no
101,the farm on adderley,1108 cortelyou rd,new york,ny,11218,(718) 287-3101,thefarmonadderley.com,$$,american (new);breakfast & brunch,4.0,flatbush,yes,no,yes,yes,brunch,street,casual,casual,full bar,yes,no,yes,no
102,house of small wonder,77 n 6th st,new york,ny,11211,(718) 388-6160,houseofsmallwonder.com,$$,breakfast & brunch;american (new);asian fusion,4.5,williamsburg - north side,no,no,yes,no,brunch,street,casual,casual,full bar,no,no,yes,no
103,brooklyn ice house,318 van brunt st,new york,ny,11231,(718) 222-1865,,$,barbeque;pubs,4.5,red hook,no,no,yes,no,lunch; dinner; late night,street,casual,divey,full bar,yes,no,yes,no
104,smithfield,138 w 25th st,new york,ny,10001,(212) 929-9677,smithfieldnyc.com,$$,pubs;american (traditional);sports bars,4.0,chelsea,yes,no,yes,yes,brunch; late night,garage; street,casual,casual,full bar,no,free,yes,no
105,egg shop,151 elizabeth st,new york,ny,10012,(646) 666-0810,eggshopnyc.com,$$,breakfast & brunch;sandwiches,4.0,little italy; nolita,no,no,yes,yes,lunch,street,casual,casual,full bar,no,no,yes,no
106,homemade taqueria,71-03 grand ave,new york,ny,11378,(718) 779-0771,homemadetaqueria.com,$,mexican,4.5,maspeth,no,yes,yes,yes,lunch,street,casual,casual,no,no,no,yes,yes
107,becco,355 w 46th st,new york,ny,10036,(212) 397-7597,becco-nyc.com,$$$,italian,4.0,theater district; hell's kitchen; midtown west,yes,no,no,yes,dinner,street,casual,casual,full bar,yes,no,yes,no
108,black swan,1048 bedford ave,new york,ny,11205,(718) 783-4744,blackswannyc.com,$$,pubs;gastropubs,3.5,bedford stuyvesant,yes,no,yes,yes,brunch,street,casual,casual,full bar,yes,free,yes,no
109,bo ky restaurant,80 bayard st,new york,ny,10013,(212) 406-2292,,$,chinese;vietnamese,3.5,chinatown,no,no,yes,no,lunch,street,casual,casual,no,no,no,yes,no
110,parker & quinn,64 w 39th st,new york,ny,10018,(212) 729-0277,parkerandquinnnyc.com,$$,american (new);bars;venues & event spaces,4.0,midtown west,yes,no,no,yes,brunch,street,casual,trendy,full bar,no,no,yes,no
111,go! go! curry!,273 w 38th st,new york,ny,10018,(212) 730-5555,gogocurryusa-ny.com,$,japanese,4.0,midtown west,no,yes,yes,yes,lunch,street,casual,casual,no,no,no,no,no
112,gramercy tavern,42 e 20th st,new york,ny,10003,(212) 477-0777,gramercytavern.com,$$$$,american (new),4.5,flatiron,yes,no,no,yes,dinner,street,dressy,classy,full bar,no,no,yes,no
113,little dokebi,85 driggs ave,new york,ny,11222,,,$$,korean,4.0,greenpoint,no,no,yes,no,dinner,street,casual,trendy,beer & wine only,no,no,yes,no
114,goggan,364 w 46th st,new york,ny,10036,(212) 315-2969,gogganrestaurant.com,$$$,korean,4.0,theater district; hell's kitchen; midtown west,yes,no,no,yes,dinner,garage; street,casual,trendy,full bar,yes,free,yes,no
115,the federal bar,367 metropolitan ave,new york,ny,11211,(718) 388-8641,bk.thefederalbar.com,$$,bars;american (new),4.5,williamsburg - north side,no,no,no,yes,,street,casual,hipster,full bar,yes,no,yes,yes
116,hollow nickel,494 atlantic ave,new york,ny,11217,(929) 226-1966,hollownickel.com,$$,pubs;american (traditional),4.0,boerum hill,no,no,yes,yes,late night,street,casual,casual,full bar,yes,free,no,no
117,barbuto,775 washington st,new york,ny,10014,(212) 924-9700,barbutonyc.com,$$$,italian;american (new),4.0,west village,yes,no,no,yes,dinner,street,casual,casual,full bar,yes,no,yes,no
118,el cocotero,228 w 18th st,new york,ny,10011,(212) 206-8930,cocotero-restaurant.com,$$,latin american,4.0,chelsea,yes,yes,yes,yes,dinner,street,casual,casual,beer & wine only,no,no,yes,yes
119,the castello plan,1213 cortelyou rd,new york,ny,11218,(718) 856-8888,thecastelloplan.com,$$,bars;american (new),4.0,flatbush,yes,no,yes,yes,brunch,street,casual,romantic,full bar,yes,no,yes,no
120,uglyduckling,166 smith st,new york,ny,11201,(718) 451-3825,uglyduckling-bk.com,$$,american (traditional);gastropubs,4.0,cobble hill,yes,yes,yes,yes,brunch,street,casual,casual,full bar,no,free,yes,no
121,beco,45 richardson st,new york,ny,11211,(718) 599-1645,becobar.com,$$,brazilian;bars,4.0,williamsburg - north side,yes,yes,yes,no,brunch; dinner,street,casual,casual,full bar,yes,no,yes,no
122,taverna kyclades,228 1st ave,new york,ny,10009,(212) 432-0011,tavernakyclades.com,$$,greek;seafood,4.0,stuyvesant town; east village,no,no,yes,yes,dinner,street,casual,casual,full bar,no,no,yes,no
123,champs,197 meserole st,new york,ny,11206,(718) 599-2743,champsdiner.com,$$,vegan;bakeries;diners,4.0,east williamsburg,no,yes,yes,yes,brunch,street,casual,hipster,no,no,no,no,yes
124,queens comfort,40-09 30th ave,new york,ny,11103,(718) 728-2350,queenscomfort.com,$$,breakfast & brunch;american (new);comfort food,4.0,astoria,no,no,yes,no,brunch,street,casual,casual,no,no,free,yes,yes
125,mark,33 st marks pl,new york,ny,10003,(212) 677-3132,stmarksburger.com,$,burgers,4.0,east village,no,no,yes,yes,dinner; late night,street,casual,casual,beer & wine only,yes,free,yes,no
126,house of thai,2501 40th ave,new york,ny,11101,(929) 522-0247,,$$,thai,4.5,long island city,yes,yes,yes,yes,,street,casual,casual,no,no,no,yes,no
127,the cinnamon snail,,new york,ny,10001,(862) 246-6431,cinnamonsnail.com,$,vegan;food trucks;mexican,4.5,,no,no,yes,no,lunch,street,casual,casual,no,no,no,no,yes
128,tavern on jane,31 8th ave,new york,ny,10014,(212) 675-2526,tavernonjane.com,$$,american (new),4.0,west village,yes,yes,yes,yes,brunch; dinner,street,casual,casual,full bar,no,free,yes,yes
129,the stanton social,99 stanton st,new york,ny,10002,(212) 995-0099,thestantonsocial.com,$$$,tapas/small plates;bars,4.0,lower east side,yes,no,no,yes,dinner,street,dressy,trendy,full bar,no,no,yes,no
130,friedman’s,132 w 31st st,new york,ny,10001,(212) 971-9400,friedmanslunch.com,$$,american (new);gluten-free;breakfast & brunch,4.0,midtown west,no,yes,yes,yes,brunch,street,casual,casual,beer & wine only,no,free,yes,yes
131,tchoup shop,50 wyckoff ave,new york,ny,11237,(347) 223-2710,tchoupshop.com,$$,cajun/creole;southern;caterers,4.5,bushwick,no,no,yes,yes,lunch,street,casual,casual,full bar,yes,free,yes,yes
132,il bambino,34-08 31st ave,new york,ny,11106,(718) 626-0087,ilbambinonyc.com,$$,italian;sandwiches;tapas bars,4.5,astoria,no,yes,yes,yes,lunch,street,casual,casual,beer & wine only,yes,no,yes,no
133,the upsider,1004 2nd ave,new york,ny,10022,(646) 726-4760,theupsidernyc.com,$$,american (new);breakfast & brunch;cocktail bars,3.5,midtown east,yes,yes,yes,yes,brunch,street,casual,trendy,full bar,yes,free,yes,yes
134,aita,132 greene ave,new york,ny,11238,(718) 576-3584,aitarestaurant.com,$$,italian,4.0,clinton hill,no,no,yes,yes,brunch,street,casual,intimate,full bar,no,free,yes,yes
