id,name,address,city,flavor,cluster_id
84,"les celebrites","160 central park s","new york","french",42
85,"les celebrites","155 w. 58th st.","new york city","french (classic)",42
86,"lespinasse","2 e. 55th st.","new york","american",43
87,"lespinasse (new york city)","2 e. 55th st.","new york city","asian",43
88,"lutece","249 e. 50th st.","new york","french",44
89,"lutece","249 e. 50th st.","new york city","french (classic)",44
90,"manhattan ocean club","57 w. 58th st.","new york","seafood",45
91,"manhattan ocean club","57 w. 58th st.","new york city","seafood",45
92,"march","405 e. 58th st.","new york","american",46
93,"march","405 e. 58th st.","new york city","american (new)",46
94,"mesa grill","102 5th ave.  between 15th and 16th sts.","new york","american",47
95,"mesa grill","102 fifth ave.","new york city","southwestern",47
96,"mi cocina","57 jane st.  off hudson st.","new york","mexican",48
97,"mi cocina","57 jane st.","new york city","mexican",48
98,"montrachet","239 w. broadway  between walker and white sts.","new york","french",49
99,"montrachet","239 w. broadway","new york city","french bistro",49
100,"oceana","55 e. 54th st.","new york","seafood",50
101,"oceana","55 e. 54th st.","new york city","seafood",50
102,"park avenue cafe","100 e. 63rd st.","new york","american",51
103,"park avenue cafe (new york city)","100 e. 63rd st.","new york city","american (new)",51
104,"petrossian","182 w. 58th st.","new york","french",52
105,"petrossian","182 w. 58th st.","new york city","russian",52
106,"picholine","35 w. 64th st.","new york","mediterranean",53
107,"picholine","35 w. 64th st.","new york city","mediterranean",53
108,"pisces","95 ave. a at 6th st.","new york","seafood",54
109,"pisces","95 ave. a","new york city","seafood",54
110,"rainbow room","30 rockefeller plaza","new york","or 212/632-5100 american",55
111,"rainbow room","30 rockefeller plaza","new york city","american (new)",55
112,"river cafe","1 water st. at the east river","brooklyn","american",56
113,"river cafe","1 water st.","brooklyn","american (new)",56
114,"san domenico","240 central park s","new york","italian",57
115,"san domenico","240 central park s.","new york city","italian",57
116,"second avenue deli","156 2nd ave. at 10th st.","new york","delicatessen",58
117,"second avenue deli","156 second ave.","new york city","delis",58
118,"seryna","11 e. 53rd st.","new york","asian",59
119,"seryna","11 e. 53rd st.","new york city","japanese",59
120,"shun lee west","43 w. 65th st.","new york","asian",60
121,"shun lee palace","155 e. 55th st.","new york city","chinese",60
122,"sign of the dove","1110 3rd ave. at 65th st.","new york","american",61
123,"sign of the dove","1110 third ave.","new york city","american (new)",61
124,"smith & wollensky","201 e. 49th st.","new york","american",62
125,"smith & wollensky","797 third ave.","new york city","steakhouses",62
126,"tavern on the green","in central park at 67th st.","new york","american",63
127,"tavern on the green","central park west","new york city","american (new)",63
128,"uncle nick's","747 9th ave.  between 50th and 51st sts.","new york","mediterranean",64
129,"uncle nick's","747 ninth ave.","new york city","greek",64
130,"union square cafe","21 e. 16th st.","new york","american",65
131,"union square cafe","21 e. 16th st.","new york city","american (new)",65
132,"virgil's","152 w. 44th st.","new york","american",66
133,"virgil's real bbq","152 w. 44th st.","new york city","bbq",66
134,"chin's","3200 las vegas blvd. s","las vegas","asian",67
135,"chin's","3200 las vegas blvd. s.","las vegas","chinese",67
136,"coyote cafe","3799 las vegas blvd. s","las vegas","southwestern",68
137,"coyote cafe (las vegas)","3799 las vegas blvd. s.","las vegas","southwestern",68
138,"le montrachet","3000 w. paradise rd.","las vegas","continental",69
139,"le montrachet bistro","3000 paradise rd.","las vegas","french bistro",69
140,"palace court","3570 las vegas blvd. s","las vegas","continental",70
141,"palace court","3570 las vegas blvd. s.","las vegas","french (new)",70
142,"second street grille","200 e. fremont st.","las vegas","seafood",71
143,"second street grill","200 e. fremont st.","las vegas","pacific rim",71
144,"steak house","2880 las vegas blvd. s","las vegas","steak houses",72
145,"steak house  the","2880 las vegas blvd. s.","las vegas","steakhouses",72
146,"tillerman","2245 e. flamingo rd.","las vegas","seafood",73
147,"tillerman  the","2245 e. flamingo rd.","las vegas","steakhouses",73
148,"abruzzi","2355 peachtree rd.  peachtree battle shopping center","atlanta","italian",74
149,"abruzzi","2355 peachtree rd. ne","atlanta","italian",74
150,"bacchanalia","3125 piedmont rd.  near peachtree rd.","atlanta","international",75
151,"bacchanalia","3125 piedmont rd.","atlanta","californian",75
152,"bone's","3130 piedmont road","atlanta","american",76
153,"bone's restaurant","3130 piedmont rd. ne","atlanta","steakhouses",76
154,"brasserie le coze","3393 peachtree rd.  lenox square mall  near neiman marcus","atlanta","french",77
155,"brasserie le coze","3393 peachtree rd.","atlanta","french bistro",77
156,"buckhead diner","3073 piedmont road","atlanta","american",78
157,"buckhead diner","3073 piedmont rd.","atlanta","american (new)",78
158,"ciboulette","1529 piedmont ave.","atlanta","french",79
159,"ciboulette restaurant","1529 piedmont ave.","atlanta","french (new)",79
160,"delectables","1 margaret mitchell sq.","atlanta","american",80
161,"delectables","1 margaret mitchell sq.","atlanta","cafeterias",80
162,"georgia grille","2290 peachtree rd.  peachtree square shopping center","atlanta","american",81
163,"georgia grille","2290 peachtree rd.","atlanta","southwestern",81
164,"hedgerose heights inn","490 e. paces ferry rd.","atlanta","international",82
165,"hedgerose heights inn  the","490 e. paces ferry rd. ne","atlanta","continental",82
166,"heera of india","595 piedmont ave.  rio shopping mall","atlanta","asian",83
167,"heera of india","595 piedmont ave.","atlanta","indian",83
168,"indigo coastal grill","1397 n. highland ave.","atlanta","caribbean",84
169,"indigo coastal grill","1397 n. highland ave.","atlanta","eclectic",84
170,"la grotta","2637 peachtree rd.  peachtree house condominium","atlanta","italian",85
171,"la grotta","2637 peachtree rd. ne","atlanta","italian",85
172,"mary mac's tea room","224 ponce de leon ave.","atlanta","southern",86
173,"mary mac's tea room","224 ponce de leon ave.","atlanta","southern/soul",86
174,"nikolai's roof","255 courtland st.  at harris st.","atlanta","continental",87
175,"nikolai's roof","255 courtland st.","atlanta","continental",87
176,"pano's and paul's","1232 w. paces ferry rd.","atlanta","international",88
177,"pano's & paul's","1232 w. paces ferry rd.","atlanta","american (new)",88
178,"cafe  ritz-carlton  buckhead","3434 peachtree rd.","atlanta","ext 6108 international",89
179,"ritz-carlton cafe (buckhead)","3434 peachtree rd. ne","atlanta","american (new)",89
180,"dining room  ritz-carlton  buckhead","3434 peachtree rd.","atlanta","international",90
181,"ritz-carlton dining room (buckhead)","3434 peachtree rd. ne","atlanta","american (new)",90
182,"restaurant  ritz-carlton  atlanta","181 peachtree st.","atlanta","continental",91
183,"ritz-carlton restaurant","181 peachtree st.","atlanta","french (classic)",91
184,"toulouse","b peachtree rd.","atlanta","french",92
185,"toulouse","293-b peachtree rd.","atlanta","french (new)",92
186,"veni vidi vici","41 14th st.","atlanta","italian",93
187,"veni vidi vici","41 14th st.","atlanta","italian",93
188,"alain rondelli","126 clement st.","san francisco","french",94
189,"alain rondelli","126 clement st.","san francisco","french (new)",94
190,"aqua","252 california st.","san francisco","seafood",95
191,"aqua","252 california st.","san francisco","american (new)",95
192,"boulevard","1 mission st.","san francisco","american",96
193,"boulevard","1 mission st.","san francisco","american (new)",96
194,"cafe claude","7 claude la.","san francisco","french",97
195,"cafe claude","7 claude ln.","san francisco","french bistro",97
196,"campton place","340 stockton st.","san francisco","american",98
197,"campton place","340 stockton st.","san francisco","american (new)",98
198,"chez michel","804 northpoint","san francisco","french",99
199,"chez michel","804 north point st.","san francisco","californian",99
200,"fleur de lys","777 sutter st.","san francisco","french",100
201,"fleur de lys","777 sutter st.","san francisco","french (new)",100
202,"fringale","570 4th st.","san francisco","french",101
203,"fringale","570 fourth st.","san francisco","french bistro",101
204,"hawthorne lane","22 hawthorne st.","san francisco","american",102
205,"hawthorne lane","22 hawthorne st.","san francisco","californian",102
206,"khan toke thai house","5937 geary blvd.","san francisco","asian",103
207,"khan toke thai house","5937 geary blvd.","san francisco","thai",103
208,"la folie","2316 polk st.","san francisco","french",104
209,"la folie","2316 polk st.","san francisco","french (new)",104
210,"lulu","816 folsom st.","san francisco","mediterranean",105
211,"lulu restaurant-bis-cafe","816 folsom st.","san francisco","mediterranean",105
212,"masa's","648 bush st.","san francisco","french",106
213,"masa's","648 bush st.","san francisco","french (new)",106
214,"mifune japan center  kintetsu building","1737 post st.","san francisco","asian",107
215,"mifune","1737 post st.","san francisco","japanese",107
216,"plumpjack cafe","3201 fillmore st.","san francisco","mediterranean",108
217,"plumpjack cafe","3127 fillmore st.","san francisco","american (new)",108
218,"postrio","545 post st.","san francisco","american",109
219,"postrio","545 post st.","san francisco","californian",109
220,"ritz-carlton restaurant and dining room","600 stockton st.","san francisco","american",110
221,"ritz-carlton dining room (san francisco)","600 stockton st.","san francisco","french (new)",110
222,"rose pistola","532 columbus ave.","san francisco","italian",111
223,"rose pistola","532 columbus ave.","san francisco","italian",111
224,"adriano's ristorante","2930 beverly glen circle","los angeles","italian",112
225,"barney greengrass","9570 wilshire blvd.","beverly hills","american",113
226,"beaurivage","26025 pacific coast hwy.","malibu","french",114
227,"bistro garden","176 n. canon dr.","los angeles","californian",115
228,"border grill","4th st.","los angeles","mexican",116
229,"broadway deli","3rd st. promenade","santa monica","american",117
230,"ca'brea","346 s. la brea ave.","los angeles","italian",118
231,"ca'del sol","4100 cahuenga blvd.","los angeles","italian",119
232,"cafe pinot","700 w. fifth st.","los angeles","californian",120
233,"california pizza kitchen","207 s. beverly dr.","los angeles","californian",121
234,"canter's","419 n. fairfax ave.","los angeles","american",122
235,"cava","3rd st.","los angeles","mediterranean",123
236,"cha cha cha","656 n. virgil ave.","los angeles","caribbean",124
237,"chan dara","310 n. larchmont blvd.","los angeles","asian",125
238,"clearwater cafe","168 w. colorado blvd.","los angeles","health food",126
239,"dining room","9500 wilshire blvd.","los angeles","californian",127
240,"dive!","10250 santa monica blvd.","los angeles","dive american",128
241,"drago","2628 wilshire blvd.","santa monica","italian",129
242,"drai's","730 n. la cienega blvd.","los angeles","french",130
243,"dynasty room","930 hilgard ave.","los angeles","continental",131
244,"eclipse","8800 melrose ave.","los angeles","californian",132
245,"ed debevic's","134 n. la cienega","los angeles","american",133
246,"el cholo","1121 s. western ave.","los angeles","mexican",134
247,"gilliland's","2424 main st.","santa monica","american",135
248,"gladstone's","4 fish 17300 pacific coast hwy. at sunset blvd.","pacific palisades","american",136
249,"hard rock cafe","8600 beverly blvd.","los angeles","american",137
250,"harry's bar & american grill","2020 ave. of the stars","los angeles","italian",138
251,"il fornaio cucina italiana","301 n. beverly dr.","los angeles","italian",139
252,"jack sprat's grill","10668 w. pico blvd.","los angeles","health food",140
253,"jackson's farm","439 n. beverly drive","los angeles","californian",141
254,"jimmy's","201 moreno dr.","los angeles","continental",142
255,"joss","9255 sunset blvd.","los angeles","asian",143
256,"le colonial","8783 beverly blvd.","los angeles","asian",144
257,"le dome","8720 sunset blvd.","los angeles","french",145
258,"louise's trattoria","4500 los feliz blvd.","los angeles","italian",146
259,"mon kee seafood restaurant","679 n. spring st.","los angeles","asian",147
260,"morton's","8764 melrose ave.","los angeles","american",148
261,"nate 'n' al's","414 n. beverly dr.","los angeles","american",149
262,"nicola","601 s. figueroa st.","los angeles","american",150
263,"ocean avenue","1401 ocean ave.","santa monica","american",151
264,"orleans","11705 national blvd.","los angeles","cajun",152
265,"pacific dining car","6th st.","los angeles","american",153
266,"paty's","10001 riverside dr.","toluca lake","american",154
267,"pinot hollywood","1448 n. gower st.","los angeles","californian",155
268,"posto","14928 ventura blvd.","sherman oaks","italian",156
269,"prego","362 n. camden dr.","los angeles","italian",157
270,"rj's the rib joint","252 n. beverly dr.","los angeles","american",158
271,"remi","3rd st. promenade","santa monica","italian",159
272,"restaurant horikawa","111 s. san pedro st.","los angeles","asian",160
273,"roscoe's house of chicken 'n' waffles","1514 n. gower st.","los angeles","american",161
274,"schatzi on main","3110 main st.","los angeles","continental",162
275,"sofi","3rd st.","los angeles","mediterranean",163
276,"swingers","8020 beverly blvd.","los angeles","american",164
277,"tavola calda","7371 melrose ave.","los angeles","italian",165
278,"the mandarin","430 n. camden dr.","los angeles","asian",166
279,"tommy tang's","7313 melrose ave.","los angeles","asian",167
280,"tra di noi","3835 cross creek rd.","los angeles","italian",168
281,"trader vic's","9876 wilshire blvd.","los angeles","asian",169
282,"vida","1930 north hillhurst ave.","los feliz","american",170
283,"west beach cafe","60 n. venice blvd.","los angeles","american",171
284,"20 mott","20 mott st.  between bowery and pell st.","new york","asian",172
285,"9 jones street","9 jones st.","new york","american",173
286,"adrienne","700 5th ave. at 55th st.","new york","french",174
287,"agrotikon","322 e. 14 st.  between 1st and 2nd aves.","new york","mediterranean",175
288,"aja","937 broadway at 22nd st.","new york","american",176
289,"alamo","304 e. 48th st.","new york","mexican",177
290,"alley's end","311 w. 17th st.","new york","american",178
291,"ambassador grill","1 united nations plaza at 44th st.","new york","american",179
292,"american place","2 park ave. at 32nd st.","new york","american",180
293,"anche vivolo","222 e. 58th st.  between 2nd and 3rd aves.","new york","italian",181
294,"arizona","206 206 e. 60th st.","new york","american",182
295,"arturo's","106 w. houston st.  off thompson st.","new york","italian",183
296,"au mandarin","200-250 vesey st. world financial center","new york","asian",184
297,"bar anise","1022 3rd ave.  between 60th and 61st sts.","new york","mediterranean",185
298,"barbetta","321 w. 46th st.","new york","italian",186
299,"ben benson's","123 w. 52nd st.","new york","american",187
300,"big cup","228 8th ave.  between 21st and 22nd sts.","new york","coffee bar",188
301,"billy's","948 1st ave.  between 52nd and 53rd sts.","new york","american",189
302,"boca chica","13 1st ave.  near 1st st.","new york","latin american",190
303,"bolo","23 e. 22nd st.","new york","mediterranean",191
304,"boonthai","1393a 2nd ave.  between 72nd and 73rd sts.","new york","asian",192
305,"bouterin","420 e. 59th st.  off 1st ave.","new york","french",193
306,"brothers bar-b-q","225 varick st. at clarkston st.","new york","american",194
307,"bruno","240 e. 58th st.","new york","italian",195
308,"bryant park grill  roof restaurant and bp cafe","25 w. 40th st.  between 5th and 6th aves.","new york","american",196
309,"c3","103 waverly pl.  near washington sq.","new york","american",197
310,"ct","111 e. 22nd st.  between park ave. s and lexington ave.","new york","french",198
311,"cafe bianco","1486 2nd ave.  between 77th and 78th sts.","new york","coffee bar",199
312,"cafe botanica","160 central park s","new york","french",200
313,"cafe la fortuna","69 w. 71st st.","new york","coffee bar",201
314,"cafe luxembourg","200 w. 70th st.","new york","french",202
315,"cafe pierre","2 e. 61st st.","new york","french",203
316,"cafe centro","200 park ave.  between 45th st. and vanderbilt ave.","new york","french",204
317,"cafe fes","246 w. 4th st. at charles st.","new york","mediterranean",205
318,"caffe dante","81 macdougal st.  between houston and bleeker sts.","new york","coffee bar",206
319,"caffe dell'artista","46 greenwich ave.","new york","coffee bar",207
320,"caffe lure","169 sullivan st.  between houston and bleecker sts.","new york","french",208
321,"caffe reggio","119 macdougal st.  between 3rd and bleecker sts.","new york","coffee bar",209
322,"caffe roma","385 broome st. at mulberry","new york","coffee bar",210
323,"caffe vivaldi","32 jones st. at bleecker st.","new york","coffee bar",211
324,"caffe bondi ristorante","7 w. 20th st.","new york","italian",212
325,"capsouto freres","451 washington st.  near watts st.","new york","french",213
326,"captain's table","860 2nd ave. at 46th st.","new york","seafood",214
327,"casa la femme","150 wooster st.  between houston and prince sts.","new york","middle eastern",215
328,"cendrillon asian grill & marimba bar","45 mercer st.  between broome and grand sts.","new york","asian",216
329,"chez jacqueline","72 macdougal st.  between w. houston and bleecker sts.","new york","french",217
330,"chiam","160 e. 48th st.","new york","asian",218
331,"china grill","60 w. 53rd st.","new york","american",219
332,"cite","120 w. 51st st.","new york","french",220
333,"coco pazzo","23 e. 74th st.","new york","italian",221
334,"columbus bakery","53rd sts.","new york","coffee bar",222
335,"corrado cafe","1013 3rd ave.  between 60th and 61st sts.","new york","coffee bar",223
336,"cupcake cafe","522 9th ave. at 39th st.","new york","coffee bar",224
337,"da nico","164 mulberry st.  between grand and broome sts.","new york","italian",225
338,"dean & deluca","121 prince st.","new york","coffee bar",226
339,"diva","341 w. broadway  near grand st.","new york","italian",227
340,"dix et sept","181 w. 10th st.","new york","french",228
341,"docks","633 3rd ave. at 40th st.","new york","seafood",229
342,"duane park cafe","157 duane st.  between w. broadway and hudson st.","new york","american",230
343,"el teddy's","219 w. broadway  between franklin and white sts.","new york","mexican",231
344,"emily's","1325 5th ave. at 111th st.","new york","american",232
345,"empire korea","6 e. 32nd st.","new york","asian",233
346,"ernie's","2150 broadway  between 75th and 76th sts.","new york","american",234
347,"evergreen cafe","1288 1st ave. at 69th st.","new york","asian",235
348,"f. ille ponte ristorante","39 desbrosses st.  near west st.","new york","italian",236
349,"felix","340 w. broadway at grand st.","new york","french",237
350,"ferrier","29 e. 65th st.","new york","french",238
351,"fifty seven fifty seven","57 e. 57th st.","new york","american",239
352,"film center cafe","635 9th ave.  between 44th and 45th sts.","new york","american",240
353,"fiorello's roman cafe","1900 broadway  between 63rd and 64th sts.","new york","italian",241
354,"firehouse","522 columbus ave.  between 85th and 86th sts.","new york","american",242
355,"first","87 1st ave.  between 5th and 6th sts.","new york","american",243
356,"fishin eddie","73 w. 71st st.","new york","seafood",244
357,"fleur de jour","348 e. 62nd st.","new york","coffee bar",245
358,"flowers","21 west 17th st.  between 5th and 6th aves.","new york","american",246
359,"follonico","6 w. 24th st.","new york","italian",247
360,"fraunces tavern","54 pearl st. at broad st.","new york","american",248
361,"french roast","458 6th ave. at 11th st.","new york","french",249
362,"french roast cafe","2340 broadway at 85th st.","new york","coffee bar",250
363,"frico bar","402 w. 43rd st.  off 9th ave.","new york","italian",251
364,"fujiyama mama","467 columbus ave.  between 82nd and 83rd sts.","new york","asian",252
365,"gabriela's","685 amsterdam ave. at 93rd st.","new york","mexican",253
366,"gallagher's","228 w. 52nd st.","new york","american",254
367,"gianni's","15 fulton st.","new york","seafood",255
368,"girafe","208 e. 58th st.  between 2nd and 3rd aves.","new york","italian",256
369,"global","33 93 2nd ave.  between 5th and 6th sts.","new york","american",257
370,"golden unicorn","18 e. broadway at catherine st.","new york","asian",258
371,"grand ticino","228 thompson st.  between w. 3rd and bleecker sts.","new york","italian",259
372,"halcyon","151 w. 54th st.  in the rihga royal hotel","new york","american",260
373,"hard rock cafe","221 w. 57th st.","new york","american",261
374,"hi-life restaurant and lounge","1340 1st ave. at 72nd st.","new york","american",262
375,"home","20 cornelia st.  between bleecker and w. 4th st.","new york","american",263
376,"hudson river club","4 world financial center","new york","american",264
377,"i trulli","122 e. 27th st.  between lexington and park aves.","new york","italian",265
378,"il cortile","125 mulberry st.  between canal and hester sts.","new york","italian",266
379,"il nido","251 e. 53rd st.","new york","italian",267
380,"inca grill","492 broome st.  near w. broadway","new york","latin american",268
381,"indochine","430 lafayette st.  between 4th st. and astor pl.","new york","asian",269
382,"internet cafe","82 e. 3rd st.  between 1st and 2nd aves.","new york","coffee bar",270
383,"ipanema","13 w. 46th st.","new york","latin american",271
384,"jean lafitte","68 w. 58th st.","new york","french",272
385,"jewel of india","15 w. 44th st.","new york","asian",273
386,"jimmy sung's","219 e. 44th st.  between 2nd and 3rd aves.","new york","asian",274
387,"joe allen","326 w. 46th st.","new york","american",275
388,"judson grill","152 w. 52nd st.","new york","american",276
389,"l'absinthe","227 e. 67th st.","new york","french",277
390,"l'auberge","1191 1st ave.  between 64th and 65th sts.","new york","middle eastern",278
391,"l'auberge du midi","310 w. 4th st.  between w. 12th and bank sts.","new york","french",279
392,"l'udo","432 lafayette st.  near astor pl.","new york","french",280
393,"la reserve","4 w. 49th st.","new york","french",281
394,"lanza restaurant","168 1st ave.  between 10th and 11th sts.","new york","italian",282
395,"lattanzi ristorante","361 w. 46th st.","new york","italian",283
396,"layla","211 w. broadway at franklin st.","new york","middle eastern",284
397,"le chantilly","106 e. 57th st.","new york","french",285
398,"le colonial","149 e. 57th st.","new york","asian",286
399,"le gamin","50 macdougal st.  between houston and prince sts.","new york","coffee bar",287
400,"le jardin","25 cleveland pl.  near spring st.","new york","french",288
401,"le madri","168 w. 18th st.","new york","italian",289
402,"le marais","150 w. 46th st.","new york","american",290
403,"le perigord","405 e. 52nd st.","new york","french",291
404,"le select","507 columbus ave.  between 84th and 85th sts.","new york","american",292
405,"les halles","411 park ave. s  between 28th and 29th sts.","new york","french",293
406,"lincoln tavern","51 w. 64th st.","new york","american",294
407,"lola","30 west 22nd st.  between 5th and 6th ave.","new york","american",295
408,"lucky strike","59 grand st.  between wooster st. and w. broadway","new york","or 212/941-0772 american",296
409,"mad fish","2182 broadway  between 77th and 78th sts.","new york","seafood",297
410,"main street","446 columbus ave.  between 81st and 82nd sts.","new york","american",298
411,"mangia e bevi","800 9th ave. at 53rd st.","new york","italian",299
412,"manhattan cafe","1161 1st ave.  between 63rd and 64th sts.","new york","american",300
413,"manila garden","325 e. 14th st.  between 1st and 2nd aves.","new york","asian",301
414,"marichu","342 e. 46th st.  between 1st and 2nd aves.","new york","french",302
415,"marquet patisserie","15 e. 12th st.  between 5th ave. and university pl.","new york","coffee bar",303
416,"match","160 mercer st.  between houston and prince sts.","new york","american",304
417,"matthew's","1030 3rd ave. at 61st st.","new york","american",305
418,"mavalli palace","46 e. 29th st.","new york","asian",306
419,"milan cafe and coffee bar","120 w. 23rd st.","new york","coffee bar",307
420,"monkey bar","60 e. 54th st.","new york","american",308
421,"montien","1134 1st ave.   between 62nd and 63rd sts.","new york","asian",309
422,"morton's","551 5th ave. at 45th st.","new york","american",310
423,"motown cafe","104 w. 57th st.  near 6th ave.","new york","american",311
424,"new york kom tang soot bul house","32 w. 32nd st.","new york","asian",312
425,"new york noodletown","28 1/2 bowery at bayard st.","new york","asian",313
426,"newsbar","2 w. 19th st.","new york","coffee bar",314
427,"odeon","145 w. broadway at thomas st.","new york","american",315
428,"orso","322 w. 46th st.","new york","italian",316
429,"osteria al droge","142 w. 44th st.","new york","italian",317
430,"otabe","68 e. 56th st.","new york","asian",318
431,"pacifica","138 lafayette st.  between canal and howard sts.","new york","asian",319
432,"palio","151 w. 51st. st.","new york","italian",320
433,"pamir","1065 1st ave.  at 58th st.","new york","middle eastern",321
434,"parioli romanissimo","24 e. 81st st.","new york","italian",322
435,"patria","250 park ave. s at 20th st.","new york","latin american",323
436,"peacock alley","301 park ave.  between 49th and 50th sts.","new york","french",324
437,"pen & pencil","205 e. 45th st.","new york","american",325
438,"penang soho","109 spring st.  between greene and mercer sts.","new york","asian",326
439,"persepolis","1423 2nd ave.  between 74th and 75th sts.","new york","middle eastern",327
440,"planet hollywood","140 w. 57th st.","new york","american",328
441,"pomaire","371 w. 46th st.  off 9th ave.","new york","latin american",329
442,"popover cafe","551 amsterdam ave.  between 86th and 87th sts.","new york","american",330
443,"post house","28 e. 63rd st.","new york","american",331
444,"rain","100 w. 82nd st.","new york","asian",332
445,"red tulip","439 e. 75th st.","new york","eastern european",333
446,"remi","145 w. 53rd st.","new york","italian",334
447,"republic","37a union sq. w  between 16th and 17th sts.","new york","asian",335
