id,name,votes,rating,phone,address,zip,cuisine,reviewcount
30,the sit down cafe & sushi bar,135,3.9,(773) 324-3700,1312 e. 53rd street,60615,"sushi,sandwich,pizza,italian",4
31,gaslight coffee roasters,14,3.2,not available,2385 n. milwaukee avenue,60647,cafe,4
32,glenn's diner,486,4.0,(773) 506-1720,1820 w. montrose avenue,60613,"american,seafood",24
33,hong min restaurant,118,3.9,(708) 599-8488,8048 w 111th street,60465,chinese,10
34,scooby's red hots,115,3.7,(630) 231-4848,1020 e. north avenue,60185,"fast food,american,burger",8
35,silo restaurant,137,3.9,(847) 234-6660,625 rockland road,60044,"pizza,sandwich,american",7
36,fleming's prime steakhouse & wine bar,78,4.3,(312) 329-9463,25 e. ohio street,60611,steakhouse,12
37,pita inn,158,4.0,(847) 808-7733,122 s. elmhurst road,60090,"middle eastern,mediterranean",8
38,hachi's kitchen,235,3.7,(773) 276-8080,2521 n. california avenue,60647,"japanese,sushi",7
39,the snail thai cuisine,160,4.1,(773) 667-5423,1649 e. 55th street,60615,"seafood,thai",5
40,erie cafe,108,3.5,(312) 266-2300,536 w. erie street,60610,"american,italian,steakhouse",13
41,meli cafe,36,3.7,(312) 834-0500,500 s. dearborn street,60605,"american,healthy food",8
42,kaufman's,61,4.2,(847) 677-6190,4905 w. dempster street,60077,"sandwich,deli",4
43,lou mitchell's,321,4.2,(312) 939-3111,565 w. jackson boulevard,60661,american,22
44,my thai/takumi,82,3.5,(312) 669-1999,555 w. madison street,60661,"asian,sushi,thai",7
45,rickshaw republic,31,3.4,(773) 697-4750,2312 n. lincoln avenue,60614,"indonesian,asian",3
46,which wich,45,3.4,(331) 229-3592,2728 w. 75th street,60565,sandwich,6
47,clarke's,144,3.5,(847) 864-1610,720 clark street,60201,"american,diner",6
48,bentley's pancake house & restaurant,121,3.8,(630) 295-9888,142 e. lake street,60108,diner,2
49,sweet tomatoes,57,3.5,(847) 619-1271,1951 mcconnor parkway,60173,american,8
50,l' patron tacos,51,3.8,(773) 252-6335,2815 w. diversey avenue,60647,"mexican,taco",7
51,maravilla's restaurant,226,3.6,(773) 643-3155,5506 s. lake park avenue,60637,mexican,9
52,taxim,120,3.7,(773) 252-1558,1558 n. milwaukee avenue,60622,greek,7
53,besa mi taco,85,3.6,(630) 773-0722,1180 n. arlington heights road,60143,mexican,8
54,ann sather,384,3.8,(773) 348-2378,909 w. belmont avenue,60657,"american,swedish,bakery",18
55,sakamoto japanese grill and sushi,39,3.3,(630) 554-2388,2984 u.s. route 34,60543,"japanese,sushi",5
56,sweet baby ray's,152,3.8,(847) 437-9555,800 e. higgins road,60007,bbq,12
57,dunlays on clark,153,3.7,(773) 883-6000,2600 n. clark street,60614,american,3
58,northside bar and grill,80,3.5,(773) 384-3555,1635 n. damen avenue,60647,"american,burger,bar food",5
59,community tavern,12,3.0,(773) 283-6080,4038 n. milwaukee avenue,60641,new american,1
61,umami burger,24,3.3,(773) 423-2005,1480 n. milwaukee avenue,60622,burger,7
62,chuck's: a kerry simon kitchen,28,3.2,(312) 334-6700,hard rock hotel,60601,american,4
63,p.f. chang's,198,3.9,(708) 675-3970,14135 s. la grange road,60462,"asian,chinese",9
64,cedar grill,140,3.8,(630) 241-2525,2223 ogden avenue,60515,middle eastern,13
65,dixie kitchen & bait shop,553,3.8,(847) 733-9030,825 church street,60201,southern,21
66,the scout waterhouse & kitchen,45,3.3,(312) 705-0595,1301 s. wabash avenue,60605,"burger,american",2
67,cafe des architectes,71,3.9,(312) 324-4063,sofitel hotel,60611,"french,mediterranean",5
68,new rebozo chicago,48,4.1,(312) 202-4191,46 e. superior street,60611,mexican,10
69,taqueria los mogotes de michoacan,84,4.0,(847) 432-5667,2069 green bay road,60035,mexican,5
70,bombay wraps,85,3.6,(312) 739-9727,122 n. wells street,60606,indian,3
71,cozymels coastal mex,128,3.5,(630) 871-1030,311 e. loop road,60187,mexican,4
72,gemini bistro,102,3.9,(773) 525-2522,2075 n. lincoln avenue,60614,"american,french",3
73,the boundary tavern and grille,64,3.5,(773) 278-1919,1932 w. division street,60622,american,0
74,d & j bistro,156,4.0,(847) 438-8001,466 s. rand road,60047,french,5
75,psistaria greek taverna,75,4.2,(847) 676-9400,4711 w. touhy avenue,60712,greek,5
76,star of siam,298,3.6,(312) 670-0100,11 e. illinois street,60611,thai,32
77,rootstock,98,3.9,(773) 292-1616,954 n. california avenue,60622,american,7
78,pockets,54,3.4,(773) 667-1313,1307 e. 53rd street,60615,"sandwich,healthy food",13
79,barley & brass,4,2.7,(312) 763-9600,2015 w. division street,60622,"new american,bar food",1
80,moe's cantina,44,3.1,(312) 245-2000,155 w. kinzie street,60654,mexican,3
81,daily bar & grill,143,3.7,(773) 561-6198,4560 n. lincoln avenue,60625,"american,bar food",5
82,dicola's seafood,269,4.1,(773) 238-7071,10754 s. western avenue,60643,seafood,7
83,firehouse grill,149,3.6,(847) 733-1911,750 chicago avenue,60202,"american,burger",3
84,eggshells,222,3.7,(847) 719-3447,596 w. route 22,60047,american,21
85,the reservoir,30,3.5,(773) 275-4000,844 w. montrose avenue,60613,bar food,3
86,pazzo's cucina italiana,82,3.4,(312) 386-9400,23 e. jackson boulevard,60604,"pizza,italian",11
87,piccolo sogno,275,3.9,(312) 421-0077,464 n. halsted street,60622,italian,14
88,elephant,107,3.7,(773) 467-1168,5348 w. devon avenue,60646,"asian,seafood,thai",2
89,soul vegetarian,80,3.6,(773) 224-0104,205 e. 75th street,60619,vegetarian,4
90,bucho's mexican restaurant,152,3.9,(630) 226-9627,235 s. bolingbrook drive,60440,mexican,9
91,moretti's ristorante & pizzeria,133,3.7,(773) 631-1223,6727 n. olmsted avenue,60631,"american,italian,pizza",4
92,rios d'sudamerica,68,3.7,(773) 276-0170,2010 w. armitage avenue,60647,"peruvian,south american,latin american",9
93,augustino's rock and roll deli,166,3.9,(630) 665-5585,246 s. schmale road,60188,"sandwich,pizza,deli",10
94,cafe corea,245,4.3,(773) 288-1795,1603 e. 55th street,60615,"korean,asian",1
95,mythos greek taverna,146,3.7,(773) 334-2000,2032 w. montrose avenue,60618,"greek,mediterranean,mediterranean",9
96,dinotto pizza e vino,139,3.6,(312) 202-0302,1551 n. wells street,60610,"italian,pizza",8
97,prosecco,133,3.7,(312) 951-9500,710 n. wells street,60610,italian,5
98,irazu,379,4.0,(773) 252-5687,1865 n. milwaukee avenue,60647,latin american,16
99,pasteur,31,3.3,(773) 728-4800,5525 n. broadway street,60640,vietnamese,3
100,vera chicago,79,4.2,(312) 243-9770,1023 w. lake street,60607,"tapas,spanish",6
101,gather,28,3.4,(773) 506-9300,4539 n. lincoln avenue,60625,american,5
102,bulldogs grill,144,4.3,(847) 526-8234,122 s. main street,60084,"burger,american",10
103,dan's pizza,40,3.5,(630) 963-6900,2738 maple avenue,60515,"pizza,sandwich",2
104,nikko sushi,95,4.2,(847) 364-9546,282 e. algonquin road,60005,"japanese,korean,sushi",8
105,chief o'neill's,69,4.6,(773) 473-5263,3471 n. elston avenue,60618,"irish,pub food",8
106,canton tea garden,41,3.4,(847) 823-2818,805 devon avenue,60068,chinese,1
107,union house,53,4.5,(630) 456-4188,0s050 winfield road,60190,"seafood,southern,tapas",5
108,dinkel's bakery,98,3.6,(773) 281-7300,3329 n. lincoln avenue,60657,"cafe,bakery",4
109,sweet mandy b's,440,3.9,(773) 244-1174,1208 w. webster avenue,60614,"desserts,bakery",15
110,the purple pig,1723,4.6,(312) 464-1744,500 n. michigan avenue,60611,"mediterranean,tapas",152
111,addis abeba,153,3.7,(847) 328-5411,1322 chicago avenue,60201,"african,ethiopian",9
112,brothers k coffeehouse,298,4.0,(847) 328-7940,500 main street,60202,coffee and tea,6
113,ceres' table,92,3.8,(773) 922-4020,3124 n. broadway street,60657,italian,5
114,found kitchen and social house,39,3.5,(847) 868-8945,1631 chicago avenue,60201,new american,5
115,seven lions,8,3.1,(312) 880-0130,130 s. michigan avenue,60603,american,4
116,cooper's hawk winery & restaurant,89,3.9,(847) 215-1200,583 n. milwaukee avenue,60090,"american,italian",3
117,hecky's barbecue,152,3.9,(847) 492-1182,1902 green bay road,60201,"american,bbq,sandwich",5
118,grove kitchen,12,2.9,(847) 705-4910,795 w. dundee road,60074,american,6
119,the turf room,176,3.8,(630) 906-9300,1033 kilbery street,60542,"american,burger,steakhouse",9
120,the goddess and grocer,79,3.7,(773) 342-3200,1646 n. damen avenue,60647,"american,sandwich,deli",6
121,tortas frontera,248,4.1,(773) 686-6180,o'hare international airport,60666,"mexican,sandwich",40
122,simone's,105,4.1,(312) 666-8601,960 w. 18th street,60608,"american,sandwich,pizza",4
123,falafel & grill,19,3.1,(773) 292-8888,1317 n. milwaukee avenue,60622,"mediterranean,middle eastern",2
124,gibsons bar & steakhouse,105,3.7,(630) 954-0000,2105 south spring road,60523,steakhouse,4
125,old oak tap,81,3.7,(773) 772-0406,2109 w. chicago avenue,60622,american,4
126,shula's steak house,58,3.5,(312) 670-0788,sheraton chicago hotel,60611,"steakhouse,american",11
127,mister j's dawg 'n burger,67,3.4,(312) 943-4679,822 n. state street,60610,"burger,sandwich,american",6
128,qdoba mexican grill,32,3.2,(312) 212-1201,175 w. jackson boulevard,60604,mexican,2
129,max & benny's restaurant,141,3.6,(847) 272-9490,461 waukegan road,60062,sandwich,10
130,mangia fresca,45,3.5,(312) 225-7100,2556 s. archer avenue,60608,italian,4
131,pizza capri,139,3.7,(773) 324-7777,1501 e. 53rd street,60615,"italian,pizza",6
132,twin anchors,531,4.0,(312) 266-1616,1655 n. sedgwick street,60614,"american,bbq",25
133,corner bakery cafe,97,3.6,(312) 266-2570,676 n. st. clair street,60611,"sandwich,bakery,cafe",5
134,dinosaur bar-b-que,8,2.9,(312) 462-1053,923 w. weed street,60642,"american,bbq",4
135,chicago's dog house,101,4.0,(773) 248-3647,816 w. fullerton avenue,60614,"fast food,american",7
136,pho ha,75,3.7,(630) 894-4000,1971 bloomingdale road,60139,vietnamese,5
137,maciano's pizza & pastaria,114,3.6,(847) 697-1400,3091 u.s. route 20,60124,"italian,pizza,sandwich",8
138,sushi kushi san 3,177,3.5,(847) 362-3330,281 w. townline road,60061,"japanese,sushi",14
139,rise 'n dine pancake house,94,3.6,(847) 541-4900,102 s. milwaukee avenue,60090,"american,greek",11
140,salt & pepper diner,82,3.5,(773) 883-9800,3537 n. clark street,60657,american,4
141,the commons club - virgin hotel chicago,10,3.2,(312) 940-4747,virgin hotel,60601,american,3
143,smoke daddy,504,3.7,(773) 772-6656,1804 w. division street,60622,"american,bbq",24
144,hub's,96,3.8,(847) 673-9409,3727 w. dempster street,60076,"greek,burger",4
145,cocina tarascas international,120,3.7,(773) 549-2595,2585 n. clark sreet,60614,mexican,5
146,sugar factory,11,2.3,(847) 233-9010,mb financial park at rosemont,60018,"bar food,desserts",4
147,red lobster,22,3.1,(630) 679-9192,209 s. weber road,60490,seafood,2
148,les nomades,70,3.6,(312) 649-9010,222 e. ontario street,60611,french,6
149,blue max coffee,81,3.9,(708) 366-9224,26 lathrop avenue,60130,"cafe,american",7
150,cosí,55,3.5,(312) 223-1061,116 s. michigan avenue,60603,"international,sandwich",3
151,la sardine,122,3.5,(312) 421-2800,111 n. carpenter street,60607,french,4
152,milano's,157,4.2,(773) 445-4010,10943 s. western avenue,60643,"italian,pizza",5
153,the tribes alehouse & grill,133,4.1,(815) 464-0248,11220 west lincoln highway,60448,"american,bar food",17
154,hello tacos! de cero,254,4.0,(312) 455-8114,814 w. randolph street,60607,mexican,17
155,jeni's splendid ice creams,20,3.4,(773) 348-7139,3404 n. southport avenue,60657,ice cream,2
156,eat a pita,59,3.5,(773) 929-6727,3155 n. halsted street,60657,"american,mediterranean",1
157,tacos erendira,156,4.1,(312) 567-0202,3207 s. halsted street,60608,mexican,3
158,tesori,35,3.5,(312) 786-9911,65 e. adams street,60603,"italian,pizza",8
159,schaller's pump,62,3.8,(773) 376-6332,3714 s. halsted street,60609,bar food,1
160,thipi thai restaurant,154,3.8,(630) 469-9001,530 crescent boulevard,60137,"asian,thai",3
161,protein bar,41,3.6,(312) 527-0450,352 n. clark street,60654,"healthy food,beverages",2
162,apple villa famous pancake house,101,3.5,(847) 765-2000,3101 n. barrington road,60192,american,11
163,emperor's choice,107,3.9,(312) 225-8800,2238 s. wentworth avenue,60616,"asian,chinese",7
164,the berkshire room - acme hotel,6,3.0,(312) 894-0945,acme hotel,60611,"tapas,desserts",3
165,tre soldi,64,3.9,(312) 664-0212,212 e. ohio street,60611,"italian,pizza",14
166,libertad,87,4.3,(847) 674-8100,7931 lincoln avenue,60077,"latin american,tapas",8
167,carnitas uruapan,24,3.4,(312) 226-2654,1725 w. 18th street,60608,mexican,0
168,hala kahiki,92,3.7,(708) 456-3222,2834 river road,60171,drinks only,6
169,wâfel,19,2.9,(773) 770-4894,217 n. clinton street,60661,"sandwich,desserts",4
170,katie's kitchen,137,3.7,(847) 803-3544,623 n. wolf road,60016,"american,burger",12
171,chili's grill & bar,21,2.5,(847) 328-9068,1765 maple avenue,60201,american,2
172,dove's luncheonette,27,3.3,(773) 645-4060,1545 n. damen avenue,60622,"mexican,southern",6
173,pauline's,104,3.1,(773) 561-8573,1754 w. balmoral avenue,60640,american,6
174,gumrai thai,138,3.9,(847) 590-1000,170 n. arlington heights road,60004,"sushi,japanese,sushi",10
175,marcello's,103,3.6,(312) 654-2550,645 w. north avenue,60610,"american,italian",3
176,antique taco,161,3.9,(773) 687-8697,1360 n. milwaukee avenue,60622,taco,12
177,kitty o'shea's,79,3.3,(312) 294-6860,720 s. michigan avenue,60605,"irish,american",10
178,brandt's of palatine,231,3.8,(847) 496-4388,807 w. northwest highway,60074,"american,burger",9
179,jitlada thai house,77,3.7,(773) 388-9988,3715 n. halsted street,60613,"asian,thai",4
180,original hooters,32,3.1,(312) 944-8800,660 n. wells street,60654,"american,bar food",2
181,sweet baby ray's,157,3.3,(630) 238-8261,249 e. irving park road,60191,bbq,10
182,gigio's pizzeria,133,4.1,(847) 328-0990,1001 davis street,60201,"pizza,sandwich",5
183,freshii,5,2.5,(312) 578-1470,200 w. randolph street,60606,"healthy food,juices",3
184,zaza's italian steakhouse,120,3.5,(630) 443-9304,5 s. 1st street,60174,"italian,steakhouse",7
185,buzz: killer espresso,33,3.3,(773) 366-8377,1644 n. damen avenue,60647,coffee and tea,7
186,south branch,59,3.6,(312) 546-6177,100 s. wacker drive,60606,"american,seafood",4
187,uncommon ground,387,3.8,(773) 929-3680,3800 n. clark street,60613,american,13
188,metropolis coffee company,130,3.7,(773) 764-0400,1039 w. granville avenue,60660,"cafe,desserts",2
189,wiener and still champion,247,3.8,(847) 869-0100,802 dempster street,60202,"american,sandwich,burger",5
190,claim jumper,113,3.4,(847) 645-6400,2610 n sutton rd,60192,"american,seafood,steakhouse",9
191,oberweis,19,3.3,(630) 810-1270,downers plaza shopping center,60515,"ice cream,desserts",2
192,bellwether,16,3.1,(312) 222-1800,302 e. illinois street,60611,american,6
193,hay caramba,187,3.6,(847) 518-0747,122 s. prospect avenue,60068,mexican,7
194,the cellar,83,4.5,(847) 864-8678,820 clark street,60201,"american,bar food",7
195,viaggio ristorante & lounge,91,4.3,(312) 829-3333,1330 w. madison street,60607,italian,4
196,schmaltz deli,104,4.3,(630) 245-7595,1512 n. naper boulevard,60563,"sandwich,deli",11
197,naniwa,116,3.6,(312) 255-8555,607 n. wells street,60610,"asian,japanese,sushi",5
198,uncle julio's,509,3.7,(312) 266-4222,855 w. north avenue,60622,mexican,17
199,thalia spice,114,3.8,(312) 226-6020,833 w. chicago avenue,60642,"asian,sushi,japanese",6
200,cobra lounge,26,3.3,(312) 226-6300,235 n. ashland avenue,60607,"american,bar food",6
201,insomnia cookies,18,3.3,(877) 632-6654,2260 n. lincoln avenue,60614,desserts,5
202,vinci,98,3.6,(312) 266-1199,1732 n. halsted street,60614,italian,5
203,sugar bliss cake boutique,54,3.7,(312) 845-9669,115 n. wabash avenue,60602,"desserts,bakery",4
204,tac quick thai kitchen,111,4.0,(773) 327-5253,3930 n. sheridan road,60613,"asian,thai",4
205,sopraffina marketcaffe,12,2.9,(312) 583-1100,175 w. jackson boulevard,60604,"italian,sandwich,pizza",2
206,candlelite chicago,258,4.3,(773) 465-0087,7452 n. western avenue,60645,"pizza,american",3
207,ballydoyle irish pub & restaurant,103,3.4,(630) 969-0600,5157 main street,60515,"pub food,irish,burger,sandwich",8
208,bella via ristorante,79,3.8,(847) 681-8300,1899 second street,60035,"italian,pizza",4
209,sultan's market,578,3.8,(773) 235-3072,2057 w. north avenue,60647,middle eastern,11
210,cucina paradiso,168,3.9,(708) 848-3434,814 north boulevard,60301,italian,3
211,j.p. graziano,55,4.7,(312) 666-4587,901 w. randolph street,60607,"italian,sandwich",11
212,svea restaurant,95,4.1,(773) 275-7738,5236 n. clark street,60640,"swedish,american",1
213,machu picchu restaurant,69,3.6,(773) 472-0471,3856 n. ashland avenue,60613,peruvian,2
214,hutch,18,3.1,(773) 248-1155,3301 n. clark street,60657,american,5
215,fred's diner,111,3.9,(847) 223-9776,225 center street,60030,diner,8
216,frontera fresco,40,3.4,(847) 329-2638,old orchard mall,60077,mexican,1
217,rainforest cafe,64,2.1,(847) 855-7800,gurnee mills mall,60031,"american,burger,sandwich",3
218,corner stone cafe,104,3.9,(773) 235-1155,2753 n. western avenue,60647,"american,sandwich,burger",10
219,el taco grande,153,3.7,(630) 406-8415,6 n. river street,60510,mexican,14
220,big bowl,315,3.7,(312) 951-1888,60 e. ohio street,60611,"asian,chinese,thai",21
221,pequod's pizza,908,4.5,(773) 327-1512,2207 n. clybourn avenue,60614,"pizza,italian,sandwich",48
222,hemmingway's bistro,79,3.6,(708) 524-0806,211 n. oak park avenue,60302,"american,french",4
223,indian harvest,112,3.6,(630) 579-9500,796 royal st. george drive,60563,indian,8
224,tanoshii sushi,137,3.6,(773) 878-6886,5547 n. clark street,60640,"sushi,japanese",7
225,senor pan,83,3.3,(773) 227-1020,4612 w. fullerton avenue,60639,cuban,5
226,furama,86,3.5,(773) 271-1161,4936 n. broadway street,60640,"chinese,dim sum",5
227,ain't she sweet cafe,26,3.3,(773) 373-3530,526 e. 43rd street,60653,cafe,5
228,lockwood restaurant and bar,62,3.6,(312) 917-3404,palmer house,60603,new american,10
229,benedict's eggs & more,105,4.1,(847) 836-2222,8 s. river street,60118,american,8
230,artists' restaurant,77,2.8,(312) 939-7855,roosevelt university fine arts building,60605,american,11
231,truth,143,3.5,(815) 744-5901,808 w. jefferson street,60435,american,13
232,carmine's,351,3.6,(312) 988-7676,1043 n. rush street,60611,"italian,steakhouse",21
233,kerryman,119,3.6,(312) 335-8121,661 n. clark street,60610,"bar food,burger",5
234,the grafton irish pub,126,3.8,(773) 271-9000,4530 n. lincoln avenue,60625,"american,bar food",2
235,al's char-house,89,3.4,(708) 354-6255,32 s. la grange road,60525,steakhouse,11
236,the bedford,47,3.4,(773) 235-8800,1612 w. division street,60622,new american,5
237,barrio fiesta,7,3.0,(708) 730-3100,574 torrence avenue,60409,"american,filipino,mexican",1
238,sun shui restaurant,155,3.8,(847) 870-8888,155 w. rand road,60004,"chinese,sushi",9
239,pizza art cafe,230,3.6,(773) 539-0645,4658 n. rockwell street,60625,"italian,mediterranean,pizza",2
240,sharko's bbq,29,3.3,(630) 717-7227,4931 s. route 59,60564,bbq,2
241,bluegrass,141,4.0,(847) 831-0595,1636 old deerfield road,60035,"american,bbq,cajun",5
243,sarkis cafe,942,4.0,(847) 328-9703,2632 gross point road,60201,american,16
244,yummy thai,81,3.6,(312) 633-0003,1418 w. taylor street,60607,thai,5
245,salonica,130,3.8,(773) 752-3899,1440 e. 57th street,60637,"american,greek",4
246,rocco's little italy,128,4.0,(708) 444-8259,7907 w. 159th street,60477,italian,14
247,pannenkoeken cafe,93,3.5,(773) 769-8800,4757 n. western avenue,60659,"cafe,european",5
248,mitchell's tap,10,2.8,(773) 927-6073,3356 s. halsted street,60608,"bar food,pizza,sandwich,american",3
249,old town pour house,48,3.5,(312) 477-2800,1419 n. wells street,60610,american,2
250,taste of peru,113,3.3,(773) 381-4540,6545 n. clark street,60626,"peruvian,south american",6
251,andy's thai kitchen,45,4.0,(773) 549-7821,946 w wellington ave,60657,thai,3
252,the palm restaurant,89,3.3,(312) 616-1000,swissotel,60601,"american,steakhouse,seafood,italian",7
253,chef ping,145,4.0,(847) 981-8888,1755 algonquin road,60008,"asian,chinese",11
254,uncle bub's,306,3.9,(630) 493-9000,132 s. cass avenue,60559,"american,bbq",18
255,las tablas colombian steakhouse,119,3.8,(773) 202-0999,4920 w. irving park road,60641,"colombian,steakhouse",1
256,avli estiatorio,339,4.5,(847) 446-9300,566 chestnut,60093,greek,9
257,cesar's killer margaritas,52,3.3,(773) 248-2835,3166 n. clark street,60657,mexican,8
258,lalo's mexican restaurant,90,3.4,(312) 455-9380,733 w. maxwell street,60607,mexican,2
259,cheddars casual cafe,74,3.7,(630) 378-5555,105 remington boulevard,60440,american,10
260,thai 55th restaurant,101,3.6,(773) 363-7119,1607 e. 55th street,60615,"asian,thai",7
261,cooper's hawk winery & restaurant,97,3.9,(630) 245-8000,1740 freedom drive,60563,"american,italian",8
262,rock bottom brewery,81,3.6,(630) 836-1380,28256 diehl road,60555,"american,burger,sandwich",9
263,lito's empanadas,97,3.9,(773) 857-1337,2566 n. clark street,60614,latin american,2
265,jake melnick's corner tap,255,4.0,(312) 266-0400,41 e. superior street,60611,"american,bbq,bar food",19
266,cafe pyrenees,89,3.5,(847) 362-2233,1762 n. milwaukee avenue,60048,french,2
267,rm champagne salon,25,3.2,(312) 243-1199,116 n. green street,60607,french,3
268,club lago,84,4.1,(312) 951-2849,331 w. superior street,60610,"italian,bar food,seafood",8
269,manny's deli,8,2.3,(773) 582-4450,chicago midway international airport,60638,"sandwich,deli",3
270,kohan japanese restaurant,72,3.7,(312) 421-6254,730 w. maxwell street,60607,"japanese,sushi",14
271,blackie's,62,3.4,(312) 786-1161,755 s. clark street,60605,"american,italian",9
272,podhalanka,72,3.6,(773) 486-6655,1549 w. division street,60642,polish,5
273,sushi mono,149,3.8,(630) 752-0102,230 w. front street,60187,"japanese,seafood,sushi",12
274,thai noodles cafe,118,4.2,(847) 362-3494,318 s. milwaukee avenue,60048,"asian,thai",11
275,ach-n-lou's pizza pub,192,4.2,(630) 898-2626,1592 n. farnsworth avenue,60505,pizza,8
276,edzo's burger shop,258,4.4,(847) 864-3396,1571 sherman avenue,60201,"burger,sandwich",13
277,mott street,12,3.2,(773) 687-9977,1401 n. ashland avenue,60622,"asian,new american",0
278,hopvine brewing company,7,2.9,(630) 229-6030,4030 fox valley center road,60504,bar food,2
279,carriage house,70,3.5,(773) 384-9700,1700 w. division street,60622,southern,3
280,the winchester,16,3.2,(773) 698-8703,1001 n. winchester avenue,60622,american,3
281,claddagh irish pub,103,3.4,(630) 208-0337,algonquin commons,60134,"irish,pub food",8
282,quay,47,3.9,(312) 981-8400,465 e. illinois street,60611,"new american,seafood",5
283,rub's backcountry smokehouse,85,3.8,(773) 675-1410,6954 n. western avenue,60645,bbq,1
284,chicago's home of chicken & waffles ii,77,3.8,(708) 524-3300,543 madison street,60302,"american,southern",10
285,tacos el norte,204,4.3,(847) 726-9114,213 s. rand road,60047,mexican,7
287,al bawadi restaurant,405,3.8,(708) 599-1999,7216 w. 87th street,60455,middle eastern,32
288,chinese kitchen,199,4.2,(630) 961-5448,1003 w. ogden avenue,60563,chinese,8
289,pei wei asian diner,20,2.9,(312) 660-3100,227 e. ontario street,60611,asian,2
290,jack straws pizza & sandwiches,131,3.7,(630) 668-2212,221 s. naperville road,60187,"burger,pizza,sandwich",5
291,laschet's inn,140,4.2,(773) 478-7915,2119 w. irving park road,60618,german,5
292,tava restaurant,58,4.1,(847) 966-8282,7172 w. dempster street,60053,indian,8
293,booby's charcoal rib,85,4.1,(847) 966-4733,8161 n. milwaukee avenue,60714,"bbq,sandwich",4
294,margarita's restaurant,22,3.3,(708) 418-2650,19606 burnham avenue,60411,mexican,2
295,miss asia,56,3.5,(773) 248-3999,434 w. diversey parkway,60614,"thai,asian",3
296,armand's pizzeria,75,3.2,(847) 342-0664,70 n. vail avenue,60005,"italian,pizza,sandwich",7
297,the allis,11,3.2,(312) 521-8000,soho house chicago,60607,"american,sandwich",3
298,friends sushi,311,3.7,(312) 787-8998,710 n. rush street,60611,"japanese,sushi,teriyaki",18
299,black bull,27,3.3,(773) 227-8600,1721 w. division street,60622,"spanish,tapas",3
300,bom bolla,5,3.1,(773) 698-6601,1501 n. milwaukee avenue,60622,"spanish,tapas",2
301,dozika,84,3.6,(847) 869-9740,601 dempster street,60201,"asian,japanese,thai",4
302,golden nugget pancake house,27,3.2,(773) 252-8903,2406 w. diversey avenue,60647,"diner,american",1
303,saranello's,42,3.3,(847) 777-6878,601 n. milwaukee avenue,60090,italian,7
304,beggars pizza,76,3.7,(312) 588-0055,310 s. clinton street,60661,"italian,pizza",6
305,sushi thaime,81,3.6,(708) 425-8228,4959 w. 95th street,60453,"japanese,sushi,thai",7
