seq1,seq2,name_name_jac_qgm_3_qgm_3
ritz-carlton buckhead (los angeles),ritz-carlton buckhead (los angeles),1.0
ritz-carlton buckhead (californian),ritz-carlton buckhead (californian),1.0
ritz-carlton buckhead (californian),ritz-carlton buckhead (californian),1.0
ritz-carlton buckhead (las vegas),ritz-carlton buckhead (las vegas),1.0
ritz-carlton buckhead (las vegas),ritz-carlton buckhead (las vegas),1.0
ritz-carlton cafe  (new york),ritz-carlton cafe (new york),0.90625
ritz-carlton cafe (new york),ritz-carlton cafe  (new york),0.90625
ritz-carlton cafe  (new york city),ritz-carlton cafe (new york city),0.9189189189189191
ritz-carlton cafe (new york city),ritz-carlton cafe  (new york city),0.9189189189189191
ritz-carlton cafe  (los angeles),ritz-carlton cafe (los angeles),0.9142857142857144
ritz-carlton cafe (los angeles),ritz-carlton cafe  (los angeles),0.9142857142857144
ritz-carlton cafe  (californian),ritz-carlton cafe (californian),0.9142857142857144
ritz-carlton cafe (californian),ritz-carlton cafe  (californian),0.9142857142857144
ritz-carlton cafe  (las vegas),ritz-carlton cafe (las vegas),0.9090909090909092
ritz-carlton cafe (las vegas),ritz-carlton cafe  (las vegas),0.9090909090909092
room ritz-carlton buckhead,room ritz-carlton buckhead,1.0
room ritz-carlton buckhead,room ritz-carlton buckhead,1.0
room ritz-carlton buckhead (new york),room ritz-carlton buckhead (new york),1.0
room ritz-carlton buckhead (new york),room ritz-carlton buckhead (new york),1.0
room ritz-carlton buckhead (new york city),room ritz-carlton buckhead (new york city),1.0
room ritz-carlton buckhead (new york city),room ritz-carlton buckhead (new york city),1.0
room ritz-carlton buckhead (los angeles),room ritz-carlton buckhead (los angeles),1.0
room ritz-carlton buckhead (los angeles),room ritz-carlton buckhead (los angeles),1.0
room ritz-carlton buckhead (californian),room ritz-carlton buckhead (californian),1.0
room ritz-carlton buckhead (californian),room ritz-carlton buckhead (californian),1.0
room ritz-carlton buckhead (las vegas),room ritz-carlton buckhead (las vegas),1.0
room ritz-carlton buckhead (las vegas),room ritz-carlton buckhead (las vegas),1.0
ritz-carlton dining room  (new york),ritz-carlton dining room (new york),0.9230769230769232
ritz-carlton dining room (new york),ritz-carlton dining room  (new york),0.9230769230769232
ritz-carlton dining room  (new york city),ritz-carlton dining room (new york city),0.9318181818181818
ritz-carlton dining room (new york city),ritz-carlton dining room  (new york city),0.9318181818181818
ritz-carlton dining room  (los angeles),ritz-carlton dining room (los angeles),0.9285714285714286
ritz-carlton dining room (los angeles),ritz-carlton dining room  (los angeles),0.9285714285714286
ritz-carlton dining room  (californian),ritz-carlton dining room (californian),0.9285714285714286
ritz-carlton dining room (californian),ritz-carlton dining room  (californian),0.9285714285714286
ritz-carlton dining room  (las vegas),ritz-carlton dining room (las vegas),0.925
ritz-carlton dining room (las vegas),ritz-carlton dining room  (las vegas),0.925
ritz-carlton atlanta,ritz-carlton atlanta,1.0
ritz-carlton atlanta,ritz-carlton atlanta,1.0
ritz-carlton atlanta (new york),ritz-carlton atlanta (new york),1.0
ritz-carlton atlanta (new york),ritz-carlton atlanta (new york),1.0
ritz-carlton atlanta (new york city),ritz-carlton atlanta (new york city),1.0
ritz-carlton atlanta (new york city),ritz-carlton atlanta (new york city),1.0
ritz-carlton atlanta (los angeles),ritz-carlton atlanta (los angeles),1.0
ritz-carlton atlanta (los angeles),ritz-carlton atlanta (los angeles),1.0
ritz-carlton atlanta (californian),ritz-carlton atlanta (californian),1.0
ritz-carlton atlanta (californian),ritz-carlton atlanta (californian),1.0
ritz-carlton atlanta (las vegas),ritz-carlton atlanta (las vegas),1.0
ritz-carlton atlanta (las vegas),ritz-carlton atlanta (las vegas),1.0
veni vidi vici (new york city),veni vidi (new york city),0.9
veni vidi (new york city),veni vidi vici (new york city),0.9
ritz-carlton,ritz-carlton,1.0
ritz-carlton,ritz-carlton,1.0
ritz-carlton restaurant,ritz-carlton restaurant,1.0
ritz-carlton restaurant,ritz-carlton restaurant,1.0
ritz-carlton restaurant and dining,ritz-carlton restaurant and dining,1.0
ritz-carlton restaurant and dining,ritz-carlton restaurant and dining,1.0
ritz-carlton (new york),ritz-carlton (new york),1.0
ritz-carlton (new york),ritz-carlton (new york),1.0
ritz-carlton (new york city),ritz-carlton (new york city),1.0
ritz-carlton (new york city),ritz-carlton (new york city),1.0
ritz-carlton (los angeles),ritz-carlton (los angeles),1.0
ritz-carlton (los angeles),ritz-carlton (los angeles),1.0
ritz-carlton (californian),ritz-carlton (californian),1.0
ritz-carlton (californian),ritz-carlton (californian),1.0
ritz-carlton (las vegas),ritz-carlton (las vegas),1.0
ritz-carlton (las vegas),ritz-carlton (las vegas),1.0
ritz-carlton restaurant (new york),ritz-carlton restaurant (new york),1.0
ritz-carlton restaurant (new york),ritz-carlton restaurant (new york),1.0
ritz-carlton restaurant (new york city),ritz-carlton restaurant (new york city),1.0
ritz-carlton restaurant (new york city),ritz-carlton restaurant (new york city),1.0
ritz-carlton restaurant (los angeles),ritz-carlton restaurant (los angeles),1.0
ritz-carlton restaurant (los angeles),ritz-carlton restaurant (los angeles),1.0
ritz-carlton restaurant (californian),ritz-carlton restaurant (californian),1.0
ritz-carlton restaurant (californian),ritz-carlton restaurant (californian),1.0
ritz-carlton restaurant (las vegas),ritz-carlton restaurant (las vegas),1.0
ritz-carlton restaurant (las vegas),ritz-carlton restaurant (las vegas),1.0
ritz-carlton dining room (new york),ritz-carlton dining room  (new york),0.9230769230769232
ritz-carlton dining room  (new york),ritz-carlton dining room (new york),0.9230769230769232
ritz-carlton dining room (new york city),ritz-carlton dining room  (new york city),0.9318181818181818
ritz-carlton dining room  (new york city),ritz-carlton dining room (new york city),0.9318181818181818
ritz-carlton dining room (los angeles),ritz-carlton dining room  (los angeles),0.9285714285714286
ritz-carlton dining room  (los angeles),ritz-carlton dining room (los angeles),0.9285714285714286
ritz-carlton dining room (californian),ritz-carlton dining room  (californian),0.9285714285714286
ritz-carlton dining room  (californian),ritz-carlton dining room (californian),0.9285714285714286
ritz-carlton dining room (las vegas),ritz-carlton dining room  (las vegas),0.925
ritz-carlton dining room  (las vegas),ritz-carlton dining room (las vegas),0.925
ritz-carlton restaurant and dining (new york),ritz-carlton restaurant and dining (new york),1.0
ritz-carlton restaurant and dining (new york),ritz-carlton restaurant and dining (new york),1.0
ritz-carlton restaurant and dining (new york city),ritz-carlton restaurant and dining (new york city),1.0
ritz-carlton restaurant and dining (new york city),ritz-carlton restaurant and dining (new york city),1.0
ritz-carlton restaurant and dining (los angeles),ritz-carlton restaurant and dining (los angeles),1.0
ritz-carlton restaurant and dining (los angeles),ritz-carlton restaurant and dining (los angeles),1.0
ritz-carlton restaurant and dining (californian),ritz-carlton restaurant and dining (californian),1.0
ritz-carlton restaurant and dining (californian),ritz-carlton restaurant and dining (californian),1.0
ritz-carlton restaurant and dining (las vegas),ritz-carlton restaurant and dining (las vegas),1.0
ritz-carlton restaurant and dining (las vegas),ritz-carlton restaurant and dining (las vegas),1.0
cha cha cha,cha cha,1.0
cha cha,cha cha cha,1.0
cha cha cha,cha cha,1.0
cha cha,cha cha cha,1.0
cha,cha,1.0
cha,cha,1.0
cha,cha,1.0
cha,cha,1.0
cha cha,cha cha,1.0
cha cha,cha cha,1.0
cha,cha,1.0
cha,cha,1.0
cha cha cha (new york),cha cha (new york),1.0
cha cha (new york),cha cha cha (new york),1.0
cha cha cha (new york),cha cha (new york),1.0
cha cha (new york),cha cha cha (new york),1.0
cha cha cha (new york city),cha (new york city),0.9130434782608696
cha (new york city),cha cha cha (new york city),0.9130434782608696
cha cha cha (new york city),cha cha (new york city),1.0
cha cha (new york city),cha cha cha (new york city),1.0
cha cha cha (new york city),cha (new york city),0.9130434782608696
cha (new york city),cha cha cha (new york city),0.9130434782608696
cha cha cha (new york city),cha cha (new york city),1.0
cha cha (new york city),cha cha cha (new york city),1.0
cha cha cha (new york city),cha (new york city),0.9130434782608696
cha (new york city),cha cha cha (new york city),0.9130434782608696
cha cha cha (los angeles),cha (los angeles),0.9047619047619048
cha (los angeles),cha cha cha (los angeles),0.9047619047619048
cha cha cha (los angeles),cha cha (los angeles),1.0
cha cha (los angeles),cha cha cha (los angeles),1.0
cha cha cha (los angeles),cha (los angeles),0.9047619047619048
cha (los angeles),cha cha cha (los angeles),0.9047619047619048
cha cha cha (los angeles),cha cha (los angeles),1.0
cha cha (los angeles),cha cha cha (los angeles),1.0
cha cha cha (los angeles),cha (los angeles),0.9047619047619048
cha (los angeles),cha cha cha (los angeles),0.9047619047619048
cha cha cha (californian),cha (californian),0.9047619047619048
cha (californian),cha cha cha (californian),0.9047619047619048
cha cha cha (californian),cha cha (californian),1.0
cha cha (californian),cha cha cha (californian),1.0
cha cha cha (californian),cha (californian),0.9047619047619048
cha (californian),cha cha cha (californian),0.9047619047619048
cha cha cha (californian),cha cha (californian),1.0
cha cha (californian),cha cha cha (californian),1.0
cha cha cha (californian),cha (californian),0.9047619047619048
cha (californian),cha cha cha (californian),0.9047619047619048
cha cha cha (las vegas),cha cha (las vegas),1.0
cha cha (las vegas),cha cha cha (las vegas),1.0
cha cha cha (las vegas),cha cha (las vegas),1.0
cha cha (las vegas),cha cha cha (las vegas),1.0
cha (new york),cha (new york),1.0
cha (new york),cha (new york),1.0
cha (new york),cha (new york),1.0
cha (new york),cha (new york),1.0
cha (new york city),cha cha (new york city),0.9130434782608696
cha cha (new york city),cha (new york city),0.9130434782608696
cha (new york city),cha (new york city),1.0
cha (new york city),cha (new york city),1.0
cha (new york city),cha cha (new york city),0.9130434782608696
cha cha (new york city),cha (new york city),0.9130434782608696
cha (new york city),cha (new york city),1.0
cha (new york city),cha (new york city),1.0
cha (los angeles),cha cha (los angeles),0.9047619047619048
cha cha (los angeles),cha (los angeles),0.9047619047619048
cha (los angeles),cha (los angeles),1.0
cha (los angeles),cha (los angeles),1.0
cha (los angeles),cha cha (los angeles),0.9047619047619048
cha cha (los angeles),cha (los angeles),0.9047619047619048
cha (los angeles),cha (los angeles),1.0
cha (los angeles),cha (los angeles),1.0
cha (californian),cha cha (californian),0.9047619047619048
cha cha (californian),cha (californian),0.9047619047619048
cha (californian),cha (californian),1.0
cha (californian),cha (californian),1.0
cha (californian),cha cha (californian),0.9047619047619048
cha cha (californian),cha (californian),0.9047619047619048
cha (californian),cha (californian),1.0
cha (californian),cha (californian),1.0
cha (las vegas),cha (las vegas),1.0
cha (las vegas),cha (las vegas),1.0
cha (las vegas),cha (las vegas),1.0
cha (las vegas),cha (las vegas),1.0
cha cha (new york),cha cha (new york),1.0
cha cha (new york),cha cha (new york),1.0
cha cha (new york city),cha (new york city),0.9130434782608696
cha (new york city),cha cha (new york city),0.9130434782608696
cha cha (new york city),cha cha (new york city),1.0
cha cha (new york city),cha cha (new york city),1.0
cha cha (new york city),cha (new york city),0.9130434782608696
cha (new york city),cha cha (new york city),0.9130434782608696
cha cha (los angeles),cha (los angeles),0.9047619047619048
cha (los angeles),cha cha (los angeles),0.9047619047619048
cha cha (los angeles),cha cha (los angeles),1.0
cha cha (los angeles),cha cha (los angeles),1.0
cha cha (los angeles),cha (los angeles),0.9047619047619048
cha (los angeles),cha cha (los angeles),0.9047619047619048
cha cha (californian),cha (californian),0.9047619047619048
cha (californian),cha cha (californian),0.9047619047619048
cha cha (californian),cha cha (californian),1.0
cha cha (californian),cha cha (californian),1.0
cha cha (californian),cha (californian),0.9047619047619048
cha (californian),cha cha (californian),0.9047619047619048
cha cha (las vegas),cha cha (las vegas),1.0
cha cha (las vegas),cha cha (las vegas),1.0
cha (new york),cha (new york),1.0
cha (new york),cha (new york),1.0
cha (new york city),cha cha (new york city),0.9130434782608696
cha cha (new york city),cha (new york city),0.9130434782608696
cha (new york city),cha (new york city),1.0
cha (new york city),cha (new york city),1.0
cha (los angeles),cha cha (los angeles),0.9047619047619048
cha cha (los angeles),cha (los angeles),0.9047619047619048
cha (los angeles),cha (los angeles),1.0
cha (los angeles),cha (los angeles),1.0
cha (californian),cha cha (californian),0.9047619047619048
cha cha (californian),cha (californian),0.9047619047619048
cha (californian),cha (californian),1.0
cha (californian),cha (californian),1.0
cha (las vegas),cha (las vegas),1.0
cha (las vegas),cha (las vegas),1.0
cha cha (new york city),cha (new york city),0.9130434782608696
cha (new york city),cha cha (new york city),0.9130434782608696
cha cha (los angeles),cha (los angeles),0.9047619047619048
cha (los angeles),cha cha (los angeles),0.9047619047619048
cha cha (californian),cha (californian),0.9047619047619048
cha (californian),cha cha (californian),0.9047619047619048
hard rock,hard rock,1.0
hard rock,hard rock,1.0
hard rock (new york),hard rock (new york),1.0
hard rock (new york),hard rock (new york),1.0
hard rock (new york city),hard rock (new york city),1.0
hard rock (new york city),hard rock (new york city),1.0
hard rock (los angeles),hard rock (los angeles),1.0
hard rock (los angeles),hard rock (los angeles),1.0
hard rock (californian),hard rock (californian),1.0
hard rock (californian),hard rock (californian),1.0
hard rock (las vegas),hard rock (las vegas),1.0
hard rock (las vegas),hard rock (las vegas),1.0
mon kee seafood,mon kee seafood,1.0
mon kee seafood,mon kee seafood,1.0
mon kee seafood (new york),mon kee seafood (new york),1.0
mon kee seafood (new york),mon kee seafood (new york),1.0
mon kee seafood (new york city),mon kee seafood (new york city),1.0
mon kee seafood (new york city),mon kee seafood (new york city),1.0
mon kee seafood (los angeles),mon kee seafood (los angeles),1.0
mon kee seafood (los angeles),mon kee seafood (los angeles),1.0
mon kee seafood (californian),mon kee seafood (californian),1.0
mon kee seafood (californian),mon kee seafood (californian),1.0
mon kee seafood (las vegas),mon kee seafood (las vegas),1.0
mon kee seafood (las vegas),mon kee seafood (las vegas),1.0
west beach,west beach,1.0
west beach,west beach,1.0
west beach (new york),west beach (new york),1.0
west beach (new york),west beach (new york),1.0
west beach (new york city),west beach (new york city),1.0
west beach (new york city),west beach (new york city),1.0
west beach (los angeles),west beach (los angeles),1.0
west beach (los angeles),west beach (los angeles),1.0
west beach (californian),west beach (californian),1.0
west beach (californian),west beach (californian),1.0
west beach (las vegas),west beach (las vegas),1.0
west beach (las vegas),west beach (las vegas),1.0
bryant park grill roof,bryant park grill roof,1.0
bryant park grill roof,bryant park grill roof,1.0
bryant park grill roof restaurant,bryant park grill roof restaurant,1.0
bryant park grill roof restaurant,bryant park grill roof restaurant,1.0
bryant park grill roof restaurant and bp,bryant park grill roof restaurant and bp,1.0
bryant park grill roof restaurant and bp,bryant park grill roof restaurant and bp,1.0
bryant park grill roof (new york),bryant park grill roof (new york),1.0
bryant park grill roof (new york),bryant park grill roof (new york),1.0
bryant park grill roof (new york city),bryant park grill roof (new york city),1.0
bryant park grill roof (new york city),bryant park grill roof (new york city),1.0
bryant park grill roof (los angeles),bryant park grill roof (los angeles),1.0
bryant park grill roof (los angeles),bryant park grill roof (los angeles),1.0
bryant park grill roof (californian),bryant park grill roof (californian),1.0
bryant park grill roof (californian),bryant park grill roof (californian),1.0
bryant park grill roof (las vegas),bryant park grill roof (las vegas),1.0
bryant park grill roof (las vegas),bryant park grill roof (las vegas),1.0
bryant park grill roof restaurant (new york),bryant park grill roof restaurant (new york),1.0
bryant park grill roof restaurant (new york),bryant park grill roof restaurant (new york),1.0
bryant park grill roof restaurant (new york city),bryant park grill roof restaurant (new york city),1.0
bryant park grill roof restaurant (new york city),bryant park grill roof restaurant (new york city),1.0
bryant park grill roof restaurant (los angeles),bryant park grill roof restaurant (los angeles),1.0
bryant park grill roof restaurant (los angeles),bryant park grill roof restaurant (los angeles),1.0
bryant park grill roof restaurant (californian),bryant park grill roof restaurant (californian),1.0
bryant park grill roof restaurant (californian),bryant park grill roof restaurant (californian),1.0
bryant park grill roof restaurant (las vegas),bryant park grill roof restaurant (las vegas),1.0
bryant park grill roof restaurant (las vegas),bryant park grill roof restaurant (las vegas),1.0
bryant park grill roof restaurant and bp (new york),bryant park grill roof restaurant and bp restaurant (new york),0.9433962264150944
bryant park grill roof restaurant and bp restaurant (new york),bryant park grill roof restaurant and bp (new york),0.9433962264150944
bryant park grill roof restaurant and bp (new york),bryant park grill roof restaurant and bp (new york),1.0
bryant park grill roof restaurant and bp (new york),bryant park grill roof restaurant and bp (new york),1.0
bryant park grill roof restaurant and bp (new york city),bryant park grill roof restaurant and bp restaurant (new york city),0.9473684210526316
bryant park grill roof restaurant and bp restaurant (new york city),bryant park grill roof restaurant and bp (new york city),0.9473684210526316
bryant park grill roof restaurant and bp (new york city),bryant park grill roof restaurant and bp (new york city),1.0
bryant park grill roof restaurant and bp (new york city),bryant park grill roof restaurant and bp (new york city),1.0
bryant park grill roof restaurant and bp (los angeles),bryant park grill roof restaurant and bp restaurant (los angeles),0.9454545454545454
bryant park grill roof restaurant and bp restaurant (los angeles),bryant park grill roof restaurant and bp (los angeles),0.9454545454545454
bryant park grill roof restaurant and bp (los angeles),bryant park grill roof restaurant and bp (los angeles),1.0
bryant park grill roof restaurant and bp (los angeles),bryant park grill roof restaurant and bp (los angeles),1.0
bryant park grill roof restaurant and bp (californian),bryant park grill roof restaurant and bp restaurant (californian),0.9464285714285714
bryant park grill roof restaurant and bp restaurant (californian),bryant park grill roof restaurant and bp (californian),0.9464285714285714
bryant park grill roof restaurant and bp (californian),bryant park grill roof restaurant and bp (californian),1.0
bryant park grill roof restaurant and bp (californian),bryant park grill roof restaurant and bp (californian),1.0
bryant park grill roof restaurant and bp (las vegas),bryant park grill roof restaurant and bp restaurant (las vegas),0.9444444444444444
bryant park grill roof restaurant and bp restaurant (las vegas),bryant park grill roof restaurant and bp (las vegas),0.9444444444444444
bryant park grill roof restaurant and bp (las vegas),bryant park grill roof restaurant and bp (las vegas),1.0
bryant park grill roof restaurant and bp (las vegas),bryant park grill roof restaurant and bp (las vegas),1.0
bryant park grill roof restaurant and bp restaurant (new york),bryant park grill roof restaurant and bp (new york),0.9433962264150944
bryant park grill roof restaurant and bp (new york),bryant park grill roof restaurant and bp restaurant (new york),0.9433962264150944
bryant park grill roof restaurant and bp restaurant (new york city),bryant park grill roof restaurant and bp (new york city),0.9473684210526316
bryant park grill roof restaurant and bp (new york city),bryant park grill roof restaurant and bp restaurant (new york city),0.9473684210526316
bryant park grill roof restaurant and bp restaurant (los angeles),bryant park grill roof restaurant and bp (los angeles),0.9454545454545454
bryant park grill roof restaurant and bp (los angeles),bryant park grill roof restaurant and bp restaurant (los angeles),0.9454545454545454
bryant park grill roof restaurant and bp restaurant (californian),bryant park grill roof restaurant and bp (californian),0.9464285714285714
bryant park grill roof restaurant and bp (californian),bryant park grill roof restaurant and bp restaurant (californian),0.9464285714285714
bryant park grill roof restaurant and bp restaurant (las vegas),bryant park grill roof restaurant and bp (las vegas),0.9444444444444444
bryant park grill roof restaurant and bp (las vegas),bryant park grill roof restaurant and bp restaurant (las vegas),0.9444444444444444
la fortuna,la fortuna,1.0
la fortuna,la fortuna,1.0
la fortuna (new york),la fortuna (new york),1.0
la fortuna (new york),la fortuna (new york),1.0
la fortuna (new york city),la fortuna (new york city),1.0
la fortuna (new york city),la fortuna (new york city),1.0
la fortuna (los angeles),la fortuna (los angeles),1.0
la fortuna (los angeles),la fortuna (los angeles),1.0
la fortuna (californian),la fortuna (californian),1.0
la fortuna (californian),la fortuna (californian),1.0
la fortuna (las vegas),la fortuna (las vegas),1.0
la fortuna (las vegas),la fortuna (las vegas),1.0
duane park,duane park,1.0
duane park,duane park,1.0
duane park (new york),duane park (new york),1.0
duane park (new york),duane park (new york),1.0
duane park (new york city),duane park (new york city),1.0
duane park (new york city),duane park (new york city),1.0
duane park (los angeles),duane park (los angeles),1.0
duane park (los angeles),duane park (los angeles),1.0
duane park (californian),duane park (californian),1.0
duane park (californian),duane park (californian),1.0
duane park (las vegas),duane park (las vegas),1.0
duane park (las vegas),duane park (las vegas),1.0
fifty,fifty,1.0
fifty,fifty,1.0
fifty seven,fifty seven,1.0
fifty seven,fifty seven,1.0
seven,seven,1.0
seven,seven,1.0
fifty seven fifty seven (new york),fifty seven (new york),0.9230769230769232
fifty seven (new york),fifty seven fifty seven (new york),0.9230769230769232
fifty seven fifty seven (new york),fifty seven fifty (new york),0.925925925925926
fifty seven fifty (new york),fifty seven fifty seven (new york),0.925925925925926
fifty seven fifty seven (new york),fifty seven (new york),0.9230769230769232
fifty seven (new york),fifty seven fifty seven (new york),0.9230769230769232
fifty seven fifty seven (new york city),fifty seven (new york city),0.935483870967742
fifty seven (new york city),fifty seven fifty seven (new york city),0.935483870967742
fifty seven fifty seven (new york city),fifty seven fifty (new york city),0.9375
fifty seven fifty (new york city),fifty seven fifty seven (new york city),0.9375
fifty seven fifty seven (new york city),fifty seven (new york city),0.935483870967742
fifty seven (new york city),fifty seven fifty seven (new york city),0.935483870967742
fifty seven fifty seven (los angeles),fifty seven (los angeles),0.9310344827586208
fifty seven (los angeles),fifty seven fifty seven (los angeles),0.9310344827586208
fifty seven fifty seven (los angeles),fifty seven fifty (los angeles),0.9333333333333332
fifty seven fifty (los angeles),fifty seven fifty seven (los angeles),0.9333333333333332
fifty seven fifty seven (los angeles),fifty seven (los angeles),0.9310344827586208
fifty seven (los angeles),fifty seven fifty seven (los angeles),0.9310344827586208
fifty seven fifty seven (californian),fifty seven (californian),0.9310344827586208
fifty seven (californian),fifty seven fifty seven (californian),0.9310344827586208
fifty seven fifty seven (californian),fifty seven fifty (californian),0.9333333333333332
fifty seven fifty (californian),fifty seven fifty seven (californian),0.9333333333333332
fifty seven fifty seven (californian),fifty seven (californian),0.9310344827586208
fifty seven (californian),fifty seven fifty seven (californian),0.9310344827586208
fifty seven fifty seven (las vegas),fifty seven (las vegas),0.925925925925926
fifty seven (las vegas),fifty seven fifty seven (las vegas),0.925925925925926
fifty seven fifty seven (las vegas),fifty seven fifty (las vegas),0.9285714285714286
fifty seven fifty (las vegas),fifty seven fifty seven (las vegas),0.9285714285714286
fifty seven fifty seven (las vegas),fifty seven (las vegas),0.925925925925926
fifty seven (las vegas),fifty seven fifty seven (las vegas),0.925925925925926
fifty (new york),fifty (new york),1.0
fifty (new york),fifty (new york),1.0
fifty (new york city),fifty (new york city),1.0
fifty (new york city),fifty (new york city),1.0
fifty (los angeles),fifty (los angeles),1.0
fifty (los angeles),fifty (los angeles),1.0
fifty (californian),fifty (californian),1.0
fifty (californian),fifty (californian),1.0
fifty (las vegas),fifty (las vegas),1.0
fifty (las vegas),fifty (las vegas),1.0
fifty seven (new york),fifty seven (new york),1.0
fifty seven (new york),fifty seven (new york),1.0
fifty seven (new york city),fifty seven (new york city),1.0
fifty seven (new york city),fifty seven (new york city),1.0
fifty seven (los angeles),fifty seven (los angeles),1.0
fifty seven (los angeles),fifty seven (los angeles),1.0
fifty seven (californian),fifty seven (californian),1.0
fifty seven (californian),fifty seven (californian),1.0
fifty seven (las vegas),fifty seven (las vegas),1.0
fifty seven (las vegas),fifty seven (las vegas),1.0
seven (new york),seven (new york),1.0
seven (new york),seven (new york),1.0
seven (new york city),seven (new york city),1.0
seven (new york city),seven (new york city),1.0
seven (los angeles),seven (los angeles),1.0
seven (los angeles),seven (los angeles),1.0
seven (californian),seven (californian),1.0
seven (californian),seven (californian),1.0
seven (las vegas),seven (las vegas),1.0
seven (las vegas),seven (las vegas),1.0
film center,film center,1.0
film center,film center,1.0
film center (new york),film center (new york),1.0
film center (new york),film center (new york),1.0
film center (new york city),film center (new york city),1.0
film center (new york city),film center (new york city),1.0
film center (los angeles),film center (los angeles),1.0
film center (los angeles),film center (los angeles),1.0
film center (californian),film center (californian),1.0
film center (californian),film center (californian),1.0
film center (las vegas),film center (las vegas),1.0
film center (las vegas),film center (las vegas),1.0
fiorello's roman,fiorello's roman,1.0
fiorello's roman,fiorello's roman,1.0
fiorello's roman (new york),fiorello's roman (new york),1.0
fiorello's roman (new york),fiorello's roman (new york),1.0
fiorello's roman (new york city),fiorello's roman (new york city),1.0
fiorello's roman (new york city),fiorello's roman (new york city),1.0
fiorello's roman (los angeles),fiorello's roman (los angeles),1.0
fiorello's roman (los angeles),fiorello's roman (los angeles),1.0
fiorello's roman (californian),fiorello's roman (californian),1.0
fiorello's roman (californian),fiorello's roman (californian),1.0
fiorello's roman (las vegas),fiorello's roman (las vegas),1.0
fiorello's roman (las vegas),fiorello's roman (las vegas),1.0
french roast,french roast,1.0
french roast,french roast,1.0
french roast (new york),french roast (new york),1.0
french roast (new york),french roast (new york),1.0
french roast (new york city),french roast (new york city),1.0
french roast (new york city),french roast (new york city),1.0
