custom_id,brand,modelno,title,price,descr,shipweight,dimensions1,dimensions2,dimensions3
33,da-lite,88604,da-lite da-mat deluxe fast fold complete front projection screen - 68 x 68,829.99,fast-fold  deluxe screen system features -deluxe fast-fold frame and legs are constructed of sturdy 1.25  square aluminum tubing -available with da fold  surfaces for easy substitution -all viewing surfaces up to 16 high will be seamless -complete screen also includes a rugged carrying case with wheels and is available in sizes from 54 x 54 up to 10 6 x 14 -fast-fold  deluxe with da-mat  fabric is standard with a foldable black backed material. this exclusive feature allows for the portability of a fast-fold  screen with the superior image quality and opacity of a black backed material. -black anodized frame option is available,64.0,0,0,0
34,sunpak,72in1cr,sunpak 72-in-one card reader with sim slot,0.0,72-in-1 card reader can read cf sd sdhc mmc xd memory stick sim micro sd and more,0.0,6.75,4.75,0.75
35,hp,51645a,hp 45 black inkjet cartridge 51645a,35.78,pigment-based inks for richer prints,0.4,4.0,4.0,2.0
36,tomtom,1ep001901,tomtom xxl 550,169.95,5  touchscreen includes us canada and mexico using tomtom s premium maps on demand updates with the latest maps lifetime traffic and map updates,1.1,7.0,7.0,1.8
37,iluv,imm153pnk,iluv desktop alarm clock with bed shaker for your iphone ipod - pink,54.88,am fm radio with pll digital tuning and dual alarm clock in-bed shaker for vibrating alarm wake to ipod fm radio vibration or buzzer and sleep to ipod or fm radio large lcd display with 10-step dimmer level control aux-input for any audio devices with 3.5mm jack  plays and charges ipod iphone while docked compatible with all dockable ipods excluding 1g 2g 3g includes ac adapter,6.5,6.0,4.25,3.5
38,roocase,222043,roocase multi-angle folio leather case   stylus for acer iconia tab a500,47.99,roocase multi-angle folio leather case   stylus for acer iconia tab a500 this roocase leather case features adjustable stand and allow access to all ports and controls. genuine leather with microfiber interior adjustable stand for viewing between 45-90 degree magnetic flap closure access to all ports and controls  stylus lightweight aluminum pen body that weighs in at only 0.4 oz stylus length 114mm convenient cap attachment to 3.5mm audio jack clip can attach to shirt or pants pocket,1.0,10.2,7.2,1.1
39,peerless,st660s,peerless smartmount universal tilt mount 32 - 60 screens,112.99,versatile functionality and solid engineering makes this universal tilting lcd plasma mount and intelligent choice for boardrooms digital signage or home theaters. smartmount universal tilt wall mounts come with everything you need for a quick and easy installation flat panels engage with an audible click to simple-to-align universal brackets.  15 degrees of forward tilt gives unobstructed access to cables and an open-design wall plate allows easy access to junction boxes and cable management. plus the peerless sorted-for-you fastener pack eliminates guesswork during installation by making all screen attachment hardware easy to find.  this tilt mount is compatible with most 32 to 60 flat panels offers up to 15 degrees of forward tilt and holds the screen under 3 from the wall.     best of all this mount is guaranteed to be in stock.  any orders placed before 1 00pm est will ship out same day note this mount is not compatible with every 32 to 60 display. if you have questions about your specific tv please call us.     features available in silver or black scratch-resistant fused epoxy   universal brackets will fit most 32 -60 flat panels   universal brackets hook onto wall plate for quick and easy installation   one-touch tilt adjustment of 15 -15 degrees without the use of tools   tilt lock of 15 10 5 0 -5 degrees   optional horizontal adjustment of up to 12 depending on screen size   includes hardware for installation to wood studs concrete and cinder block   mounts on two studs with 16 20 or 24 centers   this mount can be mounted directly into a metal stud by using the acc 415 metal stud fastener kit   se,11.0,34.1,18.5,2.6
40,iomega,34508,iomega 34508 dvr expander hard drive,99.98,1tb storage capacity  external form factor  esata host interface,2.9,7.82,4.75,1.22
41,da-lite,93163,da-lite 93163 model b manual wall and ceiling projection screen,149.88,manual projection screen  wall or ceiling mount  seamless,24.0,83.7,4.5,4.5
42,kingston,ktddm8400a1g,kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module,22.92,240-pin form factor  533mhz memory speed,0.05,4.77,1.71,0.45
43,sony,mdrex35lpvb,sony mdrex35lp vb colorful headphone with case - violet blue,13.54,impedance 16 ohms at 1 khz 9 mm driver units three sizes s m l,0.05,7.25,2.0,1.25
44,siig,ic510012s2,siig soundwave 5.1 channel pci sound card,19.84,supports multi-channel music games and dvds 5.1 channel surround sound frequency response 20hz-20khz,0.45,9.0,7.0,2.25
45,draper,102300,draper m1300 access series v electric screen  - hdtv 119 diagonal,2107.95,motorized ceiling-recessed tab-tensioned front projection screen. sleek white extruded aluminum case installs above ceiling. trim flange finishes the ceiling opening. tab-tensioned viewing surface and roller can be installed at the same time or can be added quickly and easily without tools at a later time. features -now available in 16 10 and 15 9 laptop presentation formats.-install an access case first and the screen later..-motor-in-roller operation..-12 extra drop is standard.-depending on surface available in sizes through 12 x 12 and 200 ntsc..-custom sizes available..-warranted for one year against defects in materials and workmanship.. screen material m1300 the perfect matt white diffusing surface. extremely broad light dispersion and spectral uniformity. panoramic viewing angle and true color rendition. recommended for use with any type of projector in rooms where the light level can be reasonably controlled. washable,103.0,0,0,0
46,draper,218033,draper flexible matte white cinefold replacement surface portable screen - 10 6 x 14 ntsc format,615.0,cineflex rear projection surface only,13.0,0,0,0
47,read right,,read right keyboardkleen kit 2.5 oz. pump spray,12.88,quick-drying formula no harmful residue safely and easily removes dust and dirt,0.0,0,0,0
48,quartet,101el,quartet ultima presentation dry erase easel melamine 27 x 34 white black frame,233.05,features 2 melamine dry-erase surfaces adjustable and tilt-able full-length rail marker,28.0,0,0,0
49,dp video,dbd805,dp video 7  touchscreen double din in-dash multimedia receiver dbd805,199.99,7  touchscreen display fully motorized with angle adjustment full function remote control included,10.0,7.25,7.25,4.5
50,targus,tss28802us,targus impax sleeve for 15  macbook pro red,35.0,soft to the touch designed to help prevent scratches strong airtight seal,0.85,14.7,10.2,1.6
51,avery,5706,avery economy vinyl round ring view binder,7.91,color white 2 inside pockets,0.62,0,0,0
52,wilson jones,38544b,wilson jones d-ring vinyl view binder,16.4,print-won t-stick covers special no-gap d-ring design keeps rings tightly closed without gaps,1.177,0,0,0
53,link depot,c6m3gyb,link depot 3 ethernet enhanced cat6 networking cable gray,2.98,category 6 enhanced 550 mhz tia eia 568b.2 utp unshielded twisted pair,0.3,9.0,4.0,0.5
54,da-lite,27528,da-lite da-plex base rear projection screen - 57 3 4 x 77 video format,2608.99,da-lite offers a wide range of rigid rear projection screen systems for any need ranging from corporate boardrooms to home theaters. with da-lite rear projection screens viewers can enjoy bright high resolution images without turning the lights off. base factory installed frame -mitered corners eliminate rear light leaks without caulking -black anodized finish. constructed of lightweight extruded aluminum u-channel -frame insert size equals screen viewing area plus 2-1 2,237.0,0,0,0
55,canon,dr2010c,canon imageformula dr-2010c compact color scanner,479.98,optical 600 dpi 24-bit color 8-bit grayscale,8.5,15.0,11.5,10.25
56,dreamgear,dgipad4541,dreamgear i.sound stand for ipad,56.09,aluminum stand holds ipad in many positions heavily weighted with non-slip surface ideal angles for web surfing typing viewing and more,1.2,13.0,6.1,2.0
57,edge tech,pe209780,edge tech proshot 4gb sdhc class 6 memory card,10.88,storage capacity 4gb technology flash form factor secure digital high capacity sdhc,0.05,1.25,0.94,0.08
58,vantec,mrk515st,vantec nexstar se 2.5  sata hard drive rack,10.74,supports 2.5  drive bay hot-pluggable,1.5,7.0,6.0,2.0
59,sennheiser,sh350ip,sennheiser sh 350 ip binaural headset with noise canceling microphone,150.0,delivers natural high definition sound for superior voice clarity blocks background noise allowing for total concentration 300-degree adjustable microphone boom,0.6,7.0,6.4,2.4
60,samsung,rbtl205,samsung tl205 refurbished 12.2mp black digital camera 6.3-18.9mm f 3.2 3x zoom lens 2.7  dual lcd vga movie recording w 50 bonus prints,79.0,12.2 megapixel resolution samsung 6.3-18.9mm zoom lens 2.7  tft lcd display,0.8,3.75,2.13,0.83
61,draper,252031,draper m2500 clarion fixed frame screen - 124 x 124 diagonal av format,1883.99,clarion permanently tensioned projection screen. viewing surface is flat for perfect picture quality. viewing surface is stretched tightly behind a beveled black aluminum frame. new design for quick assembly and flatter viewing surface--no snaps z-clip wall mounting brackets included to simplify installation. features -now available in 16 10 and 15 9 laptop presentation formats.-viewing surface is flat and that means perfect picture quality..-the clarion s aluminum frame forms an attractive 2 border for a clean theatre-like appearance..-switch instantly between two projection formats with the optional eclipse masking system..-the fabric attaches to the frame without snaps or tools forming a perfectly smooth viewing surface..-z-clip wall mounting brackets included to simplify installation..-standard black frame may be covered with velvety black vel-tex which virtually eliminates all reflections on the frame..-depending on surface available in sizes through 10 x 10 or 120 x 120 or 15 ntsc..-custom sizes available..-warranted for one year against defects in materials and workmanship.. screen material m2500 higher gain surface provides good black retention with accurate light colors and whites. m2500 is black-backed and tolerates a higher ambient light level in the audience area than many front projection screen surfaces. on-axis gain of 1.5.,82.0,0,0,0
62,kensington,82024,kensington 82024 memory foam seat backrests,29.88,seat rest  features washable  color black,2.64,14.4,14.4,1.8
63,blackberry,acc39311301,blackberry leather sleeve for playbook tablet black,29.88,premium grade leather exceptional protection charge or listen to music with distinctive style,0.9,7.6,5.1,0.4
64,arclyte,arclyte era02142,arclyte mobilestyle mini usb car charger jet black electric blue,25.0,ac input 12v-24v compatible with ipad blackberry ipod itouch and more color jet black electric blue,0.25,3.25,0.87,0.87
65,tribeca,fva4005,los angeles lakers iphone 3g duo case,24.99,give your iphone some team flavor with the los angeles lakers iphone 3g duo case the duo 3g 3gs features a laser engraved logo over a protective hard plastic with a rubberized finish. the open front design allows unrestricted access to the touchscreen for maximum functionality.,0.0,0,0,0
66,epson,t020201,epson t020201 color ink cartridge,27.0,prints up to 150 pages quick-drying color ink,0.2,4.06,3.9,1.34
67,q-see,qsd360,q-see professional indoor dome camera qsd360,99.82,general information - manufacturer digital peripheral solutions inc. - manufacturer part number qsd360 - product name qsd360 professional dome indoor vandal proof camera - marketing information qsd360 is professional dome video color ccd indoor vandal proof camera. with ccd technology it delivers the most sophisticated technology into the most reliable and accurate quality picture in the security industry its ideal for monitoring or videotaping. the package includes a 60-ft. cable to allow flexible installation. connect the camera to any tv vcr and start viewing or taping immediately. - product type surveillance network camera,1.6,5.5,5.5,4.0
68,microsoft,rka00014,microsoft vx-5000 lifecam webcam red,27.82,bend fold and shape the flexible base for the best angle on laptop screens flat panels and traditional monitors,1.4,8.0,7.0,3.0
69,visioneer,xerox travel scanner 100,xerox travel scanner 100 scanner,188.82,scan speed black   white 200 dpi up to 6 ppm including conversion into pdf document pages  scan speed colour 150 dpi up to 4 ppm including conversion into pdf document pages  optical resolution 600 dpi  interface usb 2.0 1.1 compatible,1.65,11.4,2.0,1.5
70,lorex,sg610,lorex simulated bullet style surveillance camera,12.84,ir leds for authentic look and feel metal body construction for durability ideal for indoor or outdoor applications includes mounting bracket and cable,1.24,3.8,3.8,3.8
71,panasonic,rphv21g,panasonic stereo earbud headphones rp-hv21 green,10.49,elastomer materials ensure you of a comfortable fit.,0.88,0,0,0
72,canon,l170,canon faxphone l170 laser printer   fax,269.0,energy star-qualified  pc-compatible  prints at speeds up to 19 pages per minute   usb 2.0 port,31.3,22.0,19.3,18.7
73,kensington,k62816us,kensington k62816us memory foam mouse wrist pillow,13.98,kensington k62816us memory foam mouse wrist pillow  provides maximum support to help relieve wrist discomfort  black lycra cover repels sweat and dirt,0.85,9.0,7.92,0.99
74,hp,ce250a,hp ce250a black toner cartridge,187.04,compatibility hp color laserjet cp3535 cm3530 mfp series printer  duty cycle 5000 pages  color black toner,3.84,0,0,0
75,cables to go,28734,cables to go digital audio explorer toslink selector switch,24.88,cables to go 28734 digital audio explorer toslink selector switch  connect up to three optical sources to the digital optical input of your home theater system  space-saving design allows you to place it almost anywhere,0.68,6.52,6.52,1.8
76,edge,pe219413,edge 2gb pc3-8500 ddr3 204-pin sodimm notebook memory module,22.92,highest quality memory available lifetime warranty and double tested to ensure compatibility,0.25,9.0,6.0,3.0
77,draper,101198,draper m2500 premier electric screen  - av format 7 x 9,1793.45,premier electric wall or ceiling projection screen. draper s tab-tensioning system holds the surface taut and wrinkle-free. delivers outstanding picture quality. projected image is framed by standard black masking borders at sides. motor-in-roller is mounted on special vibration insulators so it operates smoothly and silently. features -now available in 16 10 and 15 9 laptop presentation formats.-available with a ceiling trim kit for ceiling recessed installation..-12 black drop is standard..-black case with matching endcaps..-depending on surface available in sizes through 14 x 14 and 12 x 16 230  ntsc and 230  or 20 hdtv. see charts below for details..-with control options it can be operated from any remote location..-custom sizes available..-warranted for one year against defects in materials and workmanship..-plug   accessories section below.. screen material m2500 higher gain surface provides good black retention with accurate light colors and whites. m2500 is black-backed and tolerates a higher ambient light level in the audience area than many front projection screen surfaces. on-axis gain of 1.5.,86.0,0,0,0
78,draper,119018,draper matte white ultimate access series e electric screen - ntsc 150 diagonal,2443.45,ultimate access series e electric ceiling-recessed projection screen. you can install the case first screen later. motor-in-roller assures quiet and smooth operation. ceiling-recessed screen with an independently motorized ceiling closure. when the screen is retracted the motorized closure forms a solid bottom panel giving the ceiling a clean appearance. features -now available in 16 10 and 15 9 laptop presentation formats.-at the touch of a switch or wireless transmitter the door of the ultimate access opens into the case before the viewing surface descends into the room. your audience will be impressed by its precision timing and quiet fluid movement..-with control options it can be operated from any remote location..-depending on surface available in sizes through 12 x 12 and 15 ntsc..-custom sizes available..-warranted for one year against defects in materials and workmanship.. screen material matte white the standard to which all other screen surfaces are compared. matt white vinyl reflective surface laminated to tear-resistant woven textile base. a matt white surface diffuses projected light in all directions so the image can be seen from any angle. provides accurate color rendition as well as superior clarity. recommended for use with all high light output projection devices. requires control of ambient light in the audience area. washable flame and mildew resistant. peak gain 1.0.,152.0,0,0,0
79,case logic,147735,case logic 18  laptop case,39.99,case logic 18   - a quick access secure place to put valuables watch keys cell phone etc. prior to passing through airport security luggage strap securely attaches briefcase to most rolling luggage adjustable shoulder strap and comfortable fully-padded handles pocket on inside of laptop case stores files folders and other small items available in asia pacific europe latin america us,2.24,19.3,14.2,3.9
80,sharpie,30653pp,sharpie fine point permanent markers assorted 5ct,8.19,quick drying fade resistant fine point 5ct,0.99,7.62,4.75,4.2
81,vaultz,vz01270,vaultz lock mobile file chest storage box letter legal black,59.94,telescopic handle extends to 32  front stoppers for level placement sturdy wheels provides easy mobility,11.754000000000001,0,0,0
82,innovera,99650,innovera heavyweight photo paper matte 8-1 2 x 11 50 sheets pack,11.7,excellent results in any inkjet printer matte finish double-sided coating,2.01,0,0,0
83,pelican storm,im2050nf black,pelican storm shipping case without foam 9.8 x 11.8 x 4.7,40.99,case does not come with foam features -available in black yellow and od green. -lightweight strong hpx resin. -two press and pull latches. -double-layered soft-grip handle. -two pad lockable clasps. -vortex valve. -powerful hinges. -meets carry-on regulations. -watertight. -guaranteed for life. -interior dimensions 7.5 h x 9.5 w x 4.25 d. -exterior dimensions 9.8 h x 11.8 w x 4.7 d.,4.0,11.8,9.8,4.7
84,scosche,hdfrb6,scosche full range speaker system with two 6.5  woofers,0.0,300w 100w rated includes a matched pair of 6.5  woofers oversized 15 oz strontium magnets,0.0,24.0,9.0,7.0
85,sony,sf4n4tq,sony 4gb flash memory card black,10.88,for use with digital still cameras camcorders and other sd sdhc card compatible devices class 4 speed label area on card,0.7,6.1,4.92,0.35
86,sony,msmt2gtq,sony 2gb ms pro duo mark2,14.88,storage capacity 2gb memory stick pro duo,1.0,6.1,4.9,0.4
87,samsung,33052505,samsung 33-0525-05 samsung fasciante i500 oem multimedia dock,29.88,charging dock picture frame mode access applications when docked,0.4,6.25,3.9,2.75
88,vizio,e371va,vizio 37  class lcd 1080p 120hz hdtv e371va refurbished,379.0,37  diagonal screen size hdmi inputs 4 wall mountable with detachable base stand srs truvolume and srs trusurround hd,42.11,35.41,24.3,8.76
89,balt,33250,balt wheasel easel adjustable melamine dry erase board white,239.88,2  locking casters unframed dry erase surface adjustable height,51.0,0,0,0
90,targus,tss10805us,targus 15.6  a7 slipcase orange,29.99,tri-cell cushion system protects laptop material neoprene highly durable and water-resistant,11.2,15.6,11.25,1.15
91,dane-elec,dacf3008gc,dane-elec 8gb high-speed compact flash memory card,44.88,optimized for rapid-fire photo and video perfect for the newest digital high-definition video recorders and dslr cameras udma optimized card-to-computer download speed,0.05,6.6,5.0,0.15
92,da-lite,93605,da-lite deluxe anti-sway brace for fast fold deluxe screens,132.99,deluxe anti-sway brace increases lateral stability for deluxe fast fold screens over 14 wide. features -price is per pair -attaches using hook clamps sold separately,10.0,0,0,0
93,da-lite,73197,da-lite natural walnut veneer model b manual screen with matte white fabric - 64 x 84 diagonal video format,261.99,features -veneer wrapped case fits any room decor..-choice of seven veneer finishes light oak medium oak mahogany cherry natural walnut heritage walnut or honey maple ..-provides dependable service and beauty.-pull cord included.. screen material matte white one of the most versatile screen surfaces and a good choice for situations when presentation material is being projected and ambient light is controllable. its surface evenly distributes light over a wide viewing area. colors remain bright and life-like with no shifts in hue. flame retardant and mildew resistant. viewing angle 60  gain 1.0,25.0,0,0,0
94,audiovox,scdk1,audiovox sirius catv distribution kit,42.64,connect 1 or 2 sirius satellite radios flexibility in placement of the outdoor antenna and satellite works with all sirius radios and tuners,2.4,12.5,5.75,2.75
95,verbatim,ver97255,verbatim smartdisk optical mini travel mouse red,17.2,ultra portable design retractable usb cable usb 2.0 interface,0.19,8.5,4.94,1.5
96,hp,hp ce505xd,hp ce505xd black laserjet print cartridges 2pk,258.84,2 print cartridges color black printing technology laserjet,5.75,1.0,1.0,1.0
97,rca,42la45rq,rca 42  class lcd 1080p 60hz hdtv 42la45rq,429.0,41.1  screen measured diagonally from corner to corner hdmi inputs 3 wall-mountable detachable base 4 000 1 contrast ratio and 6.5ms response time,46.9,43.7,30.0,10.1
98,lacie,lac130992,lacie firewire 800 expresscard 34,45.0,add 2 firewire 800 ports to your laptop compatible with firewire 400 products transfer rates up to 800mb s,0.26,8.2,6.8,1.1
99,encore software,10958,mortimer beckett time paradox jewel case,7.82,travel through 8 different eras solve puzzles and collect items adventure game,0.1,5.7,5.1,0.6
100,canon,5035b001aa,canon powershot a3300 is black 16.0mp digital camera with 5x optical zoom 3.0  lcd 720p video w 50 bonus prints,156.54,16.0 megapixel resolution 5x optical zoom wide-angle lens 3.0  lcd screen,1.0,3.7,2.2,0.9
101,bling software,80244,bling software 123 copy dvd 2010 windows,32.98,copy dvds copy blu-ray discs to standard dvd download and burn videos,0.15,7.5,5.5,1.25
102,case logic,dcb309black,case logic slr camera backpack,79.99,case logic slr camera backpack this slr backpack combines practicality and style with customizable organization and sleek lines. carry everythingslr camera lenses flash and laptopcomfortably on your back. designed to fit slr camera with lens up to 70-200mm attached adjustable divider system provides customizable organization for 2-3 additional lenses flash and other camera accessories 15 inch macbook pro  or 14 inch pc fit in the padded laptop compartment  unzip side pocket slide your tripod inside and secure it at the top with the adjustable buckle serves as additional accessory storage when not using a tripod weather hood fits snugly over the bag to protect from the elements when not in use roll into its stuff sack for storage front pocket provides storage for any non-camera items you require a padded front panel ensures your camera and accessories are protected from impact convenient mesh water bottle pouch  innovative strap management system eliminates messy hanging straps,4.0,17.3,11.4,8.4
103,panasonic,kxtga660b,panasonic kx-tga660b dect 6.0 plus digital cordless handset black,40.88,compatible with your expandable kx-tga660 series cordless answering system intelligent eco mode color black,2.0,6.9,1.9,1.3
104,vizio,rbe421va,vizio 42  class 1080p 120hz lcd hdtv rbe421va refurbished,479.0,42.02  diagonal screen size hdmi inputs 4 wall mountable srs trusurroundhd,49.9,39.73,26.7,9.99
