custom_id,brand,modelno,title,price,descr,dimensions,shipweight
11,LaCie,130935,LaCie Formoa 15  MacBook Carrying Case Black,15,Bubble protection and soft inside lining Three pockets For 15 in. MacBooks,16.1 x 11.5 x 0.9 inches,1.3
12,Draper,116263,Draper High Contrast Grey Targa Electric Screen  - WideScreen 182 diagonal,1730.95,Targa electric projection screen. Ideal for auditoriums and lecture halls hospitals hotels churches boardrooms and conference rooms. The motor is mounted inside the roller for a trim balanced appearance. Pentagonal steel case is scratch-resistant white polyester finish with matching endcaps. Features -Now available in 16 10 and 15 9 laptop presentation formats.-Screen operates instantly at the touch of a button and stops automatically in the up and down positions..-Viewing surface can be lowered to any position at the touch of a switch..-NTSC HDTV and WideScreen format screens have black borders on all four sides.-Available with a ceiling trim kit for ceiling recessed installation..-With control options it can be operated from any remote location..-Depending on surface available in sizes through 16 x 16 and 240 NTSC..-Custom sizes available..-Warranted for one year against defects in materials and workmanship.. Screen Material High Contrast Grey Grey textile backed surface offers excellent resolution while enhancing the blacks of LCD and DLP projected images even as whites and lighter colors are maintained. Performs well in ambient light condition. High Contrast Grey s lower gain of 0.8 allows use with even the brightest projectors viewing cone of 180 . Available on most non-tensioned motorized and manual screens seamless in sizes up to 8  in height. Peak gain of 0.8.,,100.0
13,Draper,106018,Draper AT1200 Access MultiView Series E Acoustically Transparent Screen - 106 diagonal HDTV to NTSC Format,4375.95,The Access MultiView Series E offers total flexibility. One screen two formats. Ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection. Features -Ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection..-Flat black mask on second motor-in-roller converts the projection screen to a 4 3 NTSC format by masking the right and left sides of the viewing surface..-Height of viewing surface remains constant..-Custom sizes available. Screen Material AT1200 Innovative and versatile acoustically transparent screen material. Similar in gain performance to standard matt white. Acoustical properties comparable to the finest speaker grille cloth. Peak gain of 1.0. Installation Instructions,,96.0
14,Stanley,PC509,Stanley 500 Watt Power Inverter,34.88,500 watts of continuous power Battery clamps DC plug,9.75 x 5.0 x 2.25 inches,2.6
15,Gear Head,WC1200RED,Gear Head Quick 1.3MP Webcam with Night Vision Red Black,15.98,Up to 1.3 megapixel image capture 640 x 480 video resolution Desktop or laptop mount,7.2 x 4.4 x 3.5 inches,1.5
16,Avery,5029,Avery Self-Adhesive Filing Labels 1 3 Cut 3-7 16 x 2 3 Clear 450 Pack,21.47,Clear 1 3 cut filing labels Clear labels virtually disappear on tabs  Labels are 3-7 16,,0.412
17,XFX,HD685XZNDC,XFX Radeon HD6850 PCIE 1GB DDR5 Graphics Card,195,800 MHz GPU core clock 4200 MHz memory speed 2GB GDDR5,32.4 x 16.4 x 10.0 inches,1.08
18,SKB Cases,3SKB-1914MR,SKB Cases PH Series Pull Handle Case 11 1 2 H x 21 5 8 W x 16 3 8 D outside,214.99,Telescoping retractable pull-handle convenience combined with maximum strength and durability help this line of SKB transit cases set a new industry standard. Molded of high density polyethylene with designed-in roller-blade style wheels. Molded-in bumpers defend these cases from impact damage. Features -Cases are molded of durable impact resistent high-density polyethylene -Convenient retractable pull-handle -Quiet durable roller-blade style wheels -Molded in protective bumpers protect case hardware -Heavy-duty buckle latch system -Comfortable spring loaded side handles Dimensions -Outside Dimensions 11 1 2 H x 21 5 8 W x 16 3 8 D -Inside Dimensions 10 H x 19 3 8 W x 14 D -Lid Depth 4 -Base Depth 6 About SKB Cases In 1977 the first SKB case was manufactured in a small Anaheim California garage. Today SKB engineers provide cases for hundreds of companies involved in many diverse industries. We enter the new millennium with a true sense of accomplishment for the 2 decades of steady growth and for our adherence to quality standards that make us industry leaders. We never lose sight of the fact that our customers give us the opportunity to excel and their challenges allow us to develop and grow. We are grateful for their trust and loyalty and we remain dedicated to the assurance that every case with an SKB logo has been manufactured with an unconditional commitment to unsurpassed quality. The Million Mile Guaranty - Every SKB hardshell case is unconditionally guaranteed forever. That means IF YOU BREAK IT WE WILL REPAIR OR REPLACE IT AT NO COST TO YOU. SKB cases have been on the road since 1977 and have spent a good deal of time flying equipment for military combat operations. These ar,19.0 x 14.0 x 10.0 inches,14.0
19,INNOVERA,39701,Innovera CD DVD Pocket with Built-In Label Tab Clear 25 Pack,5.28,CD pocket with built-in tab for adhesive ID labels Tuck-in flap keeps CDs secure 30 adhesive labels included,,0.386
20,HP,C4890A,HP 80 Ink Printhead Printhead Cleaner Black C4890A,268.79,Print cartridge printhead and printhead cleaner Printing technology inkjet,,1.79
21,Mead,6622,Mead Spiral Bound Notebook College Rule,3.88,3-hole punched College rule Sheet size 8  Available in 100 120 or 180 sheets per pad,,0.837
22,IOGEAR,GCS632UW6,IOGEAR 2-Port MiniView Micro USB PLUS KVM Switch,37.57,6 molded-in cables simplify setup Full support for Mac and Sun systems USB sniffing technology for error-free boot-up,10.0 x 7.0 x 3.0 inches,1.15
23,Quartet,2305,Quartet Cork Bulletin Board Natural Cork Fiberboard 60 x 36 Aluminum Frame,91.44,Self-healing cork surface Perfect for school home or office use Includes mounting hardware,,16.16
24,Avery,,Avery Shipping Labels for Color Laser   Copier 3-3 4 x 4-3 4 Matte White 100 Pack,16.67,Matte white mailing labels Guaranteed printer performance in HP Canon Epson and other popular printers Set of 300 labels,,
25,Aluratek,2782753,Aluratek Deluxe Leather Travel Case for the Libre eBook Reader Pro,23.1,Premium quality hand-stitched leather Held securely with outside magnetic clasp Lightweight and compact for easy travel Sturdy and stylish black leather exterior,6.25 x 4.75 x 1.0 inches,0.5
26,HP,HP CE278A,HP CE278A Black LaserJet Print Cartridge,69.84,1 print cartridge Color black Printing technology LaserJet,1.0 x 1.0 x 1.0 inches,1.8
27,CyberPower,CP1000PFCLCD,Cyber Power PFC 1000VA LCD Sinewave Adaptive Intelligent UPS,151,Intelligent LCD diagnostic display Automatic voltage regulation Reduced energy costs and reduced heat,13.5 x 11.2 x 6.3 inches,19.15
28,Tribeca,FVA2868,Tribeca Dallas Cowboys 15  Sleeve for MacBook Pros,31.88,Fits MacBook Pros and 15  laptops Shock absorbing neoprene Front storage pocket,15.88 x 12.6 x 1.13 inches,0.85
29,,6644WH,Tablemate Plastic Dinnerware 6 Inch Plates 125pk,18.97,,6.0 x 6.0 x 5.7 inches,1.859
30,Vantec,NST-400MX-S2,Vantec NexStar MX Dual 3.5  SATA Hard Drive Enclosure,49.71,Supports dual SATA I II hard drives Front ventilation and rear fan Stylish aluminum case,10.0 x 7.0 x 6.0 inches,5.0
31,Fuji,Mini Film 2pk,Fujifilm Instax Mini Twin Pack Film,20.28,Film Speed ISO 800 30 degrees Number of photos per pack 10 Compatible with the Fujifilm Instax Mini 7S,3.0 x 2.0 x 1.77 inches,0.15
32,Tribeca,FVA2782,Chicago Bears Camera Case,19.99,Capture that special moment and slip your camera in this Chicago Bears Camera Case before the next big play. Made of high quality nylon the case features a stash pocket on the front to hold your memory cards and accessories.,,
33,Da-Lite,88604,Da-Lite Da-Mat Deluxe Fast Fold Complete Front Projection Screen - 68 x 68,829.99,Fast-Fold  Deluxe Screen System Features -Deluxe Fast-Fold frame and legs are constructed of sturdy 1.25  square aluminum tubing -Available with Da Fold  surfaces for easy substitution -All viewing surfaces up to 16 high will be seamless -Complete screen also includes a rugged carrying case with wheels and is available in sizes from 54 x 54 up to 10 6 x 14 -Fast-Fold  Deluxe with Da-Mat  fabric is standard with a foldable black backed material. This exclusive feature allows for the portability of a Fast-Fold  screen with the superior image quality and opacity of a black backed material. -Black anodized frame option is available,,64.0
34,Sunpak,72-IN-1-CR,Sunpak 72-In-One Card Reader with SIM Slot,0,72-in-1 card reader Can read CF SD SDHC MMC XD Memory Stick SIM micro SD and more,6.75 x 4.75 x 0.75 inches,
35,HP,51645A,HP 45 Black Inkjet Cartridge 51645A,35.78,Pigment-based inks for richer prints,4.0 x 4.0 x 2.0 inches,0.4
36,TomTom,1EP001901,TomTom XXL 550,169.95,5  touchscreen Includes US Canada and Mexico using TomTom s premium maps on demand updates with the latest maps Lifetime traffic and map updates,7.0 x 7.0 x 1.8 inches,1.1
37,iLuv,IMM153PNK,iLuv Desktop Alarm Clock with Bed Shaker for your iPhone iPod - Pink,54.88,AM FM radio with PLL digital tuning and dual alarm clock In-bed shaker for vibrating alarm Wake to iPod FM radio vibration or buzzer and sleep to iPod or FM radio Large LCD display with 10-step dimmer level control AUX-input for any audio devices with 3.5mm jack  Plays and charges iPod iPhone while docked Compatible with all dockable iPods excluding 1G 2G 3G Includes AC adapter,6.0 x 4.25 x 3.5 inches,6.5
38,rooCASE,222043,rooCASE Multi-Angle Folio Leather Case   Stylus for Acer Iconia Tab A500,47.99,rooCASE Multi-Angle Folio Leather Case   Stylus for Acer Iconia Tab A500 This rooCASE leather case features adjustable stand and allow access to all ports and controls. Genuine leather with microfiber interior Adjustable stand for viewing between 45-90 degree Magnetic flap closure Access to all ports and controls  Stylus lightweight aluminum pen body that weighs in at only 0.4 OZ stylus length 114mm convenient cap attachment to 3.5mm audio jack clip can attach to shirt or pants pocket,10.2 x 7.2 x 1.1 inches,1.0
39,Peerless,ST660-S,Peerless SmartMount Universal Tilt Mount 32 - 60 Screens,112.99,Versatile functionality and solid engineering makes this universal tilting LCD Plasma mount and intelligent choice for boardrooms digital signage or home theaters. SmartMount universal tilt wall mounts come with everything you need for a quick and easy installation flat panels engage with an audible click to simple-to-align universal brackets.  15 degrees of forward tilt gives unobstructed access to cables and an open-design wall plate allows easy access to junction boxes and cable management. Plus the Peerless Sorted-For-You fastener pack eliminates guesswork during installation by making all screen attachment hardware easy to find.  This tilt mount is compatible with most 32 to 60 flat panels offers up to 15 degrees of forward tilt and holds the screen under 3 from the wall.     Best of all this mount is guaranteed to be in stock.  Any orders placed before 1 00pm EST will ship out SAME DAY NOTE This mount is NOT compatible with every 32 to 60 display. If you have questions about your specific TV please call us.     Features Available in silver or black scratch-resistant fused epoxy   Universal brackets will fit most 32 -60 flat panels   Universal brackets hook onto wall plate for quick and easy installation   One-touch tilt adjustment of 15 -15 degrees without the use of tools   Tilt lock of 15 10 5 0 -5 degrees   Optional horizontal adjustment of up to 12 depending on screen size   Includes hardware for installation to wood studs concrete and cinder block   Mounts on two studs with 16 20 or 24 centers   This mount can be mounted directly into a metal stud by using the ACC 415 Metal Stud Fastener Kit   Se,34.1 x 18.5 x 2.6 inches,11.0
40,Iomega,34508,Iomega 34508 DVR Expander Hard Drive,99.98,1TB storage capacity  External form factor  eSATA host interface,7.82 x 4.75 x 1.22 inches,2.9
41,Da-Lite,93163,Da-Lite 93163 Model B Manual Wall and Ceiling Projection Screen,149.88,Manual projection screen  Wall or ceiling mount  Seamless,83.7 x 4.5 x 4.5 inches,24.0
42,Kingston,KTD-DM8400A/1G,Kingston KTD-DM8400A 1G 1GB DDR2 SDRAM Memory Module,22.92,240-pin form factor  533MHz memory speed,4.77 x 1.71 x 0.45 inches,0.05
43,Sony,MDREX35LP/VB,Sony MDREX35LP VB Colorful Headphone with Case - Violet Blue,13.54,Impedance 16 ohms at 1 kHz 9 mm driver units Three sizes S M L,7.25 x 2.0 x 1.25 inches,0.05
44,SIIG,IC-510012-S2,SIIG SoundWave 5.1 Channel PCI Sound Card,19.84,Supports multi-channel music games and DVDs 5.1 channel surround sound Frequency Response 20Hz-20kHz,9.0 x 7.0 x 2.25 inches,0.45
45,Draper,102300,Draper M1300 Access Series V Electric Screen  - HDTV 119 diagonal,2107.95,Motorized ceiling-recessed tab-tensioned front projection screen. Sleek white extruded aluminum case installs above ceiling. Trim flange finishes the ceiling opening. Tab-tensioned viewing surface and roller can be installed at the same time or can be added quickly and easily without tools at a later time. Features -Now available in 16 10 and 15 9 laptop presentation formats.-Install an Access case first and the screen later..-Motor-in-roller operation..-12 extra drop is standard.-Depending on surface available in sizes through 12 x 12 and 200 NTSC..-Custom sizes available..-Warranted for one year against defects in materials and workmanship.. Screen Material M1300 The perfect matt white diffusing surface. Extremely broad light dispersion and spectral uniformity. Panoramic viewing angle and true color rendition. Recommended for use with any type of projector in rooms where the light level can be reasonably controlled. Washable,,103.0
46,Draper,218033,Draper Flexible Matte White Cinefold Replacement Surface Portable Screen - 10 6 x 14 NTSC Format,615,Cineflex Rear Projection Surface Only,,13.0
47,READ RIGHT,,Read Right KeyboardKleen Kit 2.5 oz. Pump Spray,12.88,Quick-drying formula No harmful residue Safely and easily removes dust and dirt,,
48,Quartet,101EL,Quartet Ultima Presentation Dry Erase Easel Melamine 27 x 34 White Black Frame,233.05,Features 2 melamine dry-erase surfaces Adjustable and tilt-able Full-length rail marker,,28.0
49,DP Video,DBD805,DP Video 7  Touchscreen Double Din In-Dash Multimedia Receiver DBD805,199.99,7  touchscreen display Fully motorized with angle adjustment Full function remote control included,7.25 x 7.25 x 4.5 inches,10.0
50,Targus,TSS28802US,Targus Impax Sleeve for 15  MacBook Pro Red,35,Soft to the touch Designed to help prevent scratches Strong airtight seal,14.7 x 10.2 x 1.6 inches,0.85
51,Avery,5706,Avery Economy Vinyl Round Ring View Binder,7.91,Color White 2 inside pockets,,0.62
52,Wilson Jones,38544B,Wilson Jones D-Ring Vinyl View Binder,16.4,Print-Won t-Stick covers Special No-Gap D-ring design keeps rings tightly closed without gaps,,1.177
53,Link Depot,C6M-3-GYB,Link Depot 3 Ethernet Enhanced CAT6 Networking Cable Gray,2.98,Category 6 enhanced 550 MHz TIA EIA 568B.2 UTP unshielded twisted pair,9.0 x 4.0 x 0.5 inches,0.3
54,Da-Lite,27528,Da-Lite Da-Plex Base Rear Projection Screen - 57 3 4 x 77 Video Format,2608.99,Da-Lite offers a wide range of rigid rear projection screen systems for any need ranging from corporate boardrooms to home theaters. With Da-Lite rear projection screens viewers can enjoy bright high resolution images without turning the lights off. Base Factory Installed Frame -Mitered corners eliminate rear light leaks without caulking -Black anodized finish. Constructed of lightweight extruded aluminum U-channel -Frame insert size equals screen viewing area plus 2-1 2,,237.0
55,Canon,DR-2010C,Canon imageFORMULA DR-2010C Compact Color Scanner,479.98,Optical 600 dpi 24-bit Color 8-bit Grayscale,15.0 x 11.5 x 10.25 inches,8.5
56,Dreamgear,DGIPAD-4541,Dreamgear i.Sound Stand for iPad,56.09,Aluminum stand holds iPad in many positions Heavily weighted with non-slip surface Ideal angles for web surfing typing viewing and more,13.0 x 6.1 x 2.0 inches,1.2
57,Edge Tech,PE209780,EDGE Tech ProShot 4GB SDHC Class 6 Memory Card,10.88,Storage capacity 4GB Technology flash Form factor Secure Digital High Capacity SDHC,1.25 x 0.94 x 0.08 inches,0.05
58,Vantec,MRK-515ST,Vantec NexStar SE 2.5  SATA Hard Drive Rack,10.74,Supports 2.5  drive bay Hot-Pluggable,7.0 x 6.0 x 2.0 inches,1.5
59,Sennheiser,SH350IP,Sennheiser SH 350 IP Binaural Headset with Noise Canceling Microphone,150,Delivers natural high definition sound for superior voice clarity Blocks background noise allowing for total concentration 300-degree adjustable microphone boom,7.0 x 6.4 x 2.4 inches,0.6
60,Samsung,RBTL205,Samsung TL205 Refurbished 12.2MP Black Digital Camera 6.3-18.9mm f 3.2 3x Zoom Lens 2.7  Dual LCD VGA Movie Recording w 50 Bonus Prints,79,12.2 megapixel resolution Samsung 6.3-18.9mm zoom lens 2.7  TFT LCD display,3.75 x 2.13 x 0.83 inches,0.8
61,Draper,252031,Draper M2500 Clarion Fixed Frame Screen - 124 x 124 diagonal AV Format,1883.99,Clarion permanently tensioned projection screen. Viewing surface is flat for perfect picture quality. Viewing surface is stretched tightly behind a beveled black aluminum frame. New design for quick assembly and flatter viewing surface--no snaps Z-Clip wall mounting brackets included to simplify installation. Features -Now available in 16 10 and 15 9 laptop presentation formats.-Viewing surface is flat and that means perfect picture quality..-The Clarion s aluminum frame forms an attractive 2 border for a clean theatre-like appearance..-Switch instantly between two projection formats with the optional Eclipse Masking System..-The fabric attaches to the frame without snaps or tools forming a perfectly smooth viewing surface..-Z-Clip wall mounting brackets included to simplify installation..-Standard black frame may be covered with velvety black Vel-Tex which virtually eliminates all reflections on the frame..-Depending on surface available in sizes through 10 x 10 or 120 x 120 or 15 NTSC..-Custom sizes available..-Warranted for one year against defects in materials and workmanship.. Screen Material M2500 Higher gain surface provides good black retention with accurate light colors and whites. M2500 is black-backed and tolerates a higher ambient light level in the audience area than many front projection screen surfaces. On-axis gain of 1.5.,,82.0
62,Kensington,82024,Kensington 82024 Memory Foam Seat Backrests,29.88,Seat Rest  Features Washable  Color Black,14.4 x 14.4 x 1.8 inches,2.64
63,BLACKBERRY,ACC-39311-301,BlackBerry Leather Sleeve for PlayBook Tablet Black,29.88,Premium grade leather Exceptional protection Charge or listen to music with distinctive style,7.6 x 5.1 x 0.4 inches,0.9
64,Arclyte,Arclyte ERA02142,Arclyte MobileStyle Mini USB Car Charger Jet Black Electric Blue,25,AC Input 12V-24V Compatible with iPad BlackBerry iPod iTouch and more Color Jet Black Electric Blue,3.25 x 0.87 x 0.87 inches,0.25
65,Tribeca,FVA4005,Los Angeles Lakers iPhone 3G Duo Case,24.99,Give your iPhone some team flavor with the Los Angeles Lakers iPhone 3G Duo Case The Duo 3G 3GS features a laser engraved logo over a protective hard plastic with a rubberized finish. The open front design allows unrestricted access to the touchscreen for maximum functionality.,,
66,Epson,T020201,Epson T020201 Color Ink Cartridge,27,Prints up to 150 pages quick-drying color ink,4.06 x 3.9 x 1.34 inches,0.2
67,Q-See,QSD360,Q-See Professional Indoor Dome Camera QSD360,99.82,General Information - Manufacturer Digital Peripheral Solutions Inc. - Manufacturer Part Number QSD360 - Product Name QSD360 Professional Dome Indoor Vandal Proof Camera - Marketing Information QSD360 is Professional Dome video Color CCD Indoor Vandal Proof camera. With CCD technology it delivers the most sophisticated technology into the most reliable and accurate quality picture in the security industry Its ideal for monitoring or videotaping. The package includes a 60-ft. cable to allow flexible installation. Connect the camera to any TV VCR and start viewing or taping immediately. - Product Type Surveillance Network Camera,5.5 x 5.5 x 4.0 inches,1.6
68,Microsoft,RKA00014,Microsoft VX-5000 LifeCam Webcam Red,27.82,Bend fold and shape the flexible base for the best angle on laptop screens flat panels and traditional monitors,8.0 x 7.0 x 3.0 inches,1.4
69,Visioneer,Xerox Travel Scanner 100,Xerox Travel Scanner 100 Scanner,188.82,Scan Speed black   white 200 dpi Up to 6 ppm including conversion into PDF document pages  Scan Speed colour 150 dpi Up to 4 ppm including conversion into PDF document pages  Optical Resolution 600 dpi  Interface USB 2.0 1.1 compatible,11.4 x 2.0 x 1.5 inches,1.65
70,Lorex,SG-610,Lorex Simulated Bullet Style Surveillance Camera,12.84,IR LEDs for authentic look and feel Metal body construction for durability Ideal for indoor or outdoor applications Includes mounting bracket and cable,3.8 x 3.8 x 3.8 inches,1.24
71,Panasonic,RPHV21G,Panasonic Stereo Earbud Headphones RP-HV21 Green,10.49,Elastomer materials ensure you of a comfortable fit.,,0.88
72,Canon,L170,Canon FaxPhone L170 Laser Printer   Fax,269,ENERGY STAR-qualified  PC-compatible  Prints at speeds up to 19 pages per minute   USB 2.0 port,22.0 x 19.3 x 18.7 inches,31.3
73,Kensington,K62816US,Kensington K62816US Memory Foam Mouse Wrist Pillow,13.98,Kensington K62816US Memory Foam Mouse Wrist Pillow  Provides maximum support to help relieve wrist discomfort  Black lycra cover repels sweat and dirt,9.0 x 7.92 x 0.99 inches,0.85
74,HP,CE250A,HP CE250A Black Toner Cartridge,187.04,Compatibility HP Color LaserJet CP3535 CM3530 MFP Series Printer  Duty Cycle 5000 Pages  Color Black Toner,,3.84
75,Cables To Go,28734,Cables To Go Digital Audio Explorer Toslink Selector Switch,24.88,Cables To Go 28734 Digital Audio Explorer Toslink Selector Switch  Connect up to three optical sources to the digital optical input of your home theater system  Space-saving design allows you to place it almost anywhere,6.52 x 6.52 x 1.8 inches,0.68
76,EDGE,PE219413,EDGE 2GB PC3-8500 DDR3 204-Pin SODIMM Notebook Memory Module,22.92,Highest quality memory available lifetime warranty and double tested to ensure compatibility,9.0 x 6.0 x 3.0 inches,0.25
77,Draper,101198,Draper M2500 Premier Electric Screen  - AV Format 7 x 9,1793.45,Premier electric wall or ceiling projection screen. Draper s Tab-Tensioning System holds the surface taut and wrinkle-free. Delivers outstanding picture quality. Projected image is framed by standard black masking borders at sides. Motor-in-roller is mounted on special vibration insulators so it operates smoothly and silently. Features -Now available in 16 10 and 15 9 laptop presentation formats.-Available with a ceiling trim kit for ceiling recessed installation..-12 black drop is standard..-Black case with matching endcaps..-Depending on surface available in sizes through 14 x 14 and 12 x 16 230  NTSC and 230  or 20 HDTV. See charts below for details..-With control options it can be operated from any remote location..-Custom sizes available..-Warranted for one year against defects in materials and workmanship..-Plug   Accessories section below.. Screen Material M2500 Higher gain surface provides good black retention with accurate light colors and whites. M2500 is black-backed and tolerates a higher ambient light level in the audience area than many front projection screen surfaces. On-axis gain of 1.5.,,86.0
78,Draper,119018,Draper Matte White Ultimate Access Series E Electric Screen - NTSC 150 diagonal,2443.45,Ultimate Access Series E electric ceiling-recessed projection screen. You can install the case first screen later. Motor-in-roller assures quiet and smooth operation. Ceiling-recessed screen with an independently motorized ceiling closure. When the screen is retracted the motorized closure forms a solid bottom panel giving the ceiling a clean appearance. Features -Now available in 16 10 and 15 9 laptop presentation formats.-At the touch of a switch or wireless transmitter the door of the Ultimate Access opens into the case before the viewing surface descends into the room. Your audience will be impressed by its precision timing and quiet fluid movement..-With control options it can be operated from any remote location..-Depending on surface available in sizes through 12 x 12 and 15 NTSC..-Custom sizes available..-Warranted for one year against defects in materials and workmanship.. Screen Material Matte White The standard to which all other screen surfaces are compared. Matt white vinyl reflective surface laminated to tear-resistant woven textile base. A matt white surface diffuses projected light in all directions so the image can be seen from any angle. Provides accurate color rendition as well as superior clarity. Recommended for use with all high light output projection devices. Requires control of ambient light in the audience area. Washable flame and mildew resistant. Peak gain 1.0.,,152.0
79,Case Logic,147735,Case Logic 18  Laptop Case,39.99,Case Logic 18   - A quick access secure place to put valuables watch keys cell phone etc. prior to passing through airport security Luggage strap securely attaches briefcase to most rolling luggage Adjustable shoulder strap and comfortable fully-padded handles Pocket on inside of laptop case stores files folders and other small items Available in Asia Pacific Europe Latin America US,19.3 x 14.2 x 3.9 inches,2.24
80,Sharpie,30653PP,Sharpie Fine Point Permanent Markers Assorted 5ct,8.19,Quick drying Fade resistant Fine point 5ct,7.62 x 4.75 x 4.2 inches,0.99
81,Vaultz,VZ01270,Vaultz Lock Mobile File Chest Storage Box Letter Legal Black,59.94,Telescopic handle extends to 32  Front stoppers for level placement Sturdy wheels provides easy mobility,,11.754
82,INNOVERA,99650,Innovera Heavyweight Photo Paper Matte 8-1 2 x 11 50 Sheets Pack,11.7,Excellent results in any inkjet printer Matte finish Double-sided coating,,2.01
83,Pelican Storm,iM2050NF BLACK,Pelican Storm Shipping Case without Foam 9.8 x 11.8 x 4.7,40.99,Case Does Not Come With Foam Features -Available in Black Yellow and OD Green. -Lightweight strong HPX resin. -Two press and pull latches. -Double-layered soft-grip handle. -Two pad lockable clasps. -Vortex valve. -Powerful hinges. -Meets carry-on regulations. -Watertight. -Guaranteed for life. -Interior Dimensions 7.5 H x 9.5 W x 4.25 D. -Exterior Dimensions 9.8 H x 11.8 W x 4.7 D.,11.8 x 9.8 x 4.7 inches,4.0
84,Scosche,HDFRB6,Scosche Full Range Speaker System with Two 6.5  Woofers,0,300W 100W rated Includes a matched pair of 6.5  woofers Oversized 15 oz strontium magnets,24.0 x 9.0 x 7.0 inches,
85,Sony,SF4N4/TQ,Sony 4GB Flash Memory Card Black,10.88,For use with digital still cameras camcorders and other SD SDHC card compatible devices Class 4 speed Label area on card,6.1 x 4.92 x 0.35 inches,0.7
86,Sony,MSMT2G/TQ,Sony 2GB MS Pro Duo Mark2,14.88,Storage Capacity 2GB Memory Stick Pro Duo,6.1 x 4.9 x 0.4 inches,1.0
87,Samsung,33-0525-05,Samsung 33-0525-05 Samsung Fasciante i500 OEM Multimedia Dock,29.88,Charging dock Picture frame mode Access applications when docked,6.25 x 3.9 x 2.75 inches,0.4
88,Vizio,E371VA,VIZIO 37  Class LCD 1080p 120Hz HDTV E371VA Refurbished,379,37  diagonal screen size HDMI inputs 4 Wall mountable with detachable base stand SRS TruVolume and SRS TruSurround HD,35.41 x 24.3 x 8.76 inches,42.11
89,Balt,33250,BALT Wheasel Easel Adjustable Melamine Dry Erase Board White,239.88,2  locking casters Unframed dry erase surface Adjustable height,,51.0
90,Targus,TSS10805US,Targus 15.6  A7 Slipcase Orange,29.99,Tri-cell Cushion System protects laptop Material Neoprene Highly durable and water-resistant,15.6 x 11.25 x 1.15 inches,11.2
91,DANE-ELEC,DACF3008GC,Dane-Elec 8GB High-Speed Compact Flash Memory Card,44.88,Optimized for rapid-fire photo and video Perfect for the newest digital high-definition video recorders and DSLR cameras UDMA optimized card-to-computer download speed,6.6 x 5.0 x 0.15 inches,0.05
