seq1,seq2,authors_authors_jac_qgm_3_qgm_3
"lyman do, pamela drew, prabhu ram","p. ram, l. do, p. drew",0.1914893617021277
"lyman do, prabhu ram, pamela drew","p. drew, p. ram, l. do",0.1914893617021277
corporate t. team,times-ten team,0.16666666666666666
"jihad boulos, kinji ono","k. ono, j. boulos",0.1891891891891892
"kinji ono, j. boulos","jihad boulos, k. ono",0.1891891891891892
"k. ono, j. boulos","jihad boulos, kinji ono",0.1891891891891892
"jihad boulos, k. ono","kinji ono, j. boulos",0.1891891891891892
"kinji ono, jihad boulos","j. boulos, k. ono",0.1891891891891892
"k. ono, j. boulos","jihad boulos, kinji ono",0.1891891891891892
"j. boulos, k. ono","kinji ono, jihad boulos",0.1891891891891892
"j. kuan, p. lewis","paul lewis, joseph kuan",0.1891891891891892
"paul lewis, joseph kuan","j. kuan, p. h. lewis",0.175
"paul lewis, joseph kuan","j. kuan, p. h. lewis",0.175
"p. lewis, j. kuan","joseph kuan, paul lewis",0.1891891891891892
"joseph kuan, p. h. lewis","paul lewis, j. kuan",0.175
"p. h. lewis, joseph kuan","j. kuan, paul lewis",0.175
"paul lewis, joseph kuan","j. kuan, p. h. lewis",0.175
"h. f. korth, a. silberschatz, s. mehrotra, r. rastogi",s. mehrotra,0.15254237288135594
s. mehrotra,"abraham silberschatz, s. mehrotra, rajeev rastogi, h. f. korth",0.13432835820895522
"s. mehrotra, abraham silberschatz, r. rastogi, h. f. korth",s. mehrotra,0.1774193548387097
"w. du, x. liu, abdelsalam helal","a. helal, xiangning liu, weimin du",0.1724137931034483
"x. liu, weimin du, a. helal","abdelsalam helal, w. du, xiangning liu",0.1724137931034483
"x. liu, weimin du, a. helal","abdelsalam helal, w. du, xiangning liu",0.1724137931034483
"w. du, abdelsalam helal, xiangning liu","x. liu, weimin du, a. helal",0.1724137931034483
"xiangning liu, a. helal, w. du","weimin du, x. liu, abdelsalam helal",0.1724137931034483
"d. shasha, bin li","b. li, dennis shasha",0.14705882352941174
"b. li, d. shasha","dennis shasha, bin li",0.14705882352941174
"d. shasha, bin li","b. li, dennis shasha",0.14705882352941174
"bin li, dennis shasha","d. shasha, b. li",0.14705882352941174
"d. shasha, bin li","b. li, dennis shasha",0.14705882352941174
"dennis shasha, bin li","b. li, d. shasha",0.14705882352941174
"bin li, dennis shasha","d. shasha, b. li",0.14705882352941174
"k. ng, h. liu, h. kwah","hweebong kwah, huan liu, kiansing ng",0.1836734693877551
"huan liu, hweebong kwah, kiansing ng","k. ng, h. liu, h. kwah",0.1836734693877551
"h. garcia-molina, kevin chen-chuan chang","c. k. chang, h&#233;ctor garc&#237;a-molina",0.18571428571428567
"m. wang, j. scott vitter","jeffrey s. vitter, min wang",0.1702127659574468
"j. s. vitter, min wang","m. wang, jeffrey scott vitter",0.1702127659574468
"jeffrey s. vitter, m. wang","min wang, j. scott vitter",0.1702127659574468
"min wang, j. s. vitter","jeffrey scott vitter, m. wang",0.1702127659574468
"jeffrey s. vitter, m. wang","min wang, j. scott vitter",0.1702127659574468
"ju-hong lee, deok-hwan kim, chin-wan chung","c. chung, j. lee, d. kim",0.19642857142857145
"ju-hong lee, d. kim, c. chung","deok-hwan kim, chin-wan chung, j. lee",0.19642857142857145
"c. chung, d. kim, j. lee","ju-hong lee, deok-hwan kim, chin-wan chung",0.19642857142857145
"ada wai-chee fu, k. lum cheung","king l. cheung, ada w. fu",0.1836734693877551
"k. lum cheung, a. wai-chee fu","ada w. fu, k. l. cheung",0.1702127659574468
"a. wai-chee fu, king lum cheung","k. l. cheung, ada w. fu",0.1176470588235294
"ada w. fu, king lum cheung","k. l. cheung, a. wai-chee fu",0.1176470588235294
"k. lum cheung, ada wai-chee fu","ada w. fu, king l. cheung",0.1836734693877551
"ada wai-chee fu, k. lum cheung","king l. cheung, ada w. fu",0.1836734693877551
"ada w. fu, king lum cheung","k. l. cheung, ada wai-chee fu",0.1836734693877551
"a. w. fu, k. lum cheung","king l. cheung, a. wai-chee fu",0.16666666666666666
"king lum cheung, a. w. fu","a. wai-chee fu, k. l. cheung",0.16666666666666666
"k. aberer, k. b&#246;hm","klemens b?hm, karl aberer",0.1590909090909091
"k. b&#246;hm, k. aberer","karl aberer, klemens b?hm",0.1590909090909091
"c. yu, w. wu, k. liu, w. meng","king-lup liu, weiyi meng, wensheng wu, clement yu",0.18032786885245905
"e. y. chang, c. li","chen li, edward chang",0.13157894736842105
"c. li, e. chang","edward y. chang, chen li",0.16666666666666666
"chen li, e. y. chang","edward chang, c. li",0.13157894736842105
"chen li, e. y. chang","edward chang, c. li",0.13157894736842105
"chen li, edward chang","e. y. chang, c. li",0.13157894736842105
"chen li, edward chang","e. y. chang, c. li",0.13157894736842105
"edward chang, c. li","chen li, e. chang",0.14285714285714285
"e. y. chang, c. li","chen li, edward chang",0.13157894736842105
"a. rosenthal, klaus dittrich, j. donahue, bill maimone",arnon rosenthal,0.140625
a. rosenthal,"jim donahue, b. maimone, klaus dittrich, arnon rosenthal",0.16393442622950818
"fabio casati, m. shan","ming-chien shan, f. casati",0.18604651162790695
"f. casati, m. shan","ming-chien shan, fabio casati",0.18604651162790695
"fabio casati, m. shan","ming-chien shan, f. casati",0.18604651162790695
"ming-chien shan, fabio casati","f. casati, m. shan",0.18604651162790695
"m. shan, f. casati","fabio casati, ming-chien shan",0.18604651162790695
"ming-chien shan, fabio casati","f. casati, m. shan",0.18604651162790695
"a. k. mok, t. kuo","tei-wei kuo, aloysius k. mok",0.17073170731707318
"t. kuo, aloysius k. mok","a. k. mok, tei-wei kuo",0.1951219512195122
"aloysius k. mok, tei-wei kuo","t. kuo, a. k. mok",0.17073170731707318
"tei-wei kuo, aloysius k. mok","a. k. mok, t. kuo",0.17073170731707318
"aloysius k. mok, t. kuo","tei-wei kuo, a. k. mok",0.1951219512195122
"t. kuo, aloysius k. mok","a. k. mok, tei-wei kuo",0.1951219512195122
"k. lin, ching-shan peng","s. peng, kwei-jay lin",0.11627906976744184
"shing-shan peng, kwei-jay lin","k. lin, s. peng",0.11627906976744184
"shing-shan peng, k. lin","kwei-jay lin, c. peng",0.11627906976744184
"c. peng, kwei-jay lin","k. lin, shing-shan peng",0.11627906976744184
"kwei-jay lin, ching-shan peng","c. peng, k. lin",0.11627906976744184
"k. lin, c. peng","shing-shan peng, kwei-jay lin",0.11627906976744184
"s. peng, k. lin","kwei-jay lin, c. peng",0.17647058823529413
"ching-shan peng, kwei-jay lin","k. lin, c. peng",0.11627906976744184
"k. lin, c. peng","s. peng, kwei-jay lin",0.17647058823529413
"kwei-jay lin, ching-shan peng","s. peng, k. lin",0.11627906976744184
"kwei-jay lin, c. peng","shing-shan peng, k. lin",0.11627906976744184
"ching-shan peng, kwei-jay lin","k. lin, c. peng",0.11627906976744184
"c. peng, kwei-jay lin","k. lin, shing-shan peng",0.11627906976744184
"kwei-jay lin, c. peng","shing-shan peng, k. lin",0.11627906976744184
"k. lin, c. peng","ching-shan peng, kwei-jay lin",0.11627906976744184
"shing-shan peng, kwei-jay lin","k. lin, s. peng",0.11627906976744184
"kwei-jay lin, c. peng","s. peng, k. lin",0.17647058823529413
"c. peng, k. lin","kwei-jay lin, ching-shan peng",0.11627906976744184
"kwei-jay lin, c. peng","shing-shan peng, k. lin",0.11627906976744184
"shing-shan peng, kwei-jay lin","k. lin, s. peng",0.11627906976744184
"c. peng, kwei-jay lin","k. lin, shing-shan peng",0.11627906976744184
"w. hsu, m. lee, k. guan goh","kheng g. goh, wynne hsu, mong-li lee",0.17543859649122806
"w. hsu, mong li lee, kheng g. goh","k. guan goh, wynne hsu, m. lee",0.17857142857142858
"kien a. hua, jung-hwan oh","j. oh, k. a. hua",0.15384615384615385
"kien a. hua, j. oh","jung-hwan oh, k. a. hua",0.15384615384615385
"jung-hwan oh, kien a. hua","k. a. hua, j. oh",0.15384615384615385
"kien a. hua, j. oh","junghwan oh, k. a. hua",0.15789473684210525
"kien a. hua, junghwan oh","j. oh, k. a. hua",0.15789473684210525
"jung-hwan oh, kien a. hua","k. a. hua, j. oh",0.15384615384615385
"j. oh, kien a. hua","k. a. hua, junghwan oh",0.15789473684210525
"j. oh, kien a. hua","k. a. hua, junghwan oh",0.15789473684210525
"j. oh, k. a. hua","kien a. hua, jung-hwan oh",0.15384615384615385
"jung-hwan oh, k. a. hua","kien a. hua, j. oh",0.15384615384615385
"k. a. hua, j. oh","junghwan oh, kien a. hua",0.15789473684210525
"jung-hwan oh, kien a. hua","k. a. hua, j. oh",0.15384615384615385
"j. oh, k. a. hua","kien a. hua, jung-hwan oh",0.15384615384615385
"chris floyd, m. poess","m. p?ss, c. floyd",0.16666666666666666
"jianwen su, g. dong","g. dong, j. su",0.1935483870967742
"g. dong, jianwen su","j. su, g. dong",0.1935483870967742
"jianwen su, g. dong","guozhu dong, j. su",0.10810810810810813
"g. dong, j. su","jianwen su, g. dong",0.1935483870967742
"guozhu dong, jianwen su","j. su, g. dong",0.10810810810810813
"j. su, guozhu dong","g. dong, jianwen su",0.10810810810810813
"g. dong, jianwen su","j. su, guozhu dong",0.10810810810810813
"guozhu dong, jianwen su","j. su, g. dong",0.10810810810810813
"j. su, guozhu dong","g. dong, jianwen su",0.10810810810810813
"g. dong, j. su","jianwen su, guozhu dong",0.10810810810810813
"g. dong, j. su","jianwen su, g. dong",0.1935483870967742
"j. su, g. dong","g. dong, jianwen su",0.1935483870967742
"jianwen su, g. dong","guozhu dong, j. su",0.10810810810810813
"j. su, guozhu dong","g. dong, jianwen su",0.10810810810810813
"philip s. yu, kun-lung wu","k. wu, p. s. yu",0.1891891891891892
"p. s. yu, kun-lung wu","k. wu, philip s. yu",0.1891891891891892
"philip s. yu, kun-lung wu","k. wu, p. s. yu",0.1891891891891892
"philip s. yu, k. wu","kun-lung wu, p. s. yu",0.1891891891891892
"p. s. yu, kun-lung wu","k. wu, philip s. yu",0.1891891891891892
"kun-lung wu, p. s. yu","philip s. yu, k. wu",0.1891891891891892
"philip s. yu, k. wu","kun-lung wu, p. s. yu",0.1891891891891892
"kun-lung wu, p. s. yu","philip s. yu, k. wu",0.1891891891891892
"philip s. yu, k. wu","kun-lung wu, p. s. yu",0.1891891891891892
"philip s. yu, kun-lung wu","k. wu, p. s. yu",0.1891891891891892
c. b?hm,christian b&#246;hm,0.1111111111111111
c. b&#246;hm,christian b?hm,0.1111111111111111
c. b&#246;hm,christian b?hm,0.1111111111111111
c. b&#246;hm,christian b?hm,0.1111111111111111
c. b&#246;hm,christian b?hm,0.1111111111111111
"irene kwan, shi ming huang, chih h. li","s. m. huang, c. he li, i. kwan",0.18333333333333326
"irene kwan, s. m. huang, c. he li","chih h. li, shi ming huang, i. kwan",0.18333333333333326
"bertram lud?scher, wolfgang may","w. may, b. lud&#228;scher",0.1320754716981132
"b. lud&#228;scher, wolfgang may","w. may, bertram lud?scher",0.1320754716981132
"wolfgang may, b. lud&#228;scher","b. lud?scher, w. may",0.1956521739130435
"b. lud?scher, w. may","wolfgang may, bertram lud&#228;scher",0.1320754716981132
"b. lud&#228;scher, wolfgang may","w. may, bertram lud?scher",0.1320754716981132
"w. may, bertram lud?scher","b. lud&#228;scher, wolfgang may",0.1320754716981132
"b. lud&#228;scher, wolfgang may","w. may, b. lud?scher",0.1956521739130435
"wolfgang may, bertram lud?scher","b. lud&#228;scher, w. may",0.1320754716981132
"y. yao, j. gehrke","johannes gehrke, yong yao",0.1794871794871795
"yong yao, j. gehrke","johannes gehrke, y. yao",0.1794871794871795
"johannes gehrke, y. yao","yong yao, j. gehrke",0.1794871794871795
"j. gehrke, y. yao","yong yao, johannes gehrke",0.1794871794871795
"johannes gehrke, yong yao","y. yao, j. gehrke",0.1794871794871795
"johannes gehrke, yong yao","y. yao, j. gehrke",0.1794871794871795
"j. gehrke, y. yao","yong yao, johannes gehrke",0.1794871794871795
"luc bouganim, maria claudia cavalcanti, fran&#231;oise fabret, maria luiza campos, fran&#231;ois llirbat, marta mattoso, rubens melo, ana maria moura, e. pacitti, f. porto, margareth simoes, eric simon, asterio tanaka, patrick valduriez","asterio k. tanaka, p. valduriez",0.1263157894736842
"patrick valduriez, asterio k. tanaka","fabio porto, fran&#231;ois llirbat, rubens melo, e. pacitti, fran&#231;oise fabret, eric simon, p. valduriez, maria luiza campos, asterio tanaka, marta mattoso, luc bouganim, maria claudia cavalcanti, margareth simoes, ana maria moura",0.12886597938144329
"jennifer widom, shivnath babu","s. babu, j. widom",0.16279069767441862
"s. babu, jennifer widom","j. widom, shivnath babu",0.16279069767441862
"j. widom, s. babu","shivnath babu, jennifer widom",0.16279069767441862
"jennifer widom, shivnath babu","s. babu, j. widom",0.16279069767441862
"j. widom, shivnath babu","s. babu, jennifer widom",0.16279069767441862
"jennifer widom, shivnath babu","s. babu, j. widom",0.16279069767441862
"shivnath babu, j. widom","jennifer widom, s. babu",0.16279069767441862
"shivnath babu, j. widom","jennifer widom, s. babu",0.16279069767441862
d. barbar?,daniel barbar&#225;,0.19230769230769232
daniel barbar&#225;,d. barbar?,0.19230769230769232
daniel barbar&#225;,d. barbar?,0.19230769230769232
d. barbar&#225;,daniel barbar?,0.19230769230769232
d. barbar?,daniel barbar&#225;,0.19230769230769232
daniel barbar?,d. barbar&#225;,0.19230769230769232
ralf hartmut g?ting,r. h. g&#252;ting,0.14285714285714285
ralf h. g?ting,r. hartmut g&#252;ting,0.14285714285714285
ralf hartmut g&#252;ting,r. h. g?ting,0.14285714285714285
ralf h. g&#252;ting,r. hartmut g?ting,0.14285714285714285
ralf h. g?ting,r. hartmut g&#252;ting,0.14285714285714285
r. hartmut g?ting,ralf h. g&#252;ting,0.14285714285714285
r. hartmut g&#252;ting,ralf h. g?ting,0.14285714285714285
r. h. g&#252;ting,ralf hartmut g?ting,0.14285714285714285
"t. imieli&#324;ski, daniel barbar&#225;","d. barbar?, tomasz imielinski",0.1694915254237288
"t. imieli&#324;ski, daniel barbar&#225;","d. barbar?, tomasz imielinski",0.1694915254237288
"t. imieli&#324;ski, d. barbar&#225;","daniel barbar?, tomasz imielinski",0.1694915254237288
"tomasz imieli&#324;ski, d. barbar&#225;","daniel barbar?, t. imielinski",0.1694915254237288
"r. hartmut g&#252;ting, m. schneider","markus schneider, ralf h. g?ting",0.16129032258064516
"m. schneider, ralf h. g?ting","r. hartmut g&#252;ting, markus schneider",0.16129032258064516
"ralf h. g&#252;ting, markus schneider","m. schneider, r. hartmut g?ting",0.16129032258064516
"markus schneider, r. hartmut g?ting","ralf h. g&#252;ting, m. schneider",0.16129032258064516
"r. hartmut g&#252;ting, m. schneider","markus schneider, ralf h. g?ting",0.16129032258064516
"m. schneider, ralf hartmut g?ting","r. h. g&#252;ting, markus schneider",0.16129032258064516
"markus schneider, r. hartmut g?ting","ralf h. g&#252;ting, m. schneider",0.16129032258064516
"k. a. ross, kaladhar voruganti, ren?e j. miller, flip korn",kenneth a. ross,0.1
"k. a. ross, k. voruganti, r. j. miller, flip korn",k. a. ross,0.19230769230769232
"kaladhar voruganti, kenneth a. ross, flip korn, ren?e j. miller",k. a. ross,0.1
"carole a. goble, b. j. read","brian read, c. goble",0.18604651162790695
"c. a. goble, brian j. read","b. read, carole goble",0.18604651162790695
"brian read, c. goble","carole goble, b. read",0.18421052631578946
"c. goble, brian read","b. j. read, carole a. goble",0.18604651162790695
"b. read, c. goble","carole goble, brian read",0.18421052631578946
"carole goble, b. read","brian read, c. goble",0.18421052631578946
"b. read, c. goble","carole goble, brian read",0.18421052631578946
"c. goble, brian read","b. j. read, carole a. goble",0.18604651162790695
"carole goble, brian read","b. read, c. goble",0.18421052631578946
"c. goble, brian read","b. read, carole goble",0.18421052631578946
"carole goble, brian read","b. j. read, c. a. goble",0.1590909090909091
"c. goble, brian read","b. j. read, carole a. goble",0.18604651162790695
"c. a. goble, brian j. read","b. read, carole goble",0.18604651162790695
"brian read, c. goble","carole goble, b. read",0.18421052631578946
"carole goble, brian read","b. read, c. goble",0.18421052631578946
"carole goble, brian read","b. j. read, c. a. goble",0.1590909090909091
"carole goble, brian read","b. read, c. goble",0.18421052631578946
"y. moon, kyu-young whang, w. han","wook-shin han, yang-sae moon, k. whang",0.1864406779661017
"yang-sae moon, wook-shin han, kyu-young whang","k. whang, y. moon, w. han",0.1864406779661017
"xiaoyang s. wang, l. gao","l. gao, x. sean wang",0.175
"like gao, x. sean wang","x. s. wang, l. gao",0.1891891891891892
"l. gao, x. s. wang","xiaoyang sean wang, like gao",0.11363636363636365
"xiaoyang sean wang, l. gao","l. gao, x. s. wang",0.175
"xiaoyang s. wang, l. gao","l. gao, x. sean wang",0.175
"x. s. wang, l. gao","like gao, xiaoyang sean wang",0.11363636363636365
"xiaoyang sean wang, like gao","l. gao, x. s. wang",0.11363636363636365
"like gao, x. sean wang","x. s. wang, l. gao",0.1891891891891892
"xiaoyang sean wang, l. gao","l. gao, x. s. wang",0.175
"l. gao, x. s. wang","xiaoyang sean wang, like gao",0.11363636363636365
"x. s. wang, l. gao","like gao, xiaoyang sean wang",0.11363636363636365
"like gao, x. sean wang","xiaoyang s. wang, l. gao",0.11363636363636365
"like gao, x. s. wang","xiaoyang sean wang, l. gao",0.11363636363636365
"l. gao, x. s. wang","xiaoyang sean wang, l. gao",0.175
"like gao, x. sean wang","x. s. wang, l. gao",0.1891891891891892
"jessica m. phan, r. ng","raymond t. ng, j. m. phan",0.18604651162790695
"r. ng, j. m. phan","jessica m. phan, raymond t. ng",0.18604651162790695
"j. m. phan, raymond ng","r. t. ng, jessica m. phan",0.1590909090909091
"r. t. ng, j. m. phan","jessica m. phan, raymond ng",0.1590909090909091
"jessica m. phan, raymond t. ng","r. ng, j. m. phan",0.18604651162790695
"r. ng, jessica m. phan","j. m. phan, raymond t. ng",0.18604651162790695
"j. m. phan, raymond ng","r. ng, jessica m. phan",0.17073170731707318
"r. ng, jessica m. phan","j. m. phan, raymond ng",0.17073170731707318
"roger barga, david lomet","d. b. lomet, r. s. barga",0.18604651162790695
"fernando berzal galiano, nicol?s mar?n","n. mat&#237;n, f. berzal",0.1
"fernando berzal galiano, nicol?s mar?n","f. berzal, n. mat&#237;n",0.15789473684210525
"fernando berzal, n. mat&#237;n","n. mar?n, f. berzal galiano",0.1509433962264151
"fernando berzal, n. mat&#237;n","f. b. galiano, n. mar?n",0.14
"f. berzal, n. mat&#237;n","fernando berzal galiano, nicol?s mar?n",0.15789473684210525
"n. mar?n, fernando b. galiano","f. berzal galiano, nicol?s mar?n",0.18181818181818185
"fernando berzal galiano, nicol?s mar?n","n. mar?n, f. b. galiano",0.18181818181818185
"n. mar?n, fernando b. galiano","f. berzal galiano, nicol?s mar?n",0.18181818181818185
"f. berzal, n. mat&#237;n","f. b. galiano, nicol?s mar?n",0.14285714285714285
"fernando berzal, n. mat&#237;n","f. b. galiano, n. mar?n",0.14
"n. mar?n, f. berzal galiano","fernando b. galiano, nicol?s mar?n",0.18181818181818185
"fernando b. galiano, n. mar?n","nicolf&#225;s mat&#237;n, fernando berzal",0.140625
r. camps,rafael camps par&#233;,0.1724137931034483
r. camps par&#233;,rafael camps,0.1724137931034483
r. camps,r. c. par&#233;,0.17391304347826084
rafael camps,r. camps par&#233;,0.1724137931034483
rafael camps,r. camps par&#233;,0.1724137931034483
rafael camps par&#233;,r. camps,0.1724137931034483
r. c. par&#233;,r. camps,0.17391304347826084
r. c. par&#233;,r. camps,0.17391304347826084
r. camps,r. c. par&#233;,0.17391304347826084
"sin y. lee, t. w. ling","tok wang ling, s. y. lee",0.1951219512195122
"sin y. lee, t. w. ling","tok wang ling, s. yeung lee",0.1111111111111111
"t. wang ling, s. y. lee","sin y. lee, tok w. ling",0.1951219512195122
"tok w. ling, sin y. lee","s. yeung lee, t. w. ling",0.19047619047619047
"tok wang ling, s. yeung lee","sin y. lee, t. w. ling",0.1111111111111111
"tok wang ling, sin yeung lee","s. y. lee, t. w. ling",0.1111111111111111
"s. y. lee, tok wang ling","t. w. ling, sin yeung lee",0.17777777777777778
"s. y. lee, tok wang ling","t. w. ling, sin y. lee",0.1951219512195122
"s. yeung lee, t. wang ling","tok w. ling, s. y. lee",0.16666666666666666
"s. y. lee, t. w. ling","tok wang ling, sin yeung lee",0.1111111111111111
"kian-lee tan, cheng hian goh, b. chin ooi","beng c. ooi, c. h. goh, k. tan",0.18333333333333326
"arnd c. k?nig, gerhard weikum","g. weikum, arnd christian k&#246;nig",0.1694915254237288
"arnd c. k?nig, gerhard weikum","g. weikum, arnd christian k&#246;nig",0.1694915254237288
"gerhard weikum, arnd christian k&#246;nig","arnd c. k?nig, g. weikum",0.1694915254237288
"arnd christian k?nig, g. weikum","gerhard weikum, arnd c. k&#246;nig",0.1694915254237288
"fabio casati, ming-chien shan","m. shan, f. casati",0.18604651162790695
"m. shan, fabio casati","f. casati, ming-chien shan",0.18604651162790695
"m. shan, f. casati","fabio casati, ming-chien shan",0.18604651162790695
"m. shan, fabio casati","f. casati, ming-chien shan",0.18604651162790695
"c. faloutsos, b. yi","byoung-kee yi, christos faloutsos",0.1914893617021277
"christos faloutsos, b. yi","byoung-kee yi, c. faloutsos",0.1914893617021277
"b. yi, christos faloutsos","c. faloutsos, byoung-kee yi",0.1914893617021277
"b. yi, c. faloutsos","christos faloutsos, byoung-kee yi",0.1914893617021277
"byoung-kee yi, c. faloutsos","christos faloutsos, b. yi",0.1914893617021277
"thomas st&#246;hr, erhard rahm, holger m&#228;rtens","e. rahm, h. m?rtens, t. st?hr",0.136986301369863
"e. rahm, t. st?hr, holger m?rtens","thomas st&#246;hr, h. m&#228;rtens, erhard rahm",0.136986301369863
"erhard rahm, t. st?hr, holger m?rtens","thomas st&#246;hr, h. m&#228;rtens, e. rahm",0.136986301369863
"holger m?rtens, e. rahm, t. st?hr","thomas st&#246;hr, h. m&#228;rtens, e. rahm",0.19696969696969696
"erhard rahm, t. st?hr, holger m?rtens","thomas st&#246;hr, h. m&#228;rtens, e. rahm",0.136986301369863
"t. st&#246;hr, e. rahm, h. m&#228;rtens","erhard rahm, holger m?rtens, t. st?hr",0.1791044776119403
"h. m?rtens, e. rahm, t. st?hr","erhard rahm, t. st&#246;hr, holger m&#228;rtens",0.19696969696969696
"t. st&#246;hr, holger m&#228;rtens, erhard rahm","e. rahm, thomas st?hr, h. m?rtens",0.136986301369863
"holger m?rtens, erhard rahm, thomas st?hr","h. m&#228;rtens, t. st&#246;hr, e. rahm",0.16901408450704225
"e. rahm, t. st?hr, holger m?rtens","t. st&#246;hr, h. m&#228;rtens, erhard rahm",0.1791044776119403
"erhard rahm, holger m?rtens, t. st?hr","thomas st&#246;hr, h. m&#228;rtens, e. rahm",0.136986301369863
j. wu,"jie wu, d. j. watts",0.16666666666666666
"d. j. watts, j. wu",jie wu,0.13636363636363635
"jie wu, duncan j. watts",j. wu,0.14285714285714285
j. wu,"jie wu, d. j. watts",0.16666666666666666
j. wu,"jie wu, duncan j. watts",0.14285714285714285
k. a. ross,"jeffrey f. naughton, minos n. garofalakis, k. a. ross",0.17543859649122806
k. a. ross,"k. a. ross, jeffrey f. naughton, minos n. garofalakis",0.19642857142857145
"j. f. naughton, m. n. garofalakis, kenneth a. ross",k. a. ross,0.14545454545454545
k. a. ross,"j. f. naughton, m. n. garofalakis, kenneth a. ross",0.14545454545454545
"jeffrey f. naughton, m. n. garofalakis, k. a. ross",kenneth a. ross,0.13333333333333333
kenneth a. ross,"k. a. ross, j. f. naughton, minos n. garofalakis",0.13559322033898305
"j. f. naughton, minos n. garofalakis, kenneth a. ross",k. a. ross,0.13559322033898305
"per-&#197;ke larson, w. zhang","weiye zhang, p. larson",0.1956521739130435
"per-&#197;ke larson, w. zhang","weiye zhang, p. larson",0.1956521739130435
"per-&#197;ke larson, w. zhang","weiye zhang, p. larson",0.1956521739130435
"s. de?loch, n. m. mattos","nelson mendon&#231;a mattos, stefan de&#223;loch",0.12121212121212123
"s. de?loch, n. m. mattos","n. mendon&#231;a mattos, stefan de&#223;loch",0.16666666666666666
"s. de?loch, n. mendon?a mattos","nelson m. mattos, stefan de&#223;loch",0.14516129032258066
"stefan de&#223;loch, n. mendon&#231;a mattos","n. m. mattos, s. de?loch",0.16666666666666666
"b. c. ooi, kian-lee tan, c. hian goh","c. h. goh, beng chin ooi, k. tan",0.1896551724137931
"m. jahnke, f. cari?o","felipe cari&#241;o, mark jahnke",0.1702127659574468
"m. jahnke, felipe cari?o","f. cari&#241;o, mark jahnke",0.1702127659574468
"felipe cari&#241;o, m. jahnke","mark jahnke, f. cari?o",0.1702127659574468
"f. cari&#241;o, m. jahnke","mark jahnke, felipe cari?o",0.1702127659574468
"m. jahnke, f. cari?o","felipe cari&#241;o, mark jahnke",0.1702127659574468
"f. cari&#241;o, m. jahnke","mark jahnke, felipe cari?o",0.1702127659574468
"mark jahnke, f. cari?o","felipe cari&#241;o, m. jahnke",0.1702127659574468
"felipe cari&#241;o, mark jahnke","m. jahnke, f. cari?o",0.1702127659574468
"m. jahnke, felipe cari?o","f. cari&#241;o, mark jahnke",0.1702127659574468
"m. jahnke, f. cari?o","felipe cari&#241;o, mark jahnke",0.1702127659574468
"felipe cari&#241;o, mark jahnke","m. jahnke, f. cari?o",0.1702127659574468
"m. jahnke, f. cari?o","felipe cari&#241;o, mark jahnke",0.1702127659574468
"mark jahnke, f. cari?o","felipe cari&#241;o, m. jahnke",0.1702127659574468
"ling lin, tore risch","t. risch, l. lin",0.18181818181818185
