seq1,seq2,authors_authors_jac_qgm_3_qgm_3
"stefan de?loch, joachim thomas, nelson mendon?a mattos","j. thomas, s. de&#223;loch, n. mattos",0.26666666666666666
"j. thomas, s. de&#223;loch, n. mattos","stefan de?loch, joachim thomas, nelson mendon?a mattos",0.26666666666666666
"walter g. wilson, ambuj goyal, sriram padmanabhan, gilles fecteau, anant jhingran, chaitanya k. baru, hui-i hsiao","chaitanya baru, gilles fecteau",0.2347826086956521
"chaitanya baru, gilles fecteau","walter g. wilson, ambuj goyal, sriram padmanabhan, gilles fecteau, anant jhingran, chaitanya k. baru, hui-i hsiao",0.2347826086956521
?zg?r ulusoy,&#214;zg&#252;r ulusoy,0.27586206896551724
&#214;zg&#252;r ulusoy,?zg?r ulusoy,0.27586206896551724
hans-joachim klein,h.-j. klein,0.2692307692307692
h.-j. klein,hans-joachim klein,0.2692307692307692
"gottfried vossen, richard mcclatchey","r. mcclatchey, g. vossen",0.28
"r. mcclatchey, g. vossen","gottfried vossen, richard mcclatchey",0.28
"ibrahim korpeoglu, h?seyin ?zg?r tan","h&#252;seyin &#214;zg&#252;r tan, ibrahim k&#246;rpeo&#487;lu",0.20253164556962025
"h&#252;seyin &#214;zg&#252;r tan, ibrahim k&#246;rpeo&#487;lu","ibrahim korpeoglu, h?seyin ?zg?r tan",0.20253164556962025
"g. vossen, m. weske","m. weske, gottfried vossen",0.2894736842105263
"m. weske, gottfried vossen","g. vossen, m. weske",0.2894736842105263
"mathias weske, gottfried vossen","g. vossen, m. weske",0.2
"gottfried vossen, m. weske","m. weske, g. vossen",0.2894736842105263
"m. weske, gottfried vossen","g. vossen, m. weske",0.2894736842105263
"m. weske, g. vossen","gottfried vossen, m. weske",0.2894736842105263
"gottfried vossen, mathias weske","m. weske, g. vossen",0.2
"gottfried vossen, m. weske","mathias weske, g. vossen",0.2
"mathias weske, g. vossen","gottfried vossen, m. weske",0.2
"m. weske, gottfried vossen","g. vossen, mathias weske",0.2
"gottfried vossen, m. weske","mathias weske, g. vossen",0.2
"m. weske, g. vossen","gottfried vossen, mathias weske",0.2
"gottfried vossen, mathias weske","m. weske, g. vossen",0.2
"gottfried vossen, m. weske","mathias weske, g. vossen",0.2
"gottfried vossen, mathias weske","m. weske, g. vossen",0.2
"isabel f. cruz, k. m. james","kimberly m. james, i. f. cruz",0.2765957446808511
"k. m. james, i. f. cruz","isabel f. cruz, kimberly m. james",0.2765957446808511
"isabel f. cruz, k. m. james","kimberly m. james, i. f. cruz",0.2765957446808511
"k. m. james, i. f. cruz","isabel f. cruz, kimberly m. james",0.2765957446808511
"k. m. james, isabel f. cruz","i. f. cruz, kimberly m. james",0.2765957446808511
"isabel f. cruz, k. m. james","kimberly m. james, i. f. cruz",0.2765957446808511
"isabel f. cruz, k. m. james","kimberly m. james, i. f. cruz",0.2765957446808511
"i. f. cruz, k. m. james","kimberly m. james, isabel f. cruz",0.2765957446808511
"i. f. cruz, kimberly m. james","k. m. james, isabel f. cruz",0.2765957446808511
"isabel f. cruz, kimberly m. james","k. m. james, i. f. cruz",0.2765957446808511
"k. m. james, isabel f. cruz","i. f. cruz, kimberly m. james",0.2765957446808511
"l. bukauskas, m. h. b?hlen, c. e. dyreson","michael b&#246;hlen, curtis dyreson, l. bukauskas",0.29577464788732394
"linas bukauskas, c. e. dyreson, michael h. b?hlen","curtis dyreson, m. b&#246;hlen, l. bukauskas",0.26666666666666666
"c. e. dyreson, linas bukauskas, m. h. b?hlen","curtis dyreson, michael b&#246;hlen, l. bukauskas",0.2972972972972973
"i. ben-shaul, b. reich","benny reich, israel ben-shaul",0.2857142857142857
"b. reich, israel ben-shaul","i. ben-shaul, benny reich",0.2926829268292683
"israel ben-shaul, benny reich","b. reich, i. ben-shaul",0.2926829268292683
"israel ben-shaul, benny reich","b. reich, i. ben-shaul",0.2926829268292683
"b. reich, i. ben-shaul","israel ben-shaul, benny reich",0.2926829268292683
"israel ben-shaul, b. reich","benny reich, i. ben-shaul",0.2857142857142857
"s. boll, wolfgang klas, b. battaglin","bernard battaglin, susanne boll, w. klas",0.27419354838709675
"susanne boll, wolfgang klas, b. battaglin","bernard battaglin, w. klas, s. boll",0.2903225806451613
"w. klas, b. battaglin, s. boll","susanne boll, wolfgang klas, bernard battaglin",0.27419354838709675
"susanne boll, bernard battaglin, w. klas","wolfgang klas, b. battaglin, s. boll",0.27419354838709675
"wolfgang klas, s. boll, bernard battaglin","susanne boll, b. battaglin, w. klas",0.2903225806451613
"wolfgang klas, bernard battaglin, s. boll","susanne boll, w. klas, b. battaglin",0.2903225806451613
"b. battaglin, wolfgang klas, s. boll","susanne boll, w. klas, bernard battaglin",0.27419354838709675
"b. battaglin, susanne boll, wolfgang klas","w. klas, bernard battaglin, s. boll",0.2903225806451613
"wolfgang klas, bernard battaglin, s. boll","b. battaglin, susanne boll, w. klas",0.2903225806451613
"s. boll, w. klas, b. battaglin","bernard battaglin, susanne boll, wolfgang klas",0.27419354838709675
"maurice d. mulvenna, alex g. b?chner","a. g. b&#252;chner, m. d. mulvenna",0.27586206896551724
"a. g. b?chner, m. d. mulvenna","maurice d. mulvenna, alex g. b&#252;chner",0.27586206896551724
"maurice d. mulvenna, a. g. b&#252;chner","alex g. b?chner, m. d. mulvenna",0.27586206896551724
"a. g. b?chner, m. d. mulvenna","maurice d. mulvenna, alex g. b&#252;chner",0.27586206896551724
"maurice d. mulvenna, alex g. b?chner","a. g. b&#252;chner, m. d. mulvenna",0.27586206896551724
"bart meltzer, r. j. glushko","robert glushko, b. meltzer",0.2954545454545455
"b. meltzer, robert glushko","r. j. glushko, bart meltzer",0.2954545454545455
"r. glushko, b. meltzer","bart meltzer, robert glushko",0.2926829268292683
"bart meltzer, robert glushko","r. glushko, b. meltzer",0.2926829268292683
"bart meltzer, robert glushko","r. glushko, b. meltzer",0.2926829268292683
"p. ram, l. do, p. drew","pamela drew, lyman do, prabhu ram",0.2391304347826087
"p. ram, l. do, p. drew","lyman do, p. drew, prabhu ram",0.3
"l. do, p. drew, p. ram","p. drew, prabhu ram, lyman do",0.275
"lyman do, p. ram, pamela drew","p. drew, p. ram, l. do",0.3
"p. drew, p. ram, lyman do","prabhu ram, l. do, pamela drew",0.2608695652173913
"l. do, prabhu ram, p. drew","p. ram, pamela drew, lyman do",0.2127659574468085
"lyman do, pamela drew, p. ram","p. ram, l. do, p. drew",0.3
"p. drew, p. ram, l. do","pamela drew, lyman do, prabhu ram",0.2391304347826087
"l. do, p. ram, p. drew","prabhu ram, pamela drew, l. do",0.2682926829268293
"p. ram, l. do, p. drew","pamela drew, prabhu ram, lyman do",0.2391304347826087
"l. liu, c. pu, t. zhou","calton pu, tong zhou, ling liu",0.24390243902439024
"ling liu, c. pu, tong zhou","t. zhou, calton pu, l. liu",0.2619047619047619
"ling liu, tong zhou, calton pu","c. pu, t. zhou, l. liu",0.2380952380952381
"tong zhou, l. liu, calton pu","c. pu, t. zhou, ling liu",0.2682926829268293
"tong zhou, calton pu, ling liu","c. pu, l. liu, t. zhou",0.24390243902439024
"tong zhou, l. liu, calton pu","c. pu, ling liu, t. zhou",0.2682926829268293
"calton pu, t. zhou, l. liu","ling liu, c. pu, tong zhou",0.2619047619047619
"t. zhou, c. pu, ling liu","l. liu, tong zhou, calton pu",0.2682926829268293
"r. barga, david b. lomet","d. b. lomet, roger barga",0.3
"d. b. lomet, roger barga","r. barga, david b. lomet",0.3
"roger barga, david b. lomet","d. b. lomet, r. s. barga",0.2558139534883721
"d. b. lomet, r. s. barga","roger barga, david b. lomet",0.2558139534883721
"r. barga, david b. lomet","d. b. lomet, roger barga",0.3
"d. b. lomet, roger s. barga","r. barga, david b. lomet",0.2857142857142857
"r. barga, david b. lomet","d. b. lomet, roger barga",0.3
"r. barga, d. b. lomet","david b. lomet, roger s. barga",0.2857142857142857
"d. b. lomet, roger barga","r. s. barga, david b. lomet",0.2790697674418605
"roger barga, david b. lomet","d. b. lomet, r. s. barga",0.2558139534883721
"roger barga, d. b. lomet","david b. lomet, r. barga",0.3
"d. b. lomet, r. s. barga","roger barga, david b. lomet",0.2558139534883721
"d. b. lomet, roger s. barga","r. barga, david b. lomet",0.2857142857142857
"m. denny, brad adelberg","b. adelberg, matthew denny",0.2619047619047619
"b. adelberg, m. denny","matthew denny, brad adelberg",0.2619047619047619
"b. adelberg, matthew denny","m. denny, brad adelberg",0.2619047619047619
"alexander hinneburg, d. a. keim","daniel a. keim, a. hinneburg",0.2978723404255319
"alexander hinneburg, d. a. keim","daniel a. keim, a. hinneburg",0.2978723404255319
"alexander hinneburg, d. a. keim","daniel a. keim, a. hinneburg",0.2978723404255319
"a. hinneburg, daniel a. keim","d. a. keim, alexander hinneburg",0.2916666666666667
"a. hinneburg, daniel a. keim","d. a. keim, alexander hinneburg",0.2916666666666667
"d. a. keim, alexander hinneburg","a. hinneburg, daniel a. keim",0.2916666666666667
dirk d&#252;llmann,d. d?llmann,0.2692307692307692
d. d&#252;llmann,dirk d?llmann,0.2692307692307692
dirk d&#252;llmann,d. d?llmann,0.2692307692307692
d. d?llmann,dirk d&#252;llmann,0.2692307692307692
times-ten team,c. t. team,0.2272727272727273
corporate t. team,c. timesten team,0.2333333333333333
c. t. team,corporate timesten team,0.2
c. t. team,times-ten team,0.2272727272727273
c. timesten team,corporate t. team,0.2333333333333333
t. team,c. timesten team,0.2857142857142857
t. team,c. timesten team,0.2857142857142857
c. t. team,corporate timesten team,0.2
c. timesten team,corporate t. team,0.2333333333333333
"h. f. korth, s. seshadri, s. haldar, a. khivesera, m. wilder, s. sudarshan, s. joshi, m. nemeth, s. gogate, c. gupta, rajeev rastogi, p. bohannon, peter mcilroy, a. silberschatz, c. wei, j. miller, jerry baulier, p. p. s. narayan","c. gupta, p. bohannon, s. gogate, s. haldar, j. baulier",0.2637362637362637
"m. nemeth, a. khivesera, henry f. korth, m. wilder, j. miller, s. gogate, p. p. s. narayan, a. silberschatz, peter mcilroy, c. gupta, s. joshi, philip bohannon, jerry baulier, s. sudarshan, s. seshadri, c. wei, s. haldar, rajeev rastogi","j. baulier, p. bohannon, s. gogate, c. gupta, s. haldar",0.24479166666666666
"p. bohannon, j. baulier, s. gogate, s. haldar, c. gupta","j. miller, m. wilder, c. wei, m. nemeth, c. gupta, s. sudarshan, jerry baulier, s. gogate, abraham silberschatz, s. haldar, s. joshi, p. p. s. narayan, s. seshadri, peter mcilroy, a. khivesera, philip bohannon, rajeev rastogi, h. f. korth",0.2261306532663317
"j. baulier, s. gogate, p. bohannon, c. gupta, s. haldar","p. p. s. narayan, s. sudarshan, s. gogate, j. miller, abraham silberschatz, c. gupta, jerry baulier, m. wilder, h. f. korth, peter mcilroy, s. haldar, s. seshadri, philip bohannon, c. wei, a. khivesera, s. joshi, rajeev rastogi, m. nemeth",0.23618090452261306
"j. baulier, s. gogate, p. bohannon, c. gupta, s. haldar","s. gogate, peter mcilroy, a. khivesera, philip bohannon, c. gupta, abraham silberschatz, m. wilder, j. miller, jerry baulier, s. seshadri, s. sudarshan, p. p. s. narayan, rajeev rastogi, s. haldar, m. nemeth, c. wei, s. joshi, henry f. korth",0.2338308457711443
"p. bohannon, j. baulier, s. gogate, s. haldar, c. gupta","rajeev rastogi, jerry baulier, s. haldar, peter mcilroy, abraham silberschatz, h. f. korth, c. gupta, c. wei, s. sudarshan, m. nemeth, s. gogate, s. seshadri, m. wilder, j. miller, s. joshi, p. p. s. narayan, a. khivesera, philip bohannon",0.2272727272727273
"j. baulier, p. bohannon, s. gogate, c. gupta, s. haldar","j. miller, s. haldar, a. khivesera, a. silberschatz, jerry baulier, p. p. s. narayan, s. seshadri, peter mcilroy, s. gogate, s. sudarshan, c. gupta, m. nemeth, s. joshi, philip bohannon, c. wei, henry f. korth, m. wilder, rajeev rastogi",0.25925925925925924
"s. haldar, a. silberschatz, m. wilder, rajeev rastogi, jerry baulier, h. f. korth, s. gogate, p. p. s. narayan, c. wei, s. sudarshan, a. khivesera, s. joshi, philip bohannon, peter mcilroy, j. miller, m. nemeth, s. seshadri, c. gupta","s. gogate, c. gupta, j. baulier, p. bohannon, s. haldar",0.2645502645502645
"m. nemeth, c. wei, abraham silberschatz, p. p. s. narayan, jerry baulier, philip bohannon, a. khivesera, c. gupta, s. joshi, s. sudarshan, s. gogate, s. haldar, rajeev rastogi, s. seshadri, peter mcilroy, j. miller, m. wilder, henry f. korth","p. bohannon, j. baulier, s. gogate, s. haldar, c. gupta",0.22885572139303484
"rajeev rastogi, a. khivesera, s. joshi, henry f. korth, j. miller, s. haldar, m. wilder, jerry baulier, s. gogate, c. gupta, abraham silberschatz, c. wei, peter mcilroy, m. nemeth, p. bohannon, s. sudarshan, s. seshadri, p. p. s. narayan","j. baulier, p. bohannon, s. gogate, c. gupta, s. haldar",0.24870466321243526
"s. gogate, c. gupta, p. bohannon, j. baulier, s. haldar","jerry baulier, s. joshi, p. p. s. narayan, m. nemeth, peter mcilroy, a. khivesera, c. wei, s. sudarshan, abraham silberschatz, s. gogate, s. seshadri, s. haldar, j. miller, rajeev rastogi, h. f. korth, m. wilder, p. bohannon, c. gupta",0.25654450261780104
"c. gupta, p. bohannon, s. gogate, s. haldar, j. baulier","rajeev rastogi, a. khivesera, s. joshi, henry f. korth, j. miller, s. haldar, m. wilder, jerry baulier, s. gogate, c. gupta, abraham silberschatz, c. wei, peter mcilroy, m. nemeth, p. bohannon, s. sudarshan, s. seshadri, p. p. s. narayan",0.24870466321243526
"abraham silberschatz, s. gogate, c. gupta, peter mcilroy, jerry baulier, henry f. korth, p. p. s. narayan, p. bohannon, s. sudarshan, m. nemeth, a. khivesera, m. wilder, s. joshi, c. wei, j. miller, rajeev rastogi, s. seshadri, s. haldar","c. gupta, p. bohannon, s. gogate, s. haldar, j. baulier",0.25
"p. p. s. narayan, j. miller, s. joshi, m. wilder, jerry baulier, c. wei, m. nemeth, s. seshadri, s. gogate, abraham silberschatz, c. gupta, peter mcilroy, philip bohannon, s. sudarshan, henry f. korth, a. khivesera, s. haldar, rajeev rastogi","s. gogate, c. gupta, p. bohannon, j. baulier, s. haldar",0.245
"c. gupta, p. bohannon, s. gogate, s. haldar, j. baulier","c. wei, p. bohannon, s. gogate, abraham silberschatz, s. seshadri, c. gupta, s. joshi, s. haldar, a. khivesera, peter mcilroy, j. miller, jerry baulier, p. p. s. narayan, m. nemeth, s. sudarshan, rajeev rastogi, h. f. korth, m. wilder",0.2765957446808511
"s. gogate, c. gupta, j. baulier, p. bohannon, s. haldar","henry f. korth, c. gupta, peter mcilroy, a. khivesera, s. haldar, philip bohannon, m. nemeth, s. gogate, s. seshadri, c. wei, abraham silberschatz, s. sudarshan, jerry baulier, m. wilder, j. miller, s. joshi, rajeev rastogi, p. p. s. narayan",0.2462311557788945
"k. shim, a. natsev, r. rastogi","rajeev rastogi, kyuseok shim, apostol natsev",0.2833333333333333
"rajeev rastogi, kyuseok shim, a. natsev","apostol natsev, r. rastogi, k. shim",0.2833333333333333
"kyuseok shim, rajeev rastogi, apostol natsev","r. rastogi, a. natsev, k. shim",0.288135593220339
"k. shim, apostol natsev, r. rastogi","a. natsev, rajeev rastogi, kyuseok shim",0.288135593220339
"a. natsev, k. shim, r. rastogi","kyuseok shim, rajeev rastogi, apostol natsev",0.288135593220339
"r. rastogi, kyuseok shim, apostol natsev","a. natsev, rajeev rastogi, k. shim",0.288135593220339
"p. seshadri, tobias mayr","t. mayr, praveen seshadri",0.2325581395348837
"t. mayr, p. seshadri","praveen seshadri, tobias mayr",0.2325581395348837
"praveen seshadri, tobias mayr","t. mayr, p. seshadri",0.2325581395348837
"tobias mayr, praveen seshadri","p. seshadri, t. mayr",0.2325581395348837
"t. mayr, p. seshadri","praveen seshadri, tobias mayr",0.2325581395348837
"p. seshadri, t. mayr","tobias mayr, praveen seshadri",0.2325581395348837
"tobias mayr, praveen seshadri","p. seshadri, t. mayr",0.2325581395348837
"praveen seshadri, t. mayr","tobias mayr, p. seshadri",0.2325581395348837
"praveen seshadri, tobias mayr","t. mayr, p. seshadri",0.2325581395348837
m. tamer ?zsu,m. t. &#214;zsu,0.28
m. tamer ?zsu,m. t. &#214;zsu,0.28
"margaret e. connell, james p. callan, a. du","aiqun du, m. connell, j. callan",0.26666666666666666
"margaret connell, jamie callan, a. du","a. du, j. p. callan, m. e. connell",0.2982456140350877
"j. callan, m. connell, aiqun du","margaret e. connell, a. du, james p. callan",0.26666666666666666
"j. callan, m. connell, aiqun du","margaret e. connell, a. du, james p. callan",0.26666666666666666
"j. callan, aiqun du, m. connell","margaret e. connell, a. du, james p. callan",0.26666666666666666
"a. du, james p. callan, margaret e. connell","jamie callan, m. connell, aiqun du",0.2698412698412698
"jamie callan, a. du, margaret connell","aiqun du, m. e. connell, j. p. callan",0.2419354838709677
"jamie callan, margaret connell, a. du","m. e. connell, aiqun du, j. p. callan",0.2419354838709677
"m. connell, aiqun du, j. callan","a. du, james p. callan, margaret e. connell",0.26666666666666666
"j. cho, h. garcia-molina","hector garcia-molina, junghoo cho",0.2978723404255319
"h. garcia-molina, junghoo cho","j. cho, hector garcia-molina",0.2978723404255319
"junghoo cho, hector garcia-molina","h. garcia-molina, j. cho",0.2978723404255319
"junghoo cho, hector garcia-molina","h. garcia-molina, j. cho",0.2978723404255319
"h. garcia-molina, j. cho","junghoo cho, hector garcia-molina",0.2978723404255319
"j. cho, h. garcia-molina","hector garcia-molina, junghoo cho",0.2978723404255319
"h. garcia-molina, junghoo cho","j. cho, hector garcia-molina",0.2978723404255319
"h. garcia-molina, j. cho","junghoo cho, hector garcia-molina",0.2978723404255319
"hector garcia-molina, junghoo cho","j. cho, h. garcia-molina",0.2978723404255319
"h. garcia-molina, j. cho","junghoo cho, hector garcia-molina",0.2978723404255319
"j. cho, hector garcia-molina","h. garcia-molina, junghoo cho",0.2978723404255319
"hector garcia-molina, junghoo cho","j. cho, h. garcia-molina",0.2978723404255319
"hector garcia-molina, junghoo cho","j. cho, h. garcia-molina",0.2978723404255319
"j?r?me sim?on, vassilis christophides, sophie cluet","v. christophides, s. cluet, j&#233;r&#466;me sim&#232;on",0.27710843373493976
"j. sim?on, vassilis christophides, s. cluet","v. christophides, sophie cluet, j&#233;r&#466;me sim&#232;on",0.2716049382716049
"h. liefke, d. suciu","dan suciu, hartmut liefke",0.2307692307692308
"dan suciu, hartmut liefke","h. liefke, d. suciu",0.2307692307692308
"hartmut liefke, d. suciu","dan suciu, h. liefke",0.2307692307692308
"d. suciu, hartmut liefke","h. liefke, dan suciu",0.2307692307692308
"dan suciu, hartmut liefke","h. liefke, d. suciu",0.2307692307692308
"h. liefke, dan suciu","d. suciu, hartmut liefke",0.2307692307692308
"dan suciu, h. liefke","hartmut liefke, d. suciu",0.2307692307692308
"h. liefke, dan suciu","d. suciu, hartmut liefke",0.2307692307692308
"krishnamurty muralidhar, r. sarathy","rathindra sarathy, k. muralidhar",0.2830188679245283
"arnon rosenthal, edward sciore","e. sciore, a. rosenthal",0.2954545454545455
"e. sciore, a. rosenthal","arnon rosenthal, edward sciore",0.2954545454545455
"arnon rosenthal, e. sciore","edward sciore, a. rosenthal",0.2954545454545455
"arnon rosenthal, e. sciore","edward sciore, a. rosenthal",0.2954545454545455
"arnon rosenthal, e. sciore","edward sciore, a. rosenthal",0.2954545454545455
"arnon rosenthal, e. sciore","edward sciore, a. rosenthal",0.2954545454545455
"edward sciore, a. rosenthal","arnon rosenthal, e. sciore",0.2954545454545455
"j. boulos, k. ono","kinji ono, j. boulos",0.28125
"kinji ono, j. boulos","j. boulos, k. ono",0.28125
"k. ono, j. boulos","j. boulos, kinji ono",0.28125
"k. ono, j. boulos","jihad boulos, k. ono",0.28125
"j. boulos, k. ono","k. ono, jihad boulos",0.28125
"k. ono, jihad boulos","j. boulos, k. ono",0.28125
"kinji ono, j. boulos","j. boulos, k. ono",0.28125
"kinji ono, j. boulos","j. boulos, k. ono",0.28125
"lyman do, p. ram, p. drew","l. do, pamela drew, prabhu ram",0.25
"p. drew, prabhu ram, l. do","l. do, p. ram, pamela drew",0.2857142857142857
"prabhu ram, l. do, p. drew","lyman do, pamela drew, p. ram",0.2391304347826087
"lyman do, p. ram, pamela drew","p. ram, p. drew, l. do",0.3
"p. ram, pamela drew, lyman do","p. drew, l. do, prabhu ram",0.2888888888888889
"lyman do, p. ram, pamela drew","p. drew, p. ram, l. do",0.3
"lyman do, p. drew, p. ram","p. ram, l. do, pamela drew",0.3
"p. ram, l. do, p. drew","l. do, pamela drew, prabhu ram",0.2619047619047619
"l. do, p. ram, p. drew","lyman do, pamela drew, prabhu ram",0.2272727272727273
"l. do, p. drew, p. ram","lyman do, prabhu ram, pamela drew",0.2272727272727273
"p. ram, pamela drew, lyman do","l. do, p. drew, p. ram",0.275
"l. do, prabhu ram, p. drew","lyman do, pamela drew, p. ram",0.2727272727272727
"j. pei, jiawei han, y. yin","yiwen yin, j. han, jian pei",0.2790697674418605
"j. han, y. yin, j. pei","jian pei, jiawei han, yiwen yin",0.2619047619047619
"y. yin, jian pei, jiawei han","j. han, j. pei, yiwen yin",0.2682926829268293
"j. han, y. yin, jian pei","yiwen yin, j. pei, jiawei han",0.2790697674418605
"j. kuan, paul lewis","p. h. lewis, j. kuan",0.2647058823529412
"joseph kuan, paul h. lewis","paul lewis, j. kuan",0.2564102564102564
"p. lewis, j. kuan","j. kuan, paul lewis",0.2903225806451613
"joseph kuan, paul h. lewis","p. h. lewis, j. kuan",0.25
"p. h. lewis, j. kuan","joseph kuan, paul h. lewis",0.25
"j. kuan, p. h. lewis","paul lewis, j. kuan",0.2647058823529412
"p. h. lewis, j. kuan","j. kuan, paul lewis",0.2647058823529412
"j. kuan, paul h. lewis","p. h. lewis, joseph kuan",0.25
"j. kuan, p. h. lewis","paul h. lewis, joseph kuan",0.25
"j. kuan, p. lewis","paul lewis, j. kuan",0.2903225806451613
"paul lewis, j. kuan","j. kuan, p. h. lewis",0.2647058823529412
"j. kuan, p. lewis","paul h. lewis, joseph kuan",0.20512820512820512
"joseph kuan, p. lewis","p. lewis, j. kuan",0.2727272727272727
"p. h. lewis, j. kuan","joseph kuan, paul h. lewis",0.25
"clemens bertram, kshitij shah, amit p. sheth","k. shah, a. sheth, c. bertram",0.2807017543859649
"clemens bertram, amit p. sheth, kshitij shah","k. shah, a. sheth, c. bertram",0.2807017543859649
"clemens bertram, amit sheth, k. shah","kshitij shah, a. sheth, c. bertram",0.2909090909090909
"c. bertram, k. shah, amit p. sheth","kshitij shah, a. sheth, clemens bertram",0.2807017543859649
"michael j. carey, l. j. seligman","len seligman, m. carey",0.2727272727272727
"m. carey, len seligman","leonard j. seligman, michael j. carey",0.24489795918367346
"leonard j. seligman, michael j. carey","m. carey, l. seligman",0.2765957446808511
"m. carey, len seligman","l. seligman, mike carey",0.2894736842105263
"mike carey, l. seligman","l. j. seligman, michael j. carey",0.2954545454545455
"m. carey, len seligman","leonard j. seligman, michael j. carey",0.24489795918367346
"l. seligman, m. carey","mike carey, len seligman",0.2894736842105263
"leonard j. seligman, michael j. carey","mike carey, len seligman",0.21153846153846154
"mike carey, len seligman","leonard j. seligman, michael j. carey",0.21153846153846154
"leonard j. seligman, michael j. carey","mike carey, l. seligman",0.24
"l. j. seligman, m. j. carey","mike carey, len seligman",0.2682926829268293
"leonard j. seligman, m. j. carey","mike carey, len seligman",0.23404255319148934
"len seligman, m. carey","mike carey, l. seligman",0.2894736842105263
"mike carey, len seligman","leonard j. seligman, m. j. carey",0.23404255319148934
"m. carey, len seligman","l. j. seligman, michael j. carey",0.2727272727272727
"leonard j. seligman, michael j. carey","mike carey, l. seligman",0.24
"mike carey, l. seligman","leonard j. seligman, michael j. carey",0.24
"michael j. carey, l. j. seligman","l. seligman, mike carey",0.2954545454545455
"kyuseok shim, s. chaudhuri","surajit chaudhuri, k. shim",0.24444444444444444
"kyuseok shim, surajit chaudhuri","s. chaudhuri, k. shim",0.24444444444444444
"surajit chaudhuri, kyuseok shim","k. shim, s. chaudhuri",0.24444444444444444
"s. chaudhuri, k. shim","kyuseok shim, surajit chaudhuri",0.24444444444444444
"kyuseok shim, surajit chaudhuri","s. chaudhuri, k. shim",0.24444444444444444
"kyuseok shim, surajit chaudhuri","s. chaudhuri, k. shim",0.24444444444444444
"surajit chaudhuri, k. shim","kyuseok shim, s. chaudhuri",0.24444444444444444
"k. shim, surajit chaudhuri","s. chaudhuri, kyuseok shim",0.24444444444444444
"mark levene, george loizou","g. loizou, m. levene",0.2564102564102564
"mark levene, george loizou","g. loizou, m. levene",0.2564102564102564
"mark levene, george loizou","g. loizou, m. levene",0.2564102564102564
"t. bozkaya, meral ozsoyoglu","z. m. ?zsoyoglu, tolga bozkaya",0.24489795918367346
"z. meral ?zsoyoglu, t. bozkaya","tolga bozkaya, m. ozsoyoglu",0.24489795918367346
