"id","title","authors","venue","year"
"conf/vldb/Sheth96","bellcore's adapt/x harness system for managing information on internet and intranets","amit p. sheth","vldb",1996
"conf/sigmod/Larson01","xml data management go native or spruce up relational systems? (panel abstract)","per-?ke larson","sigmod conference",2001
"journals/sigmod/ChaudhuriD97","an overview of data warehousing and olap technology","surajit chaudhuri, umeshwar dayal","sigmod record",1997
"conf/sigmod/BersonGMJ94","staggered striping in multimedia information systems","steven berson, richard r. muntz, shahram ghandeharizadeh, xiangyu ju","sigmod conference",1994
"journals/sigmod/GerlaX03","multimedia streaming in large-scale sensor networks with mobile swarms","mario gerla, kaixin xu","sigmod record",2003
"journals/sigmod/Klein94","how to modify sql queries in order to guarantee sure answers","hans-joachim klein","sigmod record",1994
"conf/vldb/PirotteZMY94","materialization: a powerful and ubiquitous abstraction pattern","alain pirotte, esteban zim?nyi, tatiana yakusheva, david massart","vldb",1994
"conf/sigmod/DattaDRTV01","dynamic content acceleration: a caching solution to enable scalable dynamic web page generation","debra e. vandermeer, krithi ramamritham, helen m. thomas, anindya datta, kaushik dutta","sigmod conference",2001
"journals/sigmod/Bertram94","data modelling in the large","martin bertram","sigmod record",1994
"conf/sigmod/TatarinovIHW01","updating xml","daniel s. weld, zachary g. ives, igor tatarinov, alon y. halevy","sigmod conference",2001
"journals/sigmod/RoantreeS02","research in information managment at dublin city university","alan f. smeaton, mark roantree","sigmod record",2002
"conf/sigmod/BaumannDFRW98","the multidimensional database system rasdaman","andreas dehmel, peter baumann, norbert widmann, roland ritsch, paula furtado","sigmod conference",1998
"conf/vldb/AnSVKIG01","analyzing energy behavior of spatial access methods for memory-resident data","anand sivasubramaniam, sudhanva gurumurthi, narayanan vijaykrishnan, ning an, mary jane irwin, mahmut t. kandemir","vldb",2001
"conf/vldb/Graefe99","the value of merge-join and hash-join in sql server","goetz graefe","vldb",1999
"conf/sigmod/Weininger02","efficient execution of joins in a star schema","andreas weininger","sigmod conference",2002
"conf/vldb/ChristopheBPV00","picodmbs: scaling down database techniques for the smartcard","luc bouganim, patrick valduriez, philippe pucheral, christophe bobineau","vldb",2000
"conf/vldb/JagadishKNS99","multi-dimensional substring selectivity estimation","divesh srivastava, olga kapitskaia, raymond t. ng, h. v. jagadish","vldb",1999
"journals/vldb/HarderST99","the intrinsic problems of structural heterogeneity and an approach to their solution","theo h?rder, joachim thomas, g?nter sauter","vldb j.",1999
"conf/sigmod/Mohan99","a database perspective on lotus domino/notes","c. mohan","sigmod conference",1999
"journals/sigmod/Camps96","domains, relations and religious wars","rafael camps","sigmod record",1996
"conf/vldb/Shenker03","the data-centric revolution in networking","scott shenker","vldb",2003
"conf/sigmod/DeshpandeNGS03","cache-and-query for wide area sensor databases","phillip b. gibbons, srinivasan seshan, suman kumar nath, amol deshpande","sigmod conference",2003
"conf/vldb/GardarinGT95","a cost model for clustered object-oriented databases","zhao-hui tang, jean-robert gruser, georges gardarin","vldb",1995
"conf/vldb/Garcia-MolinaLY98","expiring data in a warehouse","wilburt labio, jun yang, hector garcia-molina","vldb",1998
"journals/sigmod/Qian97","opportunities in information management and assurance","xiaolei qian","sigmod record",1997
"conf/vldb/EicklerKK97","finding data in the neighborhood","andr? eickler, alfons kemper, donald kossmann","vldb",1997
"conf/sigmod/HristidisKP01","prefer: a system for the efficient execution of multi-parametric ranked queries","yannis papakonstantinou, vagelis hristidis, nick koudas","sigmod conference",2001
"journals/sigmod/Liu02","editor's notes","ling liu","sigmod record",2002
"conf/sigmod/ZhangMCMR02","rainbow: mapping-driven xquery processing system","mukesh mulchandani, elke a. rundensteiner, xin zhang, brian murphy, steffen christ","sigmod conference",2002
"journals/vldb/PoulovassilisS96","algebraic query optimisation for database programming languages","carol small, alexandra poulovassilis","vldb j.",1996
"journals/tods/AikenHW95","static analysis techniques for predicting the behavior of active database rules","alexander aiken, jennifer widom, joseph m. hellerstein","acm trans. database syst.",1995
"conf/sigmod/TheodoulidisAACKS94","the ores temporal database management system","babis theodoulidis, george karvelis, jayant chaudhary, aziz ait-braham, simon sou, george andrianopoulos","sigmod conference",1994
"journals/tods/MumickFPR96","magic conditions","hamid pirahesh, inderpal singh mumick, raghu ramakrishnan, sheldon j. finkelstein","acm trans. database syst.",1996
"conf/vldb/MoserKK95","l/mrp: a buffer management strategy for interactive continuous data flows in a multimedia dbms","wolfgang klas, frank moser, achim kraiss","vldb",1995
"conf/sigmod/Spiro98","ubiquitous, self-tuning, scalable servers","peter m. spiro","sigmod conference",1998
"conf/vldb/Sarawagi99","explaining differences in multidimensional aggregates","sunita sarawagi","vldb",1999
"conf/vldb/WuYCT95","a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system","kun-lung wu, philip s. yu, james z. teng, jen-yao chung","vldb",1995
"conf/sigmod/Vaskevitch94","database in crisis and transition: a technical agenda for the year 2001","david vaskevitch","sigmod conference",1994
"conf/sigmod/Sheth95","workflow automation: applications, technology, and research (tutorial)","amit p. sheth","sigmod conference",1995
"journals/sigmod/KantM00","workshop on performance and architecture of web servers (paws-2000, held in conjection with sigmetrics-2000)","krishna kant, prasant mohapatra","sigmod record",2000
"conf/vldb/PottingerL00","a scalable algorithm for answering queries using views","rachel pottinger, alon y. levy","vldb",2000
"journals/sigmod/Snodgrass02","why i like working in academia","richard t. snodgrass","sigmod record",2002
"conf/sigmod/GionisGK01","efficient and tunable similar set retrieval","dimitrios gunopulos, aristides gionis, nick koudas","sigmod conference",2001
"conf/vldb/ChakrabartiRS02","fast and accurate text classification via multiple linear discriminant projections","mahesh v. soundalgekar, soumen chakrabarti, shourya roy","vldb",2002
"conf/vldb/DayalHL01","business process coordination: state of the art, trends, and open issues","meichun hsu, rivka ladin, umeshwar dayal","vldb",2001
"conf/vldb/Bowker00","work and information practices in the sciences of biodiversity","geoffrey c. bowker","vldb",2000
"conf/sigmod/GibbsBT94","data modeling of time-based media","simon j. gibbs, christian breiteneder, dennis tsichritzis","sigmod conference",1994
"journals/tods/SrivastavaSRN95","space optimization in deductive databases","s. sudarshan, divesh srivastava, raghu ramakrishnan, jeffrey f. naughton","acm trans. database syst.",1995
"journals/sigmod/Snodgrass00a","chair's message","richard t. snodgrass","sigmod record",2000
"journals/sigmod/Alonso94b","trade press news - announcement and preface","rafael alonso","sigmod record",1994
"conf/sigmod/ChenGM01","improving index performance through prefetching","shimin chen, todd c. mowry, phillip b. gibbons","sigmod conference",2001
"journals/sigmod/Qian96b","new programs at darpa and nsf","xiaolei qian","sigmod record",1996
"conf/vldb/PoulovassilisS94","investigation of algebraic query optimisation techniques for database programming languages","alexandra poulovassilis, carol small","vldb",1994
"conf/vldb/DeutschPT99","physical data independence, constraints, and optimization with universal plans","lucian popa, alin deutsch, val tannen","vldb",1999
"conf/sigmod/IvesFFLW99","an adaptive query execution system for data integration","daniel s. weld, alon y. levy, marc friedman, zachary g. ives, daniela florescu","sigmod conference",1999
"conf/vldb/Sondag01","the semantic web paving the way to the knowledge society","pierre-paul sondag","vldb",2001
"conf/vldb/ShaferA97","parallel algorithms for high-dimensional similarity joins for data mining applications","rakesh agrawal, john c. shafer","vldb",1997
"journals/tods/DiaoAFZF03","path sharing and predicate evaluation for high-performance xml filtering","yanlei diao, hao zhang, peter m. fischer, michael j. franklin, mehmet altinel","acm trans. database syst.",2003
"conf/sigmod/GangulyGR03","processing set expressions over continuous update streams","sumit ganguly, minos n. garofalakis, rajeev rastogi","sigmod conference",2003
"conf/vldb/Johnson99","performance measurements of compressed bitmap indices","theodore johnson","vldb",1999
"conf/vldb/ChanI99","hierarchical prefix cubes for range-sum queries","chee yong chan, yannis e. ioannidis","vldb",1999
"journals/tods/WijesekeraJPH03","removing permissions in the flexible authorization framework","?sa hagstr?m, duminda wijesekera, francesco parisi-presicce, sushil jajodia","acm trans. database syst.",2003
"conf/sigmod/AmbiteABKMMMPT98","ariadne: a system for constructing mediators for internet sources","ion muslea, greg barish, andrew philpot, craig a. knoblock, steven minton, jos? luis ambite, pragnesh jay modi, sheila tejada, naveen ashish","sigmod conference",1998
"journals/tods/MamoulisP01","multiway spatial joins","dimitris papadias, nikos mamoulis","acm trans. database syst.",2001
"conf/sigmod/HarinarayanRU96","implementing data cubes efficiently","anand rajaraman, jeffrey d. ullman, venky harinarayan","sigmod conference",1996
"journals/sigmod/MattosD94","recent design trade-offs in sql3","nelson mendon?a mattos, linda g. demichiel","sigmod record",1994
"journals/sigmod/EisenbergM99a","sqlj-part 1: sql routines using the java programming language","andrew eisenberg, jim melton","sigmod record",1999
"conf/sigmod/RafieiM97","similarity-based queries for time series data","alberto o. mendelzon, davood rafiei","sigmod conference",1997
"journals/sigmod/PapianiWDN99","a distributed scientific data archive using the web, xml and sql/med","alistair n. dunlop, jasmin l. wason, denis a. nicole, mark papiani","sigmod record",1999
"conf/vldb/HeymannTKWRMF02","viator - a tool family for graphical networking and data view creation","katja tham, axel kilian, dieter merkel, peter rieger, stephan heymann, gunnar wegner, johann christoph freytag","vldb",2002
"journals/sigmod/Jagadish01","information warfare and security - book review","h. v. jagadish","sigmod record",2001
"conf/vldb/Norvag99","the persistent cache: improving oid indexing in temporal object-oriented database systems","kjetil n?rv?g","vldb",1999
"conf/vldb/BelussiF95","estimating the selectivity of spatial queries using the `correlation' fractal dimension","christos faloutsos, alberto belussi","vldb",1995
"journals/vldb/AslanM99","semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution","dennis mcleod, goksel aslan","vldb j.",1999
"journals/sigmod/YeungHL94","performance evaluation of a new distributed deadlock detection algorithm","chim-fu yeung, kam-yiu lam, sheung-lun hung","sigmod record",1994
"journals/sigmod/MeltonMJKSZ01","sql and management of external data","jan-eike michels, jim melton, krishna g. kulkarni, peter m. schwarz, kathy zeidenstein, vanja josifovski","sigmod record",2001
"conf/vldb/LernerS03","aquery: query language for ordered data, optimization techniques, and experiments","alberto lerner, dennis shasha","vldb",2003
"conf/vldb/GarofalakisOS97","resource scheduling in enhanced pay-per-view continuous media databases","banu ?zden, minos n. garofalakis, abraham silberschatz","vldb",1997
"conf/sigmod/ShouCTRH01","review: a real time virtual walkthrough system","yixin ruan, zhiyong huang, kian-lee tan, jason chionh, lidan shou","sigmod conference",2001
"journals/tods/TendickM94","a modified random perturbation method for database security","norman s. matloff, patrick tendick","acm trans. database syst.",1994
"conf/sigmod/Suciu99","managing web data","dan suciu","sigmod conference",1999
"conf/vldb/Raghavan96","loading the data warehouse across various parallel architectures","vijay v. raghavan","vldb",1996
"journals/sigmod/KarlapalemLS95","hodfa: an architectural framework for homogenizing heterogeneous legacy database","qing li, kamalakar karlapalem, chung-dak shum","sigmod record",1995
"conf/vldb/ShashaB02","database tuning: principles, experiments, and troubleshooting techniques","philippe bonnet, dennis shasha","vldb",2002
"journals/sigmod/RossGN03","reminiscences an influential papers","jeffrey f. naughton, minos n. garofalakis, kenneth a. ross","sigmod record",2003
"journals/sigmod/Zhang95","application of oodb and sgml techniques in text database: an electronic dictionary system","jian zhang","sigmod record",1995
"conf/sigmod/ClossmanSHKPB98","java and relational databases: sqlj (tutorial)","johannes klein, richard pledereder, gray clossman, brian becker, phil shaw, mark hapner","sigmod conference",1998
"conf/sigmod/KaushikBNK02","covering indexes for branching path queries","raghav kaushik, henry f. korth, jeffrey f. naughton, philip bohannon","sigmod conference",2002
"conf/sigmod/LiC95","semint: a system prototype for semantic integration in heterogeneous databases","wen-syan li, chris clifton","sigmod conference",1995
"journals/sigmod/LabrinidisM01","career-enhancing services at sigmod online","alexandros labrinidis, alberto o. mendelzon","sigmod record",2001
"conf/sigmod/GuptaHR97","revisiting commit processing in distributed database systems","krithi ramamritham, jayant r. haritsa, ramesh gupta","sigmod conference",1997
"journals/tods/Alagic99","type-checking oql queries in the odmg type systems","suad alagic","acm trans. database syst.",1999
"conf/sigmod/Golding95","things every update replication customer should know","rob golding","sigmod conference",1995
"journals/sigmod/Jonsson03","in memory of g?sli r. hjaltason","bj?rn ??r j?nsson","sigmod record",2003
"conf/vldb/LevyMS94","query optimization by predicate move-around","inderpal singh mumick, alon y. levy, yehoshua sagiv","vldb",1994
"conf/sigmod/FernandezFKLS98","catching the boat with strudel: experiences with a web-site management system","jaewoo kang, dan suciu, alon y. levy, daniela florescu, mary f. fernandez","sigmod conference",1998
"conf/sigmod/SlivinskasJS01","adaptable query optimization and evaluation in temporal middleware","christian s. jensen, richard t. snodgrass, giedrius slivinskas","sigmod conference",2001
"conf/sigmod/ZhangRL96","birch: an efficient data clustering method for very large databases","raghu ramakrishnan, miron livny, tian zhang","sigmod conference",1996
"conf/sigmod/TaoP02","time-parameterized queries in spatio-temporal databases","dimitris papadias, yufei tao","sigmod conference",2002
"conf/sigmod/HanKK97","scalable parallel data mining for association rules","eui-hong han, vipin kumar, george karypis","sigmod conference",1997
"journals/tods/BaralisW00","an algebraic approach to static analysis of active database rules","jennifer widom, elena baralis","acm trans. database syst.",2000
"conf/vldb/CatozziR95","os support for vldbs: unix enhancements for the teradata data base","sorana rabinovici, john catozzi","vldb",1995
"conf/sigmod/SismanisDRK02","dwarf: shrinking the petacube","yannis kotidis, yannis sismanis, antonios deligiannakis, nick roussopoulos","sigmod conference",2002
"conf/sigmod/PiatkoYLS96","thinksheet: a tool for tailoring complex documents","dao-i lin, peter piatko, roman yangarber, dennis shasha","sigmod conference",1996
"conf/sigmod/ZouS96","on-line reorganization of sparsely-populated b+trees","betty salzberg, chendong zou","sigmod conference",1996
"conf/sigmod/Weininger00","handling very large databases with informix extended parallel server","andreas weininger","sigmod conference",2000
"conf/vldb/ChaudhuriS94","including group-by in query optimization","surajit chaudhuri, kyuseok shim","vldb",1994
"conf/vldb/BestavrosB95","value-cognizant speculative concurrency control","azer bestavros, spyridon braoudakis","vldb",1995
"journals/sigmod/Geller02","data mining: practical machine learning tools and techniques - book review","james geller","sigmod record",2002
"journals/sigmod/LenzeriniNNS01","report on the 8th international workshop on knowledge representation meets databases (krdb)","dan suciu, maurizio lenzerini, daniele nardi, werner nutt","sigmod record",2001
"conf/sigmod/GravanoCGP97","starts: stanford proposal for internet meta-searching (experience paper)","hector garcia-molina, luis gravano, kevin chen-chuan chang, andreas paepcke","sigmod conference",1997
"conf/vldb/BerchtoldKK96","the x-tree : an index structure for high-dimensional data","hans-peter kriegel, stefan berchtold, daniel a. keim","vldb",1996
"conf/vldb/AnanthakrishnaCG02","eliminating fuzzy duplicates in data warehouses","rohit ananthakrishna, venkatesh ganti, surajit chaudhuri","vldb",2002
"conf/vldb/KerstenWFKBC03","a database striptease or how to manage your personal databases","michael j. franklin, surajit chaudhuri, alejandro p. buchmann, gerhard weikum, daniel a. keim, martin l. kersten","vldb",2003
"conf/sigmod/DogacTPPLKTK02","an ebxml infrastructure implementation through uddi registries and rosettanet pips","yildiray kabak, gokce laleci, sait pektas, serkan toprak, yusuf tambag, gokhan kurt, asuman dogac, pinar pembecioglu","sigmod conference",2002
"journals/sigmod/Bohlen95","temporal database system implementations","michael h. b?hlen","sigmod record",1995
"conf/vldb/CohenMKS03","xsearch: a semantic search engine for xml","yaron kanza, yehoshua sagiv, sara cohen, jonathan mamou","vldb",2003
"conf/vldb/HaberIL95","opossum: desk-top schema management through customizable visualization","miron livny, eben m. haber, yannis e. ioannidis","vldb",1995
"journals/tods/SchuldtABS02","atomicity and isolation for transactional processes","hans-j?rg schek, gustavo alonso, heiko schuldt, catriel beeri","acm trans. database syst.",2002
"conf/sigmod/LometT99","logical logging to extend recovery to new domains","david b. lomet, mark r. tuttle","sigmod conference",1999
"conf/sigmod/FlokstraKS94","the impress ddt: a database design toolbox based on a formal specification language","jacek skowronek, maurice van keulen, jan flokstra","sigmod conference",1994
"conf/sigmod/HellersteinHW97","online aggregation","helen j. wang, peter j. haas, joseph m. hellerstein","sigmod conference",1997
"conf/sigmod/CookKWZ96","semi-automatic, self-adaptive control of garbage collection rates in object databases","artur klauser, alexander l. wolf, benjamin g. zorn, jonathan e. cook","sigmod conference",1996
"conf/vldb/Mihalisin98","a single pass computing engine for interactive analysis of vldbs","ted mihalisin","vldb",1998
"conf/vldb/KornSFSP96","fast nearest neighbor search in medical image databases","zenon protopapas, christos faloutsos, eliot siegel, flip korn, nikolaos sidiropoulos","vldb",1996
"journals/sigmod/KlasS94","metadata for digital media: introduction to the special issue","amit p. sheth, wolfgang klas","sigmod record",1994
"journals/sigmod/Darwen96","in reply to domains, relations and religious wars","hugh darwen","sigmod record",1996
"conf/vldb/CarinoJ98","bank of america case study: the information currency advantage","mark jahnke, felipe cari?o","vldb",1998
"journals/vldb/Amer-YahiaCLS02","tree pattern query minimization","divesh srivastava, sungran cho, laks v. s. lakshmanan, sihem amer-yahia","vldb j.",2002
"conf/sigmod/CareyFZ94","fine-grained sharing in a page server oodbms","michael j. carey, markos zaharioudakis, michael j. franklin","sigmod conference",1994
"journals/sigmod/JenningsNF98","adept: an agent-based approach to business process management","timothy j. norman, nicholas r. jennings, peyman faratin","sigmod record",1998
"journals/sigmod/Labrinidis01","introduction to the career forum column","alexandros labrinidis","sigmod record",2001
"conf/sigmod/HsuLG00","image mining in iris: integrated retinal information system","kheng guan goh, wynne hsu, mong-li lee","sigmod conference",2000
"conf/sigmod/Melling94","enterprise information architectures -- they're finally changing","wesley p. melling","sigmod conference",1994
"conf/vldb/Mattos03","integrating information for on demand computing","nelson mendon?a mattos","vldb",2003
"journals/vldb/BenzakenD95","th?mis: a database programming language handling integrity constraints","anne doucet, v?ronique benzaken","vldb j.",1995
"journals/vldb/RamamohanaraoH94","an introduction to deductive database languages and systems","kotagiri ramamohanarao, james harland","vldb j.",1994
"conf/vldb/Sripada02","information management challenges from the aerospace industry","suryanarayana m. sripada","vldb",2002
"conf/sigmod/Mohan96","state of the art in workflow management research and products","c. mohan","sigmod conference",1996
"journals/sigmod/ShethBS99","videoanywhere: a system for searching and managing distributed video assets","amit p. sheth, kshitij shah, clemens bertram","sigmod record",1999
"journals/sigmod/BargaL02","phoenix project: fault-tolerant applications","roger s. barga, david b. lomet","sigmod record",2002
"journals/sigmod/HalkidiBV02","cluster validity methods: part i","michalis vazirgiannis, yannis batistakis, maria halkidi","sigmod record",2002
"conf/sigmod/Gettys95","directv and oracle rdb: the challenges of vldb transaction processing","william l. gettys","sigmod conference",1995
"conf/sigmod/ZhangNBB94","ensuring relaxed atomicity for flexible transactions in multidatabase systems","bharat k. bhargava, aidong zhang, marian h. nodine, omran a. bukhres","sigmod conference",1994
"conf/sigmod/AndersonBKW98","replication, consistency, and practicality: are these mutually exclusive?","avishai wool, henry f. korth, yuri breitbart, todd a. anderson","sigmod conference",1998
"conf/vldb/LiuJ02","a-topss - a publish/subscribe system supporting approximate matching","hans-arno jacobsen, haifeng liu","vldb",2002
"journals/tods/CiacciaP02","searching in metric spaces with user-defined and approximate distances","marco patella, paolo ciaccia","acm trans. database syst.",2002
"conf/sigmod/ColbyGLMT96","algorithms for deferred view maintenance","leonid libkin, inderpal singh mumick, latha s. colby, howard trickey, timothy griffin","sigmod conference",1996
"conf/vldb/PappasC00","design and development of a stream service in a heterogenous client environment","stavros christodoulakis, nikos pappas","vldb",2000
"conf/sigmod/FungSG02","cougar: the network is the database","wai fu fung, david sun, johannes gehrke","sigmod conference",2002
"conf/sigmod/BunemanM95","the data that you won't find in databases: tutorial panel on data exchange formats","david maier, peter buneman","sigmod conference",1995
"journals/vldb/TorpJS00","effective timestamping in databases","christian s. jensen, kristian torp, richard t. snodgrass","vldb j.",2000
"journals/tods/FernandezKSMT02","silkroute: a framework for publishing relational data in xml","dan suciu, yana kadiyska, wang chiew tan, mary f. fernandez, atsuyuki morishima","acm trans. database syst.",2002
"conf/vldb/PapadiasTS03","the tpr*-tree: an optimized spatio-temporal access method for predictive queries","dimitris papadias, jimeng sun, yufei tao","vldb",2003
"journals/sigmod/Widom96b","editor's notes","jennifer widom","sigmod record",1996
"conf/vldb/VelegrakisMP03","mapping adaptation under evolving schemas","yannis velegrakis, lucian popa, ren?e j. miller","vldb",2003
"conf/vldb/QianZXP03","the nd-tree: a dynamic indexing technique for multidimensional non-ordered discrete data spaces","gang qian, qiang xue, sakti pramanik, qiang zhu","vldb",2003
"conf/sigmod/Chan98","transactional publish / subscribe: the proactive multicast of database changes","arvola chan","sigmod conference",1998
"conf/sigmod/GodfreyGXZ01","exploiting constraint-like data characterizations in query optimization","jarek gryz, calisto zuzarte, parke godfrey","sigmod conference",2001
"conf/sigmod/DogacHKOONDMAKE96","metu interoperable database system","sema mancuhan, ismailcem budak arpinar, fatma ozcan, pinar koksal, asuman dogac, g?khan ?zhan, cevdet dengi, ugur halici, cem evrendilek, sena nural, ebru kilic","sigmod conference",1996
"conf/vldb/DiwanRSS96","clustering techniques for minimizing external path length","a. a. diwan, s. sudarshan, sanjeeva rane, s. seshadri","vldb",1996
"conf/vldb/Sterling98","the national medical knowledge bank","warren sterling","vldb",1998
"journals/vldb/AtluriJY03","guest editorial","vijay atluri, anupam joshi, yelena yesha","vldb j.",2003
"journals/sigmod/MotroA03","report on fqas 2002: fifth international conference on flexible query answering systems","amihai motro, troels andreasen","sigmod record",2003
"conf/vldb/AggarwalY02","an automated system for web portal personalization","philip s. yu, charu c. aggarwal","vldb",2002
"conf/vldb/PereiraFJLS01","webfilter: a high-throughput xml-based publish and subscribe system","fran?oise fabret, dennis shasha, hans-arno jacobsen, fran?ois llirbat, jo?o pereira","vldb",2001
