"id","title","authors","venue","year"
304225,"a layered architecture for querying dynamic web content","hasan davulcu, juliana freire, michael kifer, i. v. ramakrishnan","international conference on management of data",1999
304224,"automatic discovery of language models for text databases","jamie callan, margaret connell, aiqun du","international conference on management of data",1999
304223,"record-boundary discovery in web documents","d. w. embley, y. jiang, y.-k. ng","international conference on management of data",1999
304222,"query rewriting for semistructured data","yannis papakonstantinou, vasilis vassalos","international conference on management of data",1999
304221,"computing capabilities of mediators","ramana yerneni, chen li, hector garcia-molina, jeffrey ullman","international conference on management of data",1999
335378,"high speed on-line backup when using logical log operations","david b. lomet","international conference on management of data",2000
335379,"efficient resumption of interrupted warehouse loads","wilburt juan labio, janet l. wiener, hector garcia-molina, vlad gorelik","international conference on management of data",2000
335381,"on-line reorganization in object databases","mohana k. lakhamraju, rajeev rastogi, s. seshadri, s. sudarshan","international conference on management of data",2000
335383,"finding generalized projected clusters in high dimensional spaces","charu c. aggarwal, philip s. yu","international conference on management of data",2000
335384,"density biased sampling: an improved method for data mining and clustering","christopher r. palmer, christos faloutsos","international conference on management of data",2000
335388,"lof: identifying density-based local outliers","markus m. breunig, hans-peter kriegel, raymond t. ng, j&#246;rg sander","international conference on management of data",2000
335390,"answering complex sql queries using automatic summary tables","markos zaharioudakis, roberta cochrane, george lapis, hamid pirahesh, monica urata","international conference on management of data",2000
335391,"synchronizing a database to improve freshness","junghoo cho, hector garcia-molina","international conference on management of data",2000
335393,"how to roll a join: asynchronous incremental view maintenance","kenneth salem, kevin beyer, bruce lindsay, roberta cochrane","international conference on management of data",2000
335395,"on wrapping query languages and efficient xml integration","vassilis christophides, sophie cluet, j&#233;r&#466;me sim&#232;on","international conference on management of data",2000
335405,"xmill: an efficient compressor for xml data","hartmut liefke, dan suciu","international conference on management of data",2000
335409,"xtract: a system for extracting document type descriptors from xml documents","minos garofalakis, aristides gionis, rajeev rastogi, s. seshadri, kyuseok shim","international conference on management of data",2000
335412,"spatial join selectivity using power laws","christos faloutsos, bernhard seeger, agma traina, caetano traina, jr.","international conference on management of data",2000
335413,"mocha: a self-extensible database middleware system for distributed data sources","manuel rodr&#237;guez-mart&#237;nez, nick roussopoulos","international conference on management of data",2000
335414,"closest pair queries in spatial databases","antonio corral, yannis manolopoulos, yannis theodoridis, michael vassilakopoulos","international conference on management of data",2000
335415,"influence sets based on reverse nearest neighbor queries","flip korn, s. muthukrishnan","international conference on management of data",2000
331986,"security of random data perturbation methods","krishnamurty muralidhar, rathindra sarathy","acm transactions on database systems (tods)",1999
331984,"improving database design through the analysis of relationships","debabrata dey, veda c. storey, terence m. barron","acm transactions on database systems (tods)",1999
331992,"the sift information dissemination system","tak w. yan, hector garcia-molina","acm transactions on database systems (tods)",1999
331989,"an ontological analysis of the relationship construct in conceptual modeling","yair wand, veda c. storey, ron weber","acm transactions on database systems (tods)",1999
333609,"chorochronos: a research network for spatiotemporal database systems","andrew frank, stephane grumbach, ralf hartmut g&#252;ting, christian s. jensen, manolis koubarakis, nikos lorentzos, yannis manolopoulos, enrico nardelli, barbara pernici, hans-j&#246;rg schek, michel scholl, timos sellis, babis theodoulidis, peter widmayer","acm sigmod record",1999
333608,"engineering federated information systems: report of eefis '99 workshop","s. conrad, w. hasselbring, u. hohenstein, r.-d. kutsche, m. roantree, g. saake, f. saltor","acm sigmod record",1999
333611,"first-class views: a key to user-centered computing","arnon rosenthal, edward sciore","acm sigmod record",1999
333610,"cost estimation of user-defined methods in object-relational database systems","jihad boulos, kinji ono","acm sigmod record",1999
333613,"distributed transactions in practice","prabhu ram, lyman do, pamela drew","acm sigmod record",1999
333612,"on mutli-resolution document transmission in mobile web","stanley m. t. yau, hong va leong, dennis mcleod, antonio si","acm sigmod record",1999
333615,"an overview and classification of mediated query systems","ruxandra domenig, klaus r. dittrich","acm sigmod record",1999
333614,"a distributed scientific data archive using the web, xml and sql/med","mark papiani, jasmin l. wason, alistair n. dunlop, denis a. nicole","acm sigmod record",1999
335372,"mining frequent patterns without candidate generation","jiawei han, jian pei, yiwen yin","international conference on management of data",2000
333616,"database research at the university of oklahoma","le gruenwald, leonard brown, ravi dirckze, sylvain guinepain, carlos sanchez, brian summers, sirirut vanichayobon","acm sigmod record",1999
335376,"turbo-charging vertical mining of large databases","pradeep shenoy, jayant r. haritsa, s. sundarshan, gaurav bhalotia, mayank bawa, devavrat shah","international conference on management of data",2000
335375,"data mining on an oltp system (nearly) for free","erik riedel, christos faloutsos, gregory r. ganger, david f. nagle","international conference on management of data",2000
310065,"a study on data point search for hg-trees","joseph kuan, paul lewis","acm sigmod record",1999
310066,"the oasis multidatabase prototype","mark roantree, john murphy, wilhelm hasselbring","acm sigmod record",1999
310063,"efficient materialization and use of views in data warehouses","m&#225;rcio farias de souza, marcus costa sampaio","acm sigmod record",1999
310064,"design principles for data-intensive web sites","stefano ceri, piero fraternali, stefano paraboschi","acm sigmod record",1999
310075,"sql: 1999, formerly known as sql3","andrew eisenberg, jim melton","acm sigmod record",1999
310710,"broadcast protocols to support efficient retrieval from databases by mobile users","anindya datta, debra e. vandermeer, aslihan celik, vijay kumar","acm transactions on database systems (tods)",1999
310067,"video anywhere: a system for searching and managing distributed heterogeneous video assets","amit sheth, clemens bertram, kshitij shah","acm sigmod record",1999
310071,"nsf workshop on industrial/academic cooperation in database systems","mike carey, len seligman","acm sigmod record",1999
320249,"optimization of queries with user-defined predicates","surajit chaudhuri, kyuseok shim","acm transactions on database systems (tods)",1999
320252,"gloss: text-source discovery over the internet","luis gravano, h&#233;ctor garc&#237;a-molina, anthony tomasic","acm transactions on database systems (tods)",1999
310712,"database design for incomplete relations","mark levene, george loizou","acm transactions on database systems (tods)",1999
310715,"temporal fds on complex objects","jef wijsen","acm transactions on database systems (tods)",1999
328959,"indexing large metric spaces for similarity search queries","tolga bozkaya, meral ozsoyoglu","acm transactions on database systems (tods)",1999
328996,"specification and implementation of exceptions in workflow management systems","fabio casati, stefano ceri, stefano paraboschi, guiseppe pozzi","acm transactions on database systems (tods)",1999
320255,"distance browsing in spatial databases","g&#237;sli r. hjaltason, hanan samet","acm transactions on database systems (tods)",1999
328943,"type-checking oql queries in the odmg type systems","suad alag&#237;c","acm transactions on database systems (tods)",1999
306141,"the middleware muddle","david ritter","acm sigmod record",1998
306137,"the asilomar report on database research","phil bernstein, michael brodie, stefano ceri, david dewitt, mike franklin, hector garcia-molina, jim gray, jerry held, joe hellerstein, h. v. jagadish, michael lesk, dave maier, jeff naughton, hamid pirahesh, mike stonebraker, jeff ullman","acm sigmod record",1998
306133,"electronic market: the roadmap for university libraries and members to survive in the information jungle","michael christoffel, sebastian pulkowski, bethina schmitt, peter c. lockemann","acm sigmod record",1998
306129,"an anonymous electronic commerce scheme with an off-line authority and untrusted agents","josep domingo-ferrer, jordi herrera-joancomart&#237;","acm sigmod record",1998
309870,"semantic and pedagogic interoperability mechanisms in the ariadne educational repository","e. forte, f. haenni, k. warkentyne, e. duval, k. cardinaels, e. vervaet, k. hendrikx, m. wentland forte, f. simillion","acm sigmod record",1999
309852,"semantic integration of environmental models for application to global information systems and decision-making","d. scott mackay","acm sigmod record",1999
309849,"semantic interoperability in global information systems","a. m. ouksel, a. sheth","acm sigmod record",1999
306144,"sqlj part 0, now known as sql/olb (object-language bindings)","andrew eisenberg, jim melton","acm sigmod record",1998
309895,"dynamic service matchmaking among agents in open information environments","katia sycara, matthias klusch, seth widoff, jianguo lu","acm sigmod record",1999
309886,"contextualizing the information space in federated digital libraries","m. p. papazoglou, j. hoppenbrouwers","acm sigmod record",1999
309883,"semantic video indexing: approach and issues","arun hampapur","acm sigmod record",1999
309878,"unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems","ken smith, leo obrst","acm sigmod record",1999
310062,"report on the 13th brazilian symposium on database systems (sbbd'98)","mario a. nascimento, claudia bauzer medeiros","acm sigmod record",1999
310061,"semantic interoperability in information services: experiencing with coopware","avigdor gal","acm sigmod record",1999
310060,"agent-based semantic interoperability in infosleuth","jerry fowler, brad perry, marian nodine, bruce bargmeyer","acm sigmod record",1999
309897,"semantic integration of semistructured and structured data sources","s. bergamaschi, s. castano, m. vincini","acm sigmod record",1999
277955,"keynote address","robert s. epstein","international conference on management of data",1995
277954,"keynote address","larry j. ellison","international conference on management of data",1995
278247,"object normal forms and dependency constraints for object-oriented schemata","zahir tari, john stokes, stefano spaccapietra","acm transactions on database systems (tods)",1997
278246,"database design with common sense business reasoning and learning","veda c. storey, roger h. l. chiang, debabrata dey, robert c. goldstein, shankar sudaresan","acm transactions on database systems (tods)",1997
277632,"inverted files versus signature files for text indexing","justin zobel, alistair moffat, kotagiri ramamohanarao","acm transactions on database systems (tods)",1998
277629,"ensuring consistency in multidatabases by preserving two-level serializability","sharad mehrotra, rajeev rastogi, henry f. korth, abraham silberschatz","acm transactions on database systems (tods)",1998
277641,"towards a theory of cost management for digital libraries and electronic commerce","a. prasad sistla, ouri wolfson, yelena yesha, robert sloan","acm transactions on database systems (tods)",1998
277639,"information gathering in the world-wide web: the w3ql query language and the w3qs system","david konopnicki, oded shmueli","acm transactions on database systems (tods)",1998
276392,"a protein patent query system powered by kleisli","jing chen, limsoon wong, louxin zhang","international conference on management of data",1998
276391,"dtl's dataspot: database exploration as easy as browsing the web...","shaul dar, gadi entin, shai geva, eran palmon","international conference on management of data",1998
277628,"multiview access protocols for large-scale replication","xiangning liu, abdelsalam helal, weimin du","acm transactions on database systems (tods)",1998
277627,"optimization techniques for queries with expensive methods","joseph m. hellerstein","acm transactions on database systems (tods)",1998
276388,"multimediaminer: a system prototype for multimedia data mining","osmar r. za&#239;ane, jiawei han, ze-nian li, sonny h. chee, jenny y. chiang","international conference on management of data",1998
276387,"xmas: an extensible main-memory storage system for high-performance applications","jang ho park, yong sik kwon, ki hong kim, sang ho lee, byoung dae park, sang kyun cha","international conference on management of data",1998
276390,"the idea web lab","stefano ceri, piero fraternali, stefano paraboschi","international conference on management of data",1998
276389,"supersql: an extended sql for database publishing and presentation","motomichi toyama","international conference on management of data",1998
276383,"control: continuous output and navigation technology with refinement on-line","ron avnur, joseph m. hellerstein, bruce lo, chris olston, bhaskaran raman, vijayshankar raman, tali roth, kirk wylie","international conference on management of data",1998
276384,"amdb: an access method debugging tool","marcel kornacker, mehul shah, joseph m. hellerstein","international conference on management of data",1998
276385,"user-oriented smart-cache for the web: what you seek is what you get!","zo&#233; lacroix, arnaud sahuguet, raman chandrasekar","international conference on management of data",1998
276386,"the multidimensional database system rasdaman","p. baumann, a. dehmel, p. furtado, r. ritsch, n. widmann","international conference on management of data",1998
276379,"flowback: providing backward recovery for workflow management systems","bartek kiepuszewski, ralf muhlberger, maria e. orlowska","international conference on management of data",1998
276380,"providing database-like access to the web using queries based on textual similarity","william w. cohen","international conference on management of data",1998
276381,"ariadne: a system for constructing mediators for internet sources","jos&#233; luis ambite, naveen ashish, greg barish, craig a. knoblock, steven minton, pragnesh j. modi, ion muslea, andrew philpot, sheila tejada","international conference on management of data",1998
276382,"capability based mediation in tsimmis","chen li, ramana yerneni, vasilis vassalos, hector garcia-molina, yannis papakonstantinou, jeffrey ullman, murty valiveti","international conference on management of data",1998
276375,"the araneus web-based management system","g. mecca, p. atzeni, a. masci, g. sindoni, p. merialdo","international conference on management of data",1998
276376,"cq: a personalized update monitoring toolkit","ling liu, calton pu, wei tang, david buttler, john biggs, tong zhou, paul benninghoff, wei han, fenghua yu","international conference on management of data",1998
276377,"datasplash","chris olston, allison woodruff, alexander aiken, michael chu, vuk ercegovac, mark lin, mybrid spalding, michael stonebraker","international conference on management of data",1998
276378,"microsoft index turning wizard for sql server 7.0","surajit chaudhuri, vivek narasayya","international conference on management of data",1998
276371,"olympic records for data at the 1998 nagano games","edwin r. lassettre","international conference on management of data",1998
276372,"delivering high availability for inktomi search engines","eric a. brewer","international conference on management of data",1998
276373,"microsoft.com: a high-scale data management and transaction processing solution","sherri kennamer","international conference on management of data",1998
276374,"free parallel data mining","bin li, dennis shasha","international conference on management of data",1998
276370,"real business processing meets the web","james chong","international conference on management of data",1998
276369,"developing a high traffic, read-only web site","john nauman, ray suorsa","international conference on management of data",1998
276368,"filenet integrated document management database usage and issues","daniel s. whelan","international conference on management of data",1998
276367,"about quark digital media system","kamar aulakh","international conference on management of data",1998
276366,"50,000 users on an oracle8 universal server database","tirthankar lahiri, ashok joshi, amit jasuja, sumanta chatterjee","international conference on management of data",1998
276365,"oracle rdb's record caching model","richard anderson, gopalan arun, richard frank","international conference on management of data",1998
276364,"a data mining application: customer retention at the port of singapore authority (psa)","kiansing ng, huan liu, hweebong kwah","international conference on management of data",1998
276362,"transactional publish/subscribe: the proactive multicast of database changes (abstract)","arvola chan","international conference on management of data",1998
276361,"the pointcast network (abstract)","satish ramakrishnan, vibha dayal","international conference on management of data",1998
276360,"data in your face: push technology in perspective","michael franklin, stan zdonik","international conference on management of data",1998
276359,"ubiquitous, self-tuning, scalable servers","peter spiro","international conference on management of data",1998
276358,"database systems management and oracle8","c. gregory doherty","international conference on management of data",1998
276357,"managing large systems with db2 udb","chris eaton","international conference on management of data",1998
276356,"sql open heterogeneous data access","berthold reinwald, hamid pirahesh","international conference on management of data",1998
276355,"enterprise java platform data access","seth white, rick cattell, shel finkelstein","international conference on management of data",1998
276354,"microsoft universal data access platform","jos&#233; a. blakeley, michael j. pizzo","international conference on management of data",1998
276352,"java and relational databases (tutorial): sqlj","gray clossman, phil shaw, mark hapner, johannes klein, richard pledereder, brian becker","international conference on management of data",1998
276353,"high-dimensional index structures database support for next decade's applications (tutorial)","stefan berchtold, daniel a. keim","international conference on management of data",1998
276350,"electronic commerce: tutorial","nabil r. adam, yelena yesha","international conference on management of data",1998
276351,"sap r/3 (tutorial): a database application system","alfons kemper, donald kossmann, florian matthes","international conference on management of data",1998
276348,"are we working on the right problems? (panel)","michael stonebraker","international conference on management of data",1998
276349,"next generation database systems won't work without semantics! (panel)","john mylopoulos","international conference on management of data",1998
276346,"memory management during run generation in external sorting","per-&#197;ke larson, goetz graefe","international conference on management of data",1998
276347,"replication, consistency, and practicality: are these mutually exclusive?","todd anderson, yuri breitbart, henry f. korth, avishai wool","international conference on management of data",1998
276344,"wavelet-based histograms for selectivity estimation","yossi matias, jeffrey scott vitter, min wang","international conference on management of data",1998
276345,"efficient transparent application recovery in client-server information systems","david lomet, gerhard weikum","international conference on management of data",1998
276342,"approximate medians and other quantiles in one pass and with limited memory","gurmeet singh manku, sridhar rajagopalan, bruce g. lindsay","international conference on management of data",1998
276343,"random sampling for histogram construction: how much is enough?","surajit chaudhuri, rajeev motwani, vivek narasayya","international conference on management of data",1998
276340,"a multi-similarity algebra","s. adali, p. bonatti, m. l. sapino, v. s. subrahmanian","international conference on management of data",1998
276341,"catching the boat with strudel: experiences with a web-site management system","mary fern&#225;ndez, daniela florescu, jaewoo kang, alon levy, dan suciu","international conference on management of data",1998
276338,"on parallel processing of aggregate and scalar functions in object-relational dbms","michael jaedicke, bernhard mitschang","international conference on management of data",1998
276339,"secure and portable database extensibility","michael godfrey, tobias mayr, praveen seshadri, thorsten von eicken","international conference on management of data",1998
304206,"on random sampling over joins","surajit chaudhuri, rajeev motwani, vivek narasayya","international conference on management of data",1999
304204,"random sampling techniques for space efficient online computation of order statistics of large datasets","gurmeet singh manku, sridhar rajagopalan, bruce g. lindsay","international conference on management of data",1999
304208,"ripple joins for online aggregation","peter j. haas, joseph m. hellerstein","international conference on management of data",1999
304207,"join synopses for approximate query answering","swarup acharya, phillip b. gibbons, viswanath poosala, sridhar ramaswamy","international conference on management of data",1999
304210,"query optimization in the presence of limited access patterns","daniela florescu, alon levy, ioana manolescu, dan suciu","international conference on management of data",1999
304209,"an adaptive query execution system for data integration","zachary g. ives, daniela florescu, marc friedman, alon levy, daniel s. weld","international conference on management of data",1999
304212,"mind your vocabulary: query mapping across heterogeneous information sources","chen-chuan k. chang, h&#233;ctor garc&#237;a-molina","international conference on management of data",1999
304211,"query processing techniques for arrays","arunprasad p. marathe, kenneth salem","international conference on management of data",1999
304197,"boat-optimistic decision tree construction","johannes gehrke, venkatesh ganti, raghu ramakrishnan, wei-yin loh","international conference on management of data",1999
304196,"optimization of constrained frequent set queries with 2-variable constraints","laks v. s. lakshmanan, raymond ng, jiawei han, alex pang","international conference on management of data",1999
304199,"approximate computation of multidimensional aggregates of sparse data using wavelets","jeffrey scott vitter, min wang","international conference on management of data",1999
304198,"self-tuning histograms: building histograms without looking at data","ashraf aboulnaga, surajit chaudhuri","international conference on management of data",1999
304201,"an efficient bitmap encoding scheme for selection queries","chee-yong chan, yannis e. ioannidis","international conference on management of data",1999
304200,"multi-dimensional selectivity estimation using compressed histogram information","ju-hong lee, deok-hwan kim, chin-wan chung","international conference on management of data",1999
304203,"a comparison of selectivity estimators for range queries on metric attributes","bj&#246;rn blohsfeld, dieter korus, bernhard seeger","international conference on management of data",1999
304202,"query optimization for selections using bitmaps","ming-chuan wu","international conference on management of data",1999
304188,"fast algorithms for projected clustering","charu c. aggarwal, joel l. wolf, philip s. yu, cecilia procopiuc, jong soo park","international conference on management of data",1999
304189,"logical logging to extend recovery to new domains","david lomet, mark tuttle","international conference on management of data",1999
304190,"efficient concurrency control for broadcast environments","jayavel shanmugasundaram, arvind nithrakashyap, rajendran sivasankaran, krithi ramamritham","international conference on management of data",1999
304191,"update propagation protocols for replicated databates","yuri breitbart, raghavan komondoor, rajeev rastogi, s. seshadri, avi silberschatz","international conference on management of data",1999
304192,"belief reasoning in mls deductive databases","hasan m. jamil","international conference on management of data",1999
304193,"a multimedia presentation algebra","s. adali, m. l. sapino, v. s. subrahmanian","international conference on management of data",1999
304194,"querying network directories","h. v. jagadish, laks v. s. lakshmanan, tova milo, divesh srivastava, dimitra vista","international conference on management of data",1999
304195,"online association rule mining","christian hidber","international conference on management of data",1999
293150,"conceptual schema analysis: techniques and applications","s. castano, v. de antonellis, m. g. fugini, b. pernici","acm transactions on database systems (tods)",1998
293151,"an access control model supporting periodicity constraints and temporal reasoning","elisa bertino, claudio bettini, elena ferrari, pierangela samarati","acm transactions on database systems (tods)",1998
293152,"an efficient method for checking object-oriented database schema correctness","a. formica, h. d. groger, m. missikoff","acm transactions on database systems (tods)",1998
304183,"integration of spatial join algorithms for processing multiple inputs","nikos mamoulis, dimitris papadias","international conference on management of data",1999
304184,"selectivity estimation in spatial databases","swarup acharya, viswanath poosala, sridhar ramaswamy","international conference on management of data",1999
304185,"efficient concurrency control in multidimensional access methods","kaushik chakrabarti, sharad mehrotra","international conference on management of data",1999
304186,"snakes and sandwiches: optimal clustering strategies for a data warehouse","h. v. jagadish, laks v. s. lakshmanan, divesh srivastava","international conference on management of data",1999
304187,"optics: ordering points to identify the clustering structure","mihael ankerst, markus m. breunig, hans-peter kriegel, j&#246;rg sander","international conference on management of data",1999
290602,"a case for intelligent disks (idisks)","kimberly keeton, david a. patterson, joseph m. hellerstein","acm sigmod record",1998
290601,"the trigs active object-oriented database system- an overview","g. kappel, w. retschitzegger","acm sigmod record",1998
290599,"reminiscences on influential papers","richard snodgrass","acm sigmod record",1998
290598,"b-tree page size when caching is considered","david lomet","acm sigmod record",1998
290608,"the microsoft database research group","david lomet, roger barga, surajit chaudhuri, paul larson, vivek narasayya","acm sigmod record",1998
290607,"database research at columbia university","shih-fu chang, luis gravano, gail e. kaiser, kenneth a. ross, salvatore j. stolfo","acm sigmod record",1998
290605,"database techniques for the world-wide web: a survey","daniela florescu, alon levy, alberto mendelzon","acm sigmod record",1998
290604,"standards in practice","andrew eisenberg, jim melton","acm sigmod record",1998
288088,"safe query languages for constraint databases","peter z. revesz","acm transactions on database systems (tods)",1998
288087,"supporting valid-time indeterminacy","curtis e. dyreson, richard thomas snodgrass","acm transactions on database systems (tods)",1998
280363,"the garlic project","m. tork roth, m. arya, l. haas, m. carey, w. cody, r. fagin, p. schwarz, j. thomas, e. wimmers","international conference on management of data",1996
280362,"bess: storage support for interactive visualization systems","a. biliris, t. a. funkhouser, w. o'connell, e. panagos","international conference on management of data",1996
290597,"algebraic change propagation for semijoin and outerjoin queries","timothy griffin, bharat kumar","acm sigmod record",1998
290596,"enhanced nearest neighbour search on the r-tree","king lum cheung, ada wai-chee fu","acm sigmod record",1998
290595,"report on the 5th international workshop on knowledge representation meets databases (krdb'98)","alex borgida, vinay k. chaudhri, martin staudt","acm sigmod record",1998
288089,"safe stratified datalog with integer order does not have syntax","alexei p. stolboushkin, michael a. taitslin","acm transactions on database systems (tods)",1998
280356,"dbminer: interactive mining of multiple-level knowledge in relational databases","jaiwei han, youngjian fu, wei wang, jenny chiang, osmar r. za&#239;ane, krzysztof koperski","international conference on management of data",1996
280357,"prospector: a content-based multimedia server for massively parallel architectures","s. choo, w. o'connell, g. linerman, h. chen, k. ganapathy, a. biliris, e. panagos, d. schrader","international conference on management of data",1996
280354,"dbsim: a simulation tool for predicting database performance","mark lefler, mark stokrp, craig wong","international conference on management of data",1996
