cluster_id,Title,Authors,Venue,Year,Citations,Source
1800015,"SystemT: a system for declarative information extraction","rajasekar krishnamurthy, yunyao li, sriram raghavan, frederick reiss, shivakumar vaithyanathan, huaiyu zhu",SIGMOD Record,2009,93.75,GoogleScholar
1800016,"NaLIX: an interactive natural language interface for querying XML","yunyao li, huahai yang, h. v. jagadish",SIGMOD,2005,88.8,GoogleScholar
1800017,"Constructing a generic natural language interface for an XML database","yunyao li, huahai yang, h. v. jagadish",EDBT,2006,45.8,GoogleScholar
1800018,"Enabling Schema-Free XQuery with meaningful query focus","yunyao li, cong yu, hv jagadish",VLDB Journal,2008,24.5,GoogleScholar
1800019,"NaLIX: A generic natural language search environment for XML data","yunyao li, huahai yang, h. v. jagadish",TODS,2007,23.66666666666667,GoogleScholar
1800020,"Enterprise information extraction: recent developments and open challenges","laura chiticariu, yunyao li, sriram raghavan, frederick r. reiss",SIGMOD,2010,19.83333333333333,GoogleScholar
1800022,"DaNaLIX: a domain-adaptive natural language interface for querying XML","yunyao li, ishan chaudhuri, huahai yang, satinder singh, hv jagadish",SIGMOD,2007,12.833333333333336,GoogleScholar
1800023,"The SystemT IDE: an integrated development environment for information extraction rules","laura chiticariu, vivian chu, sajib dasgupta, thilo w goetz, howard ho, rajasekar krishnamurthy",SIGMOD,2011,8.166666666666666,GoogleScholar
1800024,"Selectivity estimation for extraction operators over text data","daisy zhe wang, long wei, yunyao li, frederick reiss, shivakumar vaithyanathan",ICDE,2011,6.4,GoogleScholar
1800025,"Enterprise search in the big data era: recent developments and open challenges","yunyao li, ziyang liu, huaiyu zhu",VLDB,2014,3.5,GoogleScholar
1800027,"VINERy: a visual IDE for information extraction","yunyao li, elmer kim, marc a touchette, ramiya venkatachalam, hao wang",VLDB,2015,6.0,GoogleScholar
1800028,"Enabling enterprise mashups over unstructured text feeds with InfoSphere MashupHub and SystemT","david e. simmen, frederick reiss, yunyao li, suresh thalamati",SIGMOD,2009,2.0,GoogleScholar
1800029,"Natural Language Data Management and Interfaces: Recent Development and Open Challenges","yunyao li, davood rafiei",SIGMOD,2017,0.4,GoogleScholar
1800030,"Synthesizing Extraction Rules from User Examples with SEER","maeda f hanafi, azza abouzied, laura chiticariu, yunyao li",SIGMOD,2017,1.4,GoogleScholar
1800031,"VLDB 2014 Ph. D. workshop: an overview","yunyao li, erich neuhold",VLDB,2014,1.0,GoogleScholar
1800032,"Comparative analysis of five XML query languages","angela bonifati, stefano ceri",SIGMOD Record,2000,166.66666666666666,GoogleScholar
1800033,"Dynamic XML documents with distribution and replication","serge abiteboul, angela bonifati, grgory cobna, ioana manolescu, tova milo",SIGMOD,2003,122.0,GoogleScholar
1800034,"Active rules for XML: A new paradigm for E-services","angela bonifati, stefano ceri, stefano paraboschi",VLDB Journal,2001,58.2,GoogleScholar
1800035,"HePToX: marrying XML and heterogeneity in your P2P databases","angela bonifati, elaine qing chang, aks vs lakshmanan, terence ho, rachel pottinger",VLDB,2005,48.4,GoogleScholar
1800036,"Schema mapping verification: the spicy way","angela bonifati, giansalvatore mecca, alessandro pappalardo, salvatore raunich, gianvito summa",EDBT,2008,54.5,GoogleScholar
1800037,"Warehousing Workflow Data: Challenges and Opportunities","angela bonifati, fabio casati, umeshwar dayal, ming-chien shan",VLDB,2001,45.5,GoogleScholar
1800038,"Distributed databases and peer-to-peer databases: past and present","angela bonifati, panos k. chrysanthis, aris m. ouksel, kai-uwe sattler",SIGMOD Record,2008,26.66666666666667,GoogleScholar
1800039,"Efficient Query Evaluation over Compressed XML Data","andrei arion, angela bonifati, gianni costa, sandra daguanno, ioana manolescu, andrea pugliese",EDBT,2004,31.0,GoogleScholar
1800040,"Schema mapping and query translation in heterogeneous P2P XML databases","angela bonifati, elaine chang, terence ho, laks v lakshmanan, rachel pottinger, yongik chung",VLDB Journal,2010,22.4,GoogleScholar
1800041,"gMark: schema-driven generation of graphs and queries","guillaume bagan, angela bonifati, radu ciucanu, george hl fletcher, aurlien lemay, nicky advokaat",IEEE TKDE,2017,30.0,GoogleScholar
1800042,"Learning Path Queries on Graph Databases.","angela bonifati, radu ciucanu, aurlien lemay",EDBT,2015,15.333333333333336,GoogleScholar
1800043,"Algebraic incremental maintenance of XML views","angela bonifati, martin goodfellow, ioana manolescu, domenica sileo",TODS,2013,12.25,GoogleScholar
1800044,"Managing distributed workspaces with active XML","serge abiteboul, jrme baumgarten, angela bonifati, gregory cobena, cosmin cremarenco, florin dragan",VLDB,2003,12.0,GoogleScholar
1800045,"Interactive join query inference with JIM","angela bonifati, radu ciucanu, sپawek staworko",VLDB,2014,10.333333333333334,GoogleScholar
1800046,"The Spicy system: towards a notion of mapping quality","angela bonifati, giansalvatore mecca, alessandro pappalardo, salvatore raunich, gianvito summa",SIGMOD,2008,9.666666666666666,GoogleScholar
1800047,"Learning Join Queries from User Examples","angela bonifati, radu ciucanu, sپawek staworko",TODS,2016,14.4,GoogleScholar
1800048,"Generating flexible workloads for graph databases","guillaume bagan, angela bonifati, radu ciucanu, george h. l. fletcher, aurlien lemay, nicky advokaat",VLDB,2016,8.2,GoogleScholar
1800051,"Interactive Path Query Specification on Graph Databases.","angela bonifati, radu ciucanu, aurlien lemay",EDBT,2015,3.333333333333333,GoogleScholar
1800052,"Schema matching and mapping: from usage to evaluation","angela bonifati, yannis velegrakis",EDBT,2011,4.166666666666667,GoogleScholar
1800053,"Interactive Mapping Specification with Exemplar Tuples","angela bonifati, ugo comignani, emmanuel coquery, romuald thion",SIGMOD,2017,3.8,GoogleScholar
1800054,"An analytical study of large SPARQL query logs","angela bonifati, wim martens, thomas timm",VLDB,2017,4.6,GoogleScholar
1800055,"Stability notions in synthetic graph generation: a preliminary study.","wilco van leeuwen, angela bonifati, george h. l. fletcher, nikolay yakovets",EDBT,2017,1.3333333333333333,GoogleScholar
1800056,"ChaseFUN: a Data Exchange Engine for Functional Dependencies at Scale.","angela bonifati, ioana ileana, michele linardi",EDBT,2017,0.6666666666666666,GoogleScholar
1800057,"Mapping-equivalence and oid-equivalence of single-function object-creating conjunctive queries","angela bonifati, werner nutt, riccardo torlone, jan van den bussche",VLDB Journal,2016,0.0,GoogleScholar
1800058,"To cite this version:","angela bonifati, radu ciucanu, slawomir staworko",nan,2014,0.0,GoogleScholar
1800061,"Dynamic authenticated index structures for outsourced databases","feifei li, marios hadjieleftheriou, george kollios, leonid reyzin",SIGMOD,2006,199.3333333333333,GoogleScholar
1800062,"MRShare: sharing across multiple queries in MapReduce","tomasz nykiel, michalis potamias, chaitanya mishra, george kollios, nick koudas",VLDB,2010,158.5,GoogleScholar
1800063,"Approximating multi-dimensional aggregate range queries over real attributes","dimitrios gunopulos, george kollios, vassilis j. tsotras, carlotta domeniconi",SIGMOD,2000,126.16666666666669,GoogleScholar
1800064,"Efficient Biased Sampling for Approximate Clustering and Outlier Detection in Large Data Sets","george kollios, dimitrios gunopulos, nick koudas, stefan berchtold",IEEE TKDE,2003,124.25,GoogleScholar
1800065,"Efficient Indexing of Spatiotemporal Objects","marios hadjieleftheriou, george kollios, vassilis j. tsotras, dimitrios gunopulos",EDBT,2002,112.0,GoogleScholar
1800066,"Efficient processing of top-k queries in uncertain databases with x-relations","ke yi, feifei li, george kollios, divesh srivastava",IEEE TKDE,2008,105.5,GoogleScholar
1800067,"k-nearest neighbors in uncertain graphs","michalis potamias, francesco bonchi, aristides gionis, george kollios",VLDB,2010,79.0,GoogleScholar
1800068,"Indexing Animated Objects Using Spatiotemporal Access Methods","george kollios, vassilis j. tsotras, dimitrios gunopulos, alex delis, marios hadjieleftheriou",IEEE TKDE,2001,75.8,GoogleScholar
1800069,"Efficient processing of top-k queries in uncertain databases","ke yi, feifei li, george kollios, divesh srivastava",ICDE,2008,71.4,GoogleScholar
1800070,"Complex spatio-temporal pattern queries","marios hadjieleftheriou, george kollios, petko bakalov, vassilis j tsotras",VLDB,2005,74.25,GoogleScholar
1800071,"Time series compressibility and privacy","spiros papadimitriou, feifei li, george kollios, philip s. yu",VLDB,2007,55.2,GoogleScholar
1800072,"Nearest Neighbor Retrieval Using Distance-Based Hashing","vassilis athitsos, michalis potamias, panagiotis papapetrou, george kollios",ICDE,2008,60.6,GoogleScholar
1800073,"Spatial Outsourcing for Location-based Services","yin yang, stavros papadopoulos, dimitris papadias, george kollios",ICDE,2008,53.4,GoogleScholar
1800074,"Authenticated indexing for outsourced spatial databases","yin yang, stavros papadopoulos, dimitris papadias, george kollios",VLDB Journal,2009,46.4,GoogleScholar
1800075,"Selectivity estimators for multidimensional range queries over real attributes","dimitrios gunopulos, george kollios, vassilis j tsotras, carlotta domeniconi",VLDB Journal,2005,45.4,GoogleScholar
1800076,"Indexing spatiotemporal archives","marios hadjieleftheriou, george kollios, vassilis j tsotras, dimitrios gunopulos",VLDB Journal,2006,65.0,GoogleScholar
1800077,"Approximate embedding-based subsequence matching of time series","vassilis athitsos, panagiotis papapetrou, michalis potamias, george kollios, dimitrios gunopulos",SIGMOD,2008,40.333333333333336,GoogleScholar
1800078,"Proof-infused streams: enabling authentication of sliding window queries on streams","feifei li, ke yi, marios hadjieleftheriou, george kollios",VLDB,2007,33.8,GoogleScholar
1800079,"Clustering large probabilistic graphs","george kollios, michalis potamias, evimaria terzi",IEEE TKDE,2013,47.0,GoogleScholar
1800080,"Embedding-based subsequence matching in time-series databases","panagiotis papapetrou, vassilis athitsos, michalis potamias, george kollios, dimitrios gunopulos",TODS,2011,120.5,GoogleScholar
1800081,"Indexing mobile objects using dual transformations","george kollios, dimitris papadopoulos, dimitrios gunopulos, j tsotras",VLDB Journal,2005,26.6,GoogleScholar
1800082,"Query-sensitive embeddings","vassilis athitsos, marios hadjieleftheriou, george kollios, stan sclaroff",TODS,2007,30.0,GoogleScholar
1800083,"Robust approximate aggregation in sensor data management systems","jeffrey considine, marios hadjieleftheriou, feifei li, john byers, george kollios",TODS,2009,19.5,GoogleScholar
1800084,"Modular order-preserving encryption; revisited","charalampos mavroforakis, nathan chenette, adam o'neill, george kollios, ran canetti",SIGMOD,2015,36.0,GoogleScholar
1800085,"Small synopses for group-by query verification on outsourced data streams","ke yi, feifei li, graham cormode, marios hadjieleftheriou, george kollios, divesh srivastava",TODS,2009,24.83333333333333,GoogleScholar
1800086,"Characterizing and exploiting reference locality in data stream applications","feifei li, ching chang, george kollios, azer bestavros",ICDE,2006,18.2,GoogleScholar
1800087,"Reference-based alignment in large sequence databases","panagiotis papapetrou, vassilis athitsos, george kollios, dimitrios gunopulos",VLDB,2009,13.333333333333336,GoogleScholar
1800088,"Randomized Synopses for Query Assurance on Data Streams","ke yi, feifei li, marios hadjieleftheriou, george kollios, divesh srivastava",ICDE,2008,24.8,GoogleScholar
1800089,"Hashing Methods for Temporal Data","george kollios, vassilis j. tsotras",IEEE TKDE,2002,13.6,GoogleScholar
1800090,"Management of Highly Dynamic Multidimensional Data in a Cluster of Workstations","vassil kriakov, alex delis, george kollios",EDBT,2004,11.0,GoogleScholar
1800092,"Hum-a-song: a subsequence matching with gaps-range-tolerances query-by-humming system","alexios kotsifakos, panagiotis papapetrou, jaakko hollmn, dimitrios gunopulos, vassilis athitsos, george kollios",VLDB,2012,5.5,GoogleScholar
1800093,"Privacy Preserving Similarity Evaluation of Time Series Data.","haohan zhu, xianrui meng, george kollios",EDBT,2014,5.75,GoogleScholar
1800094,"A generic framework for efficient and effective subsequence retrieval","haohan zhu, george kollios, vassilis athitsos",VLDB,2012,5.666666666666668,GoogleScholar
1800095,"Norm; point; and distance estimation over multiple signals using max-stable distributions","stilian stoev, marios hadjieleftheriou, george kollios, murad s. taqqu",ICDE,2007,3.75,GoogleScholar
1800096,"Sharing across Multiple MapReduce Jobs","tomasz nykiel, michalis potamias, chaitanya mishra, george kollios, nick koudas",TODS,2014,4.0,GoogleScholar
1800097,"Self-tuning management of update-intensive multidimensional data in clusters of workstations","vassil kriakov, george kollios, alex delis",VLDB Journal,2009,2.25,GoogleScholar
1800098,"NED: an inter-graph node metric based on edit distance","haohan zhu, xianrui meng, george kollios",VLDB,2017,1.0,GoogleScholar
1800099,"Core Database Technology Program Committee","anastassia ailamaki, gustavo alonso, walid aref, lars arge, brian babcock, mikael berndtsson",VLDB,2005,0.0,GoogleScholar
1800100,"Marios Hadjieleftheriou","m hadjieleftheriou, g kollios, d gunopulos, vj tsotras, m vlachos, e keogh",IEEE TKDE,2001,0.0,GoogleScholar
1800101,"Generic Schema Matching with Cupid","jayant madhavan, philip a. bernstein, erhard rahm",VLDB,2001,967.6,GoogleScholar
1800102,"Similarity search for web services","xin dong, alon halevy, jayant madhavan, ema nemes, jun zhang",VLDB,2004,556.5,GoogleScholar
1800103,"Reference reconciliation in complex information spaces","xin dong, alon halevy, jayant madhavan",SIGMOD,2005,341.5,GoogleScholar
1800104,"Learning to match ontologies on the Semantic Web","anhai doan, jayant madhavan, robin dhamankar, pedro domingos, alon halevy",VLDB Journal,2003,296.6,GoogleScholar
1800105,"Corpus-based schema matching","jayant madhavan, philip a bernstein, anhai doan, alon halevy",ICDE,2005,364.33333333333326,GoogleScholar
1800106,"Google's Deep Web crawl","jayant madhavan, david ko, ucja kot, vignesh ganapathy, alex rasmussen, alon halevy",VLDB,2008,339.6666666666667,GoogleScholar
1800107,"The piazza peer data management system","alon y. halevy, zachary g. ives, jayant madhavan, peter mork, dan suciu, igor tatarinov",IEEE TKDE,2004,180.0,GoogleScholar
1800108,"The Piazza peer data management project","igor tatarinov, zachary ives, jayant madhavan, alon halevy, dan suciu, nilesh dalvi",SIGMOD Record,2003,135.16666666666666,GoogleScholar
1800109,"Recovering semantics of tables on the web","petros venetis, alon halevy, jayant madhavan, marius paca, warren shen, fei wu",VLDB,2011,129.33333333333334,GoogleScholar
1800110,"Generic schema matching; ten years later","philip a bernstein, jayant madhavan, erhard rahm",VLDB,2011,215.0,GoogleScholar
1800111,"Google fusion tables: web-centered data management and collaboration","hector gonzalez, alon y. halevy, christian s. jensen, anno langen, jayant madhavan, rebecca shapley, warren shen, jonathan goldberg-kidon",SIGMOD,2010,91.33333333333331,GoogleScholar
1800112,"Harvesting relational tables from lists on the web","hazem elmeleegy, jayant madhavan, alon halevy",VLDB,2011,67.4,GoogleScholar
1800113,"Personal information management with SEMEX","yuhan cai, xin luna dong, alon halevy, jing michelle liu, jayant madhavan",SIGMOD,2005,65.16666666666667,GoogleScholar
1800114,"Crossing the Structure Chasm.","alon y halevy, oren etzioni, anhai doan, zachary g ives, jayant madhavan, luke k mcdowell",CIDR,2003,69.25,GoogleScholar
1800115,"Web-scale extraction of structured data","michael j. cafarella, jayant madhavan, alon halevy",SIGMOD Record,2008,44.83333333333334,GoogleScholar
1800116,"OpenII: an open source information integration toolkit","len seligman, peter mork, alon halevy, ken smith, michael j carey, kuang chen",SIGMOD,2010,49.25,GoogleScholar
1800117,"Data management projects at Google","michael cafarella, edward chang, andrew fikes, alon halevy, wilson hsieh, alberto lerner, jayant madhavan, s. muthukrishnan",SIGMOD Record,2008,19.0,GoogleScholar
1800118,"Harvesting relational tables from lists on the web","hazem elmeleegy, jayant madhavan, alon halevy",VLDB Journal,2011,34.0,GoogleScholar
1800119,"Applying WebTables in Practice.","sreeram balakrishnan, alon y halevy, boulos harb, hongrae lee, jayant madhavan, afshin rostamizadeh",CIDR,2015,22.0,GoogleScholar
1800120,"Efficient spatial sampling of large geographical tables","anish das sarma, hongrae lee, hector gonzalez, jayant madhavan, alon y. halevy",SIGMOD,2012,15.166666666666664,GoogleScholar
1800121,"Exploring schema repositories with schemr","kuang chen, akshay kannan, jayant madhavan, alon halevy",SIGMOD Record,2011,12.4,GoogleScholar
1800122,"Self-organizing data sharing communities with SAGRES","zachary g. ives, alon y. levy, jayant madhavan, rachel pottinger, stefan saroiu, igor tatarinov, shiori betzler, qiong chen, ewa jaslikowska, jing su, wai tak theodora yeung",SIGMOD,2000,7.8,GoogleScholar
1800123,"Consistent thinning of large geographical data for map visualization","anish das sarma, hongrae lee, hector gonzalez, jayant madhavan, alon y. halevy",TODS,2013,5.0,GoogleScholar
1800124,"Recent progress towards an ecosystem of structured data on the Web","nitin gupta, alon y halevy, boulos harb, heidi lam, hongrae lee, jayant madhavan",ICDE,2013,1.5,GoogleScholar
1800125,"Using SSDs to scale up Google Fusion Tables, a database-in-the-cloud.","yingyi bu, felix halim, changkyu kim, hongrae lee, jayant madhavan",ICDE,2016,0.0,GoogleScholar
1800126,"Similarity search in high dimensions via hashing","aristides gionis, piotr indyk, rajeev motwani",VLDB,1999,1438.4,GoogleScholar
1800127,"Finding interesting associations without support pruning","edith cohen, mayur datar, shinji fujiwara, aristides gionis, piotr indyk, rajeev motwani, jeffrey d. ullman, cheng yang",IEEE TKDE,2001,305.25,GoogleScholar
1800128,"XTRACT: a system for extracting document type descriptors from XML documents","minos garofalakis, aristides gionis, rajeev rastogi, sridhar seshadri, kyuseok shim",SIGMOD Record,2000,173.2,GoogleScholar
1800129,"The discrete basis problem","pauli miettinen, taneli mielikآ¤inen, aristides gionis, gautam das, heikki mannila",IEEE TKDE,2008,132.66666666666666,GoogleScholar
1800130,"K-nearest neighbors in uncertain graphs","michalis potamias, francesco bonchi, aristides gionis, george kollios",VLDB,2010,81.5,GoogleScholar
1800131,"k-Anonymization with minimal loss of information","aristides gionis, tamir tassa",IEEE TKDE,2009,49.33333333333334,GoogleScholar
1800133,"Efficient and tumble similar set retrieval","aristides gionis, dimitrios gunopulos, nick koudas",SIGMOD Record,2001,47.66666666666666,GoogleScholar
1800134,"Injecting uncertainty in graphs for identity obfuscation","paolo boldi, francesco bonchi, aristides gionis, tamir tassa",VLDB,2012,29.0,GoogleScholar
1800135,"k-Anonymization revisited","aristides gionis, arnon mazza, tamir tassa",ICDE,2008,56.0,GoogleScholar
1800137,"Social content matching in MapReduce","gianmarco de francisci morales, aristides gionis, mauro sozio",VLDB,2011,23.83333333333333,GoogleScholar
1800139,"Fast Reliability Search in Uncertain Graphs.","arijit khan, francesco bonchi, aristides gionis, francesco gullo",EDBT,2014,17.25,GoogleScholar
1800142,"Piggybacking on social networks","aristides gionis, flavio junqueira, vincent leroy, marco serafini, ingmar weber",VLDB,2013,9.0,GoogleScholar
1800143,"Distance oracles in edge-labeled graphs.","francesco bonchi, aristides gionis, francesco gullo, antti ukkonen",EDBT,2014,8.0,GoogleScholar
1800144,"Bump hunting in the dark: Local discrepancy maximization on graphs","aristides gionis, michael mathioudakis, antti ukkonen",IEEE TKDE,2017,6.0,GoogleScholar
1800145,"Streaming similarity self-join","gianmarco de francisci morales, aristides gionis",VLDB,2016,5.5,GoogleScholar
1800149,"Efficient similarity joins for near-duplicate detection","chuan xiao, wei wang, xuemin lin, jeffrey xu yu, guoren wang",TODS,2011,315.5,GoogleScholar
1800150,"Ed-Join: an efficient algorithm for similarity joins with edit distance constraints","chuan xiao, wei wang, xuemin lin",VLDB,2008,114.2,GoogleScholar
1800151,"Top-k Set Similarity Joins","chuan xiao, wei wang, xuemin lin, haichuan shang",ICDE,2009,122.66666666666669,GoogleScholar
1800152,"Efficient approximate entity extraction with edit distance constraints","wei wang, chuan xiao, xuemin lin, chengqi zhang",SIGMOD,2009,79.5,GoogleScholar
1800153,"Efficient exact edit similarity query processing with the asymmetric signature scheme","jianbin qin, wei wang, yifei lu, chuan xiao, xuemin lin",SIGMOD,2011,41.16666666666666,GoogleScholar
1800154,"Efficient Graph Similarity Joins with Edit Distance Constraints","xiang zhao, chuan xiao, xuemin lin, wei wang",ICDE,2012,25.75,GoogleScholar
1800155,"Vchunkjoin: An efficient algorithm for edit similarity joins","wei wang, jianbin qin, chuan xiao, xuemin lin, heng tao shen",IEEE TKDE,2013,20.0,GoogleScholar
1800156,"Efficient error-tolerant query autocompletion","chuan xiao, jianbin qin, wei wang, yoshiharu ishikawa, koji tsuda, kunihiko sadakane",VLDB,2013,21.0,GoogleScholar
1800157,"Efficient processing of graph similarity queries with edit distance constraints","xiang zhao, chuan xiao, xuemin lin, wei wang, yoshiharu ishikawa",VLDB Journal,2013,16.0,GoogleScholar
1800158,"A partition-based approach to structure similarity search","xiang zhao, chuan xiao, xuemin lin, qing liu, wenjie zhang",VLDB,2013,12.5,GoogleScholar
1800159,"Asymmetric signature schemes for efficient exact edit similarity query processing","jianbin qin, wei wang, chuan xiao, yifei lu, xuemin lin, haixun wang",TODS,2013,4.0,GoogleScholar
1800160,"Local similarity search for unstructured text","pei wang, chuan xiao, jianbin qin, wei wang, xiaoyang zhang, yoshiharu ishikawa",SIGMOD,2016,4.0,GoogleScholar
1800162,"BEVA: An Efficient Query Processing Algorithm for Error-Tolerant Autocompletion","xiaoling zhou, jianbin qin, chuan xiao, wei wang, xuemin lin, yoshiharu ishikawa",TODS,2016,0.4,GoogleScholar
1800163,"Efficient structure similarity searches: a partition-based approach","xiang zhao, chuan xiao, xuemin lin, wenjie zhang, yang wang",VLDB Journal,2018,0.3333333333333333,GoogleScholar
1800164,"The Clio project: managing heterogeneity","rene j miller, mauricio a hernndez, laura m haas, ling-ling yan, ct howard ho, ronald fagin",SIGMOD Record,2001,276.25,GoogleScholar
1800165,"Data exchange: getting to the core","ronald fagin, phokion g kolaitis, lucian popa",TODS,2003,272.25,GoogleScholar
1800166,"Composing schema mappings: second-order dependencies to the rescue","ronald fagin, phokion g kolaitis, lucian popa, wang-chiew tan",TODS,2005,186.0,GoogleScholar
1800167,"Clio grows up: from research prototype to industrial tool","laura m haas, mauricio a hernndez, howard ho, lucian popa, mary roth",SIGMOD,2005,176.33333333333337,GoogleScholar
1800168,"Constraint-based XML query rewriting for data integration","cong yu, lucian popa",SIGMOD,2004,132.66666666666666,GoogleScholar
1800169,"Semantic adaptation of schema mappings when schemas evolve","cong yu, lucian popa",VLDB,2005,87.4,GoogleScholar
1800170,"Nested mappings: schema mapping reloaded","ariel fuxman, mauricio a hernandez, howard ho, renee j miller, paolo papotti, lucian popa",VLDB,2006,120.66666666666669,GoogleScholar
1800171,"Query reformulation with constraints","alin deutsch, lucian popa, val tannen",SIGMOD Record,2006,63.33333333333334,GoogleScholar
1800172,"Quasi-inverses of schema mappings","ronald fagin, phokion g kolaitis, lucian popa, wang-chiew tan",TODS,2008,61.8,GoogleScholar
1800173,"Preserving mapping consistency under schema changes","yannis velegrakis, j miller, lucian popa",VLDB Journal,2004,54.4,GoogleScholar
1800175,"Interactive generation of integrated schemas","laura chiticariu, phokion g. kolaitis, lucian popa",SIGMOD,2008,38.5,GoogleScholar
1800176,"Reverse data exchange: coping with nulls","ronald fagin, phokion g kolaitis, lucian popa, wang-chiew tan",TODS,2009,39.25,GoogleScholar
1800177,"A chase too far?","lucian popa, alin deutsch, arnaud sahuguet, val tannen",SIGMOD,2000,36.6,GoogleScholar
1800178,"Semi-Automatic Schema Integration in Clio","laura chiticariu, mauricio a. hernndez, phokion g. kolaitis, lucian popa",VLDB,2007,25.0,GoogleScholar
1800179,"HIL: a high-level scripting language for entity integration","mauricio hernndez, georgia koutrika, rajasekar krishnamurthy, lucian popa, ryan wisnesky",EDBT,2013,19.666666666666668,GoogleScholar
1800180,"Top-k generation of integrated schemas based on directed and weighted correspondences","ahmed radwan, lucian popa, ioana r. stanoi, akmal younis",SIGMOD,2009,17.166666666666668,GoogleScholar
1800181,"MapMerge: correlating independent schema mappings","bogdan alexe, mauricio hernndez, lucian popa, wang-chiew tan",VLDB Journal,2012,20.33333333333333,GoogleScholar
1800182,"Discovering linkage points over web data","oktie hassanzadeh, ken q. pu, soheil hassas yeganeh, rene j. miller, lucian popa, mauricio a. hernndez, howard ho",VLDB,2013,15.666666666666664,GoogleScholar
1800183,"Midas: integrating public financial data","sreeram balakrishnan, vivian chu, mauricio a hernndez, howard ho, rajasekar krishnamurthy, shi xia liu",SIGMOD,2010,20.0,GoogleScholar
1800184,"IBM UFO repository: object-oriented data integration","michael n gubanov, lucian popa, howard ho, hamid pirahesh, jeng-yih chang, shr-chang chen",VLDB,2009,11.75,GoogleScholar
1800185,"Creating Nested Mappings with Clio","mauricio a hernndez, howard ho, lucian popa, ariel fuxman, renee j miller, takeshi fukuda",ICDE,2007,10.0,GoogleScholar
1800186,"Adapting Mappings in Frequently Changing Environments","yannis velegrakis, rene j miller, lucian popa",nan,2003,3.333333333333333,GoogleScholar
1800187,"Optimization for physical independence in information integration components","alin deutsch, lucian popa, val tannen",VLDB,1999,3.0,GoogleScholar
1800188,"iller RJ; et a1. Translating web data","l popa, ym velegrakis",VLDB Journal,2002,2.0,GoogleScholar
1800189,"Hardware-oblivious parallelism for in-memory column-stores","max heimel, michael saecker, holger pirk, stefan manegold, volker markl",VLDB,2013,54.2,GoogleScholar
1800191,"CPU and Cache Efficient Management of Memory-Resident Databases","holger pirk, florian funke, martin grund, thomas neumann, ulf leser, stefan manegold",ICDE,2013,12.0,GoogleScholar
1800192,"Waste not Efficient co-processing of relational data","holger pirk, stefan manegold, martin kersten",ICDE,2014,30.5,GoogleScholar
1800193,"Weld: A common runtime for high performance data analytics","shoumik palkar, james j thomas, anil shanbhag, deepak narayanan, holger pirk, malte schwarzkopf",CIDR,2017,21.0,GoogleScholar
1800194,"Efficient cross-device query processing","holger pirk",The VLDB PhD Workshop. VLDB Endowment,2012,13.0,GoogleScholar
1800195,"Voodoo - A Vector Algebra for Portable Database Performance on Modern Hardware.","holger pirk, oscar moll, matei zaharia, sam madden",VLDB,2016,10.75,GoogleScholar
